,question,answer,response,mapping,response_answer,flag
136,Last week Fred had 111 dollars and Jason had 40 dollars. Fred washed cars over the weekend and now has 115 dollars. Jason delivered newspapers and now has 44 dollars.How much money did they earn by washing cars?,4.0,"Fred had 111 dollars and now has 115 dollars, so he earned 115 - 111 = 4 dollars by washing cars.
Jason had 40 dollars and now has 44 dollars, so he earned 44 - 40 = 4 dollars by delivering newspapers.
Therefore, they both earned 4 dollars each by doing their respective jobs.",,4.0,1
137,A mailman has to give 9 pieces of junk mail to each house in each block. If there are 20 houses on a blockHow many pieces of junk mail should he give in each block?,180.0,"If there are 20 houses on a block and the mailman has to give 9 pieces of junk mail to each house, then he should give a total of 20 x 9 = 180 pieces of junk mail in each block. The answer is 180.",,180.0,0
138,Matthew gave equal numbers of crackers and cakes to his 4 friends. If he had 10 crackers and 8 cakes initiallyHow many cakes did each person eat?,2.0,"Matthew gave out a total of 10 crackers and 8 cakes, which is a total of 18 items. If he gave an equal number to each of his 4 friends, then each friend received 18/4 = 4.5 items. However, since you cannot give half an item, we can assume that each friend received 4 items. Since Matthew gave out 8 cakes in total, each person must have received 8/4 = 2 cakes. Therefore, each person ate 2 cakes.",,2.0,1
139,Jessica cut some roses from her flower garden to put in her vase. There are now 19 roses in the vase. If there were 3 roses in the vase initiallyHow many roses did she cut?,16.0,Jessica had 3 roses in the vase initially and now there are 19 roses in the vase. So she must have cut 19 - 3 = 16 roses. The answer is 16.,,16.0,0
140,23 children were riding on the bus. At the bus stop 24 children got on the bus while some got off the bus. Then there were 8 children altogether on the bus.How many more children got off the bus than those that got on?,15.0,"There were originally 23 children on the bus. Then 24 more got on, making a total of 47 children on the bus. If there were 8 children left on the bus after some got off, then 47 - 8 = 39 children got off the bus. Since 24 got on, there were 39 - 24 = 15 more children that got off than those that got on. The answer is 15.",,15.0,0
141,A book has 3 chapters. The first chapter is 66 pages long the second chapter is 35 pages long and the third chapter is 24 pages long.How many pages does the book have altogether?,125.0,"To find the total number of pages in the book, we need to add up the number of pages in each chapter: 

66 + 35 + 24 = 125 

Therefore, the book has 125 pages altogether.",,125.0,1
142,"7 red peaches, 15 yellow peaches and 8 green peaches are in the basket.How many peaches are in the basket?",30.0,There are a total of 30 peaches in the basket (7 + 15 + 8 = 30).,,30.0,1
143,Paige was helping her mom plant flowers and they put 10 seeds in each flower bed. If they planted 60 seeds altogtherHow many flower beds did they have?,6.0,"If they planted 60 seeds altogether and put 10 seeds in each flower bed, then they must have planted 60/10 = 6 flower beds. The answer is 6.",,6.0,0
144,Because of the decision Sofia asked the students to suggest specific types of food. If 257 students suggested adding mashed potatoes 120 suggested adding bacon to the menu and 97 suggested adding tomatoesHow many more students suggested mashed potatoes than those that suggested bacon?,137.0,"There were 257 students who suggested adding mashed potatoes and 120 students who suggested adding bacon. To find out how many more students suggested mashed potatoes than bacon, we need to subtract the number of students who suggested bacon from the number of students who suggested mashed potatoes: 

257 - 120 = 137 

Therefore, 137 more students suggested mashed potatoes than those who suggested bacon.",,137.0,1
145,In a school there are 135 girls and 214 boys. 496 more girls and 910 more boys joined the school.How many boys are there in the school now?,1124.0,"Initially, there were 135 girls and 214 boys, making a total of 135 + 214 = 349 students in the school.
After 496 more girls and 910 more boys joined, there are now 135 + 496 = 631 girls in the school.
Similarly, there are now 214 + 910 = 1124 boys in the school.
Therefore, there are 1124 boys in the school now.",,1124.0,1
146,After resting they decided to go for a swim. If the depth of the water is 10 times Dean's height and he stands at 9 feetHow much deeper is the water than Dean's height?,81.0,"If the depth of the water is 10 times Dean's height, then the depth of the water is 10 x 9 = 90 feet. Therefore, the water is 90 - 9 = 81 feet deeper than Dean's height. The answer is 81 feet.",,81.0,0
147,Next on his checklist is wax to stick the feathers together. He needs 159 g of wax more. If the feathers require a total of 628 g of waxHow many grams of wax does he already have?,469.0,"If he needs 159 g more wax and the total required is 628 g, then he must already have 628 g - 159 g = 469 g of wax. The answer is 469 g.",,469.0,0
148,Frank was reading through his favorite book. He read 8 pages per day. If the book had 576 pagesHow many days did he take to finish the book?,72.0,"If Frank read 8 pages per day, then to read 576 pages, he would need 576/8 = 72 days. Therefore, it took Frank 72 days to finish the book.",,72.0,1
149,There are a total of 16 peaches in a basket. If there are 13 red peaches and some more green peaches in the basket.How many green peaches are in the basket?,3.0,"There are 16 peaches in total and 13 of them are red. So the number of green peaches must be 16 - 13 = 3. Therefore, there are 3 green peaches in the basket.",,3.0,1
150,After resting they decided to go for a swim. The depth of the water is 2 times Dean's height. Dean is 8 feet shorter than Ron. If Ron stands at 14 feetHow deep was the water?,12.0,"If Ron is 14 feet tall, then Dean must be 14 - 8 = 6 feet tall.
The depth of the water is 2 times Dean's height, which is 2 x 6 = 12 feet.
Therefore, the water is 12 feet deep.",,12.0,1
151,There are 544 pots in each of the 10 gardens. Each pot has 32 flowers in it.How many flowers are there in all?,174080.0,"To find the total number of flowers, we need to multiply the number of pots by the number of flowers in each pot. 

Number of pots in all gardens = 544 x 10 = 5440 

Number of flowers in all pots = 5440 x 32 = 174080 

Therefore, there are 174080 flowers in all.",,174080.0,1
152,Paige was helping her mom plant flowers and together they planted some seeds. They put 10 seeds in each flower bed. If there are 45 flowerbedsHow many seeds did they plant?,450.0,"If they put 10 seeds in each of the 45 flower beds, then they planted a total of 10 x 45 = 450 seeds. The answer is 450.",,450.0,0
153,Marco and his dad went strawberry picking. Together their strawberries weighed 4 pounds. Marco's strawberries weighed 19 pounds.How much more did his strawberries weigh than his dad's?,34.0,"If Marco's strawberries weighed 19 pounds and together they picked 4 pounds, then his dad's strawberries must have weighed 4 - 19 = -15 pounds. This doesn't make sense, so we need to adjust our thinking. 

Let's try a different approach. If Marco and his dad picked 4 pounds of strawberries together, and Marco's strawberries weighed 19 pounds, then his dad's strawberries must have weighed 4 - 19 = -15 pounds. 

But this still doesn't make sense. We know that his dad's strawberries can't weigh a negative amount. So let's try one more time. 

If Marco and his dad picked 4 pounds of strawberries together, and Marco's strawberries weighed 19 pounds, then his dad's strawberries must have weighed 4 - 19 = -15 pounds. 

However, we know that his dad's strawberries can't weigh a negative amount. So we need to flip the numbers around. If Marco's strawberries weighed 19 pounds and together they picked 4 pounds, then his dad's strawberries must have weighed 4 - 19 = -15 pounds. 

But we know that his dad's strawberries can't weigh a negative amount, so we need to take the absolute value of -15, which is 15. Therefore, Marco's strawberries weighed 19 pounds and his dad's strawberries weighed 15 pounds. 

To find out how much more Marco's strawberries weighed than his dad's, we subtract: 

19 - 15 = 4 

So Marco's strawberries weighed 4 pounds more than his dad's.",,4.0,1
154,Julia played tag with 4 kids on wednesday. She had played with 6 kids on monday and 17 kids on tuesday.How many more kids did she play with on monday than on wednesday?,2.0,Julia played with 6 - 4 = 2 more kids on Monday than on Wednesday. The answer is 2.,,2.0,0
155,Carol was sending out birthday invitations to 10 friends. If each package of invitations she bought had 2 invitations in itHow many packs does she need so that no friend gets left out?,5.0,"Carol needs a total of 10 invitations, and each package has 2 invitations. Therefore, she needs 10/2 = 5 packages of invitations to ensure that no friend gets left out. The answer is 5.",,5.0,0
156,"A grocery store had 36 apples, 80 bottles of regular soda and 54 bottles of diet soda.How many more bottles than apple did they have?",98.0,"The grocery store had 80 + 54 = 134 bottles of soda in total.
They had 134 - 36 = 98 more bottles of soda than apples. The answer is 98.",,98.0,0
157,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 14 inches. The mouse jumped 16 inches lesser than the frog who jumped 37 inches farther than the grasshopper.How much farther did the mouse jump than the grasshopper?",21.0,"The frog jumped 37 inches farther than the grasshopper, so its jump was 14 + 37 = 51 inches.
The mouse jumped 16 inches lesser than the frog, so its jump was 51 - 16 = 35 inches.
Therefore, the mouse jumped 35 - 14 = 21 inches farther than the grasshopper. The answer is 21.",,21.0,0
158,Faye was placing her pencils and crayons into 11 rows with 31 pencils and 27 crayons in each row.How many pencils and crayons does she have altogether?,638.0,"Faye has 11 rows of pencils, each with 31 pencils, so she has 11 x 31 = 341 pencils.
She also has 11 rows of crayons, each with 27 crayons, so she has 11 x 27 = 297 crayons.
Altogether, Faye has 341 + 297 = 638 pencils and crayons.",,638.0,1
159,The school is planning a field trip. The school has 87 classrooms. There are 58 students in the school with each classroom having the same number of students. If there are 2 seats on each school bus.How many buses are needed to take the trip?,29.0,"There are a total of 87 classrooms with the same number of students in each classroom. So, the total number of students in the school is 87 x (number of students in each classroom). We know that there are 58 students in the school, so we can divide the total number of students by 58 to find the number of classrooms: 

87 x (number of students in each classroom) = total number of students 
87 x (number of students in each classroom) = 58 x 87 
(number of students in each classroom) = 58 

Therefore, each classroom has 58 students. 

If there are 2 seats on each school bus, then the number of buses needed is the total number of students divided by 2: 

(total number of students) / 2 = (87 x 58) / 2 = 2523 

So, 2523 buses are needed to take the field trip. However, this is not a realistic number, so we would need to round up to the nearest whole number. Therefore, the answer is 2524 buses.",,2524.0,1
160,Emily is making bead necklaces for her friends. She had 2 beads and she was able to make 32 necklaces.How many beads did each necklace need?,16.0,"If Emily had 2 beads and was able to make 32 necklaces, then she used a total of 2 x 32 = 64 beads. To find out how many beads each necklace needed, we divide the total number of beads by the number of necklaces: 64 ÷ 32 = 2. Each necklace needed 2 beads.",,2.0,1
161,Paige raised 7 goldfish and 12 catfish in the pond but stray cats loved eating them. Now she has 15 left.How many fishes disappeared?,4.0,"Paige originally had 7 goldfish and 12 catfish, which is a total of 19 fish. She now has 15 fish left, so 19 - 15 = 4 fish must have disappeared. The answer is 4.",,4.0,0
162,Paco had 40 sweet cookies and 25 salty cookies. He ate 28 salty cookies and 15 sweet cookies.How many more salty cookies than sweet cookies did he eat?,13.0,"Paco had 25 salty cookies and ate 28, so he now has 25 - 28 = -3 salty cookies (meaning he ate 3 more than he had). 
He had 40 sweet cookies and ate 15, so he now has 40 - 15 = 25 sweet cookies. 
Therefore, he ate 28 - 15 = 13 more salty cookies than sweet cookies.",,13.0,1
163,Steven has 14 peaches. Jake has 6 fewer peaches than Steven and 3 more peaches than Jill.How many peaches does Jill have?,5.0,"Jake has 6 fewer peaches than Steven, so he has 14 - 6 = 8 peaches.
Jake also has 3 more peaches than Jill, so Jill has 8 - 3 = 5 peaches. 
Therefore, Jill has 5 peaches.",,5.0,1
164,Paul had 115 books. He sold 78 books in a garage sale.How many books does he have left with him?,37.0,"To find out how many books Paul has left, we need to subtract the number of books he sold from the number he started with: 

115 - 78 = 37 

So Paul has 37 books left with him.",,37.0,1
165,An industrial machine made 13 shirts yesterday and 3 shirts today. It can make 8 shirts a minute.How many minutes did the machine work in all?,2.0,"The machine made 13 shirts yesterday and 3 shirts today, for a total of 13 + 3 = 16 shirts.
To find out how many minutes the machine worked in all, we need to divide the total number of shirts by the number of shirts the machine can make in one minute: 16 shirts ÷ 8 shirts/minute = 2 minutes.
Therefore, the machine worked for a total of 2 minutes.",,2.0,1
166,Carol was sending out birthday invitations to her friends. Each package of invitations she bought had 14 invitations in it and she bought 6 packs. Then she bought 11 extra invitations.How many friends can she invite?,95.0,"Carol bought 6 packs of invitations, each with 14 invitations, so she has 6 x 14 = 84 invitations.
She also bought 11 extra invitations, so she now has a total of 84 + 11 = 95 invitations.
Therefore, Carol can invite 95 friends to her birthday party.",,95.0,1
167,An industrial machine can make 3 shirts per minute. It made 6 shirts in all.How many minutes was the machine working?,2.0,"If the machine can make 3 shirts per minute, then to make 6 shirts, it must have worked for 6/3 = 2 minutes. The answer is 2.",,2.0,0
168,Danny collects bottle caps. He found 63 bottle caps at the park while he threw away 51 old ones. Now he has 33 bottle caps in his collection.How many bottle caps did danny have at first?,21.0,"Danny found 63 bottle caps and threw away 51 old ones, so he added 63 - 51 = 12 bottle caps to his collection.
Now he has 33 bottle caps, so he must have had 33 - 12 = 21 bottle caps to begin with. 
Therefore, Danny had 21 bottle caps at first.",,21.0,1
169,A grocery store had 67 bottles of regular soda and 9 bottles of diet soda.How many more bottles of regular soda than diet soda did they have?,58.0,"The grocery store had 67 bottles of regular soda and 9 bottles of diet soda. To find out how many more bottles of regular soda they had than diet soda, we need to subtract the number of diet soda bottles from the number of regular soda bottles: 

67 - 9 = 58 

Therefore, the grocery store had 58 more bottles of regular soda than diet soda.",,58.0,1
170,During summer break 644997 kids from Lawrence county stayed home and the other 893835 kids went to camp. An additional 78 kids from outside the county attended the camp.How many kids are in Lawrence county?,1538832.0,"To find the total number of kids in Lawrence county, we need to add the number of kids who stayed home and the number of kids who went to camp, including the 78 kids from outside the county. 

Total number of kids = 644997 + 893835 + 78 = 1538910 

Therefore, there are 1,538,910 kids in Lawrence county.",,910.0,1
171,Faye was placing 30 pencils into rows with 5 pencils in each row.How many rows could she make?,6.0,"To find out how many rows Faye could make, we need to divide the total number of pencils by the number of pencils in each row. So, 30 divided by 5 equals 6. Therefore, Faye could make 6 rows of pencils.",,6.0,1
172,Frank had some pieces of candy. If he put them into 26 bags with 33 pieces in each bagHow many pieces of candy did he have?,858.0,"To find out how many pieces of candy Frank had, we need to multiply the number of bags by the number of pieces in each bag. So:

26 bags x 33 pieces per bag = 858 pieces of candy

Therefore, Frank had 858 pieces of candy.",,858.0,1
173,A grocery store had a total of 17 bottles of which 9 were bottles of regular soda and the rest were bottles of diet soda. They also had 29 apple.How many bottles of diet soda did they have?,8.0,"There were 17 bottles in total and 9 of them were regular soda. So, the number of diet soda bottles is 17 - 9 = 8. Therefore, the grocery store had 8 bottles of diet soda.",,8.0,1
174,Jake has 3 fewer peaches than Steven who has 8 more peaches than Jill. Steven has 5 peaches.How many more peaches does Jake have than Jill?,5.0,"If Steven has 5 peaches, then Jill must have 5 - 8 = -3 peaches, which doesn't make sense. Therefore, there must be an error in the problem.",,3.0,1
175,Josh had 20 marbles in his collection. He gave 2 marbles to Jack.How many marbles does Josh have now?,18.0,"After giving 2 marbles to Jack, Josh will have 20 - 2 = 18 marbles left. The answer is 18.",,18.0,0
176,Steven has 12 peaches. Jake has 4 fewer peaches than Steven who has 67 more peaches than Jill.How many peaches does Jake have?,8.0,"If Steven has 12 peaches, then Jill must have 12 - 67 = -55 peaches (which doesn't make sense). Therefore, we cannot solve this problem with the given information.",,55.0,1
177,The Razorback t-shirt shop makes $ 98 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of 163 t-shirts. If they sold 89 t-shirts during the Arkansas gameHow much money did they make from selling the t-shirts during the arkansas game?,8722.0,"They sold 89 t-shirts during the Arkansas game, so they made 89 x $98 = $8,722 from selling t-shirts during the Arkansas game.",,722.0,1
178,"Jack received 6 emails in the morning, 3 emails in the afternoon and 5 emails in the evening.How many emails did Jack receive in the day?",14.0,Jack received a total of 6 + 3 + 5 = 14 emails in the day. The answer is 14.,,14.0,0
179,Jake has 5 fewer peaches than Steven. Steven has 18 more peaches than Jill. If Jill has 87 peachesHow many more peaches does Jake have than Jill?,13.0,"If Jill has 87 peaches, then Steven has 18 more, which is 87 + 18 = 105 peaches.
Jake has 5 fewer peaches than Steven, which means he has 105 - 5 = 100 peaches.
Therefore, Jake has 100 - 87 = 13 more peaches than Jill.",,13.0,1
180,For the walls of the house he would use 13 large planks of wood. If each plank of wood needs 17 pieces of nails to be secured and in addition 8 nails are needed for some smaller planks.How many nails does John need for the house wall?,229.0,"John needs 13 large planks of wood, and each plank needs 17 nails to be secured. So, he needs 13 x 17 = 221 nails for the large planks. In addition, he needs 8 nails for each of the smaller planks, but we don't know how many smaller planks he has. Therefore, we cannot determine the exact number of nails needed for the smaller planks.",,8.0,1
181,"A grocery store had 54 bottles of diet soda, 83 bottles of regular soda and 12 apples.How many more bottles of regular soda than diet soda did they have?",29.0,The grocery store had 83 - 54 = 29 more bottles of regular soda than diet soda. The answer is 29.,,29.0,0
182,Because of the decision Sofia asked the students to suggest specific types of food. If 269 students suggested adding bacon 330 suggested adding mashed potatoes to the menu and 76 suggested adding tomatoesHow many more students suggested mashed potatoes than those that suggested bacon?,61.0,"330 students suggested adding mashed potatoes and 269 students suggested adding bacon. To find the difference, we subtract the number of students who suggested bacon from the number of students who suggested mashed potatoes: 

330 - 269 = 61 

Therefore, 61 more students suggested adding mashed potatoes than those who suggested adding bacon.",,61.0,1
183,Brenda's mother made cookies for 14. If each of them had 30 cookiesHow many cookies did she prepare?,420.0,"Brenda's mother made cookies for 14 people, and each person had 30 cookies. So the total number of cookies prepared is 14 x 30 = 420. Therefore, Brenda's mother prepared 420 cookies.",,420.0,1
184,Dave had 15 apps on his phone. He added 71 new apps. After deleting some he had 14 left.How many more apps did he delete than he added?,1.0,"Dave had 15 + 71 = 86 apps after adding the new ones.
He deleted 86 - 14 = 72 apps.
Therefore, he deleted 72 - 71 = 1 more app than he added.",,1.0,1
185,Kelly has 106 nintendo games.How many will she have left if she gives away 64 games?,42.0,"If Kelly gives away 64 games, she will be left with 106 - 64 = 42 games. The answer is 42.",,42.0,0
186,Matthew had 15 crackers. If Matthew gave equal numbers of crackers to his 5 friends and still had 10 crackers leftHow many crackers did each friend eat?,1.0,"Matthew gave away a total of 15 - 10 = 5 crackers.
Since he gave equal numbers to his 5 friends, each friend ate 5/5 = 1 cracker.",,1.0,1
187,Last week Fred had 114 dollars and Jason had 22 dollars. They washed cars over the weekend and now Fred has 21 dollars and Jason has 78 dollars.How much money did Jason make over the weekend?,56.0,"Fred lost 114 - 21 = 93 dollars over the weekend.
Jason gained 78 - 22 = 56 dollars over the weekend.
Therefore, Jason made 56 dollars over the weekend.",,56.0,1
188,Frank had 42 pieces of candy. If he put them equally into 2 bagsHow many pieces of candy are in each bag?,21.0,"If Frank had 42 pieces of candy and he put them equally into 2 bags, then each bag would have 42/2 = 21 pieces of candy. Therefore, there are 21 pieces of candy in each bag.",,21.0,1
189,Jack received 6 emails in the morning and 2 emails in the afternoon.How many more emails did Jack receive in the morning than in the afternoon?,4.0,"Jack received 6 emails in the morning and 2 emails in the afternoon. To find out how many more emails he received in the morning than in the afternoon, we need to subtract the number of afternoon emails from the number of morning emails: 

6 - 2 = 4 

Therefore, Jack received 4 more emails in the morning than in the afternoon.",,4.0,1
190,Baker made 43 cakes and 114 pastries. If he sold 154 pastries and 78 cakesHow many more pastries than cakes did baker sell?,76.0,"Baker sold 78 cakes, which is less than the 43 cakes he made. So he must have 43 - 78 = -35 cakes left. This means he sold 114 pastries and 154 pastries, which is a total of 114 + 154 = 268 pastries sold. 

To find out how many more pastries than cakes he sold, we need to find the difference between the number of pastries sold and the number of cakes sold. 

268 pastries sold - 78 cakes sold = 190 more pastries sold than cakes. 

Therefore, Baker sold 190 more pastries than cakes.",,190.0,1
191,Haley has 20 marbles. In her class 2 boys love to play marbles. If she distributes her marbles equallyHow many will each of the boys receive?,10.0,"Haley has 20 marbles. If she wants to distribute them equally between 2 boys, she needs to divide the marbles by the number of boys. So, 20 divided by 2 is 10. Each of the boys will receive 10 marbles.",,10.0,1
192,They decided to hold the party in their backyard. They have 4 sets of tables and each set has 3 chairs. If a total of 14 people will attend the partyHow many more chairs will they have to buy?,2.0,"There are 4 sets of tables and each set has 3 chairs, so there are 4 x 3 = 12 chairs available.
If 14 people will attend the party and there are only 12 chairs available, they will need to buy 14 - 12 = 2 more chairs. The answer is 2.",,2.0,0
193,Last week Fred had 19 dollars and Jason had 16 dollars. They washed cars over the weekend and now Fred has 40 dollars and Jason has 69 dollars.How much money did Fred earn over the weekend?,21.0,"Fred started with 19 dollars and ended with 40 dollars, so he earned 40 - 19 = 21 dollars over the weekend. The answer is 21.",,21.0,0
194,Paco had 25 cookies. He ate 5 of them. Then he bought 3 more cookiesHow many more cookies did he eat than those he bought?,2.0,"Paco had 25 cookies, ate 5, and bought 3 more, so he had 25 - 5 + 3 = 23 cookies. He ate 5 and bought 3, so he ate 5 - 3 = 2 more cookies than he bought. The answer is 2.",,2.0,0
195,Rachel has 4 apple trees. She picked 7 apples from each of her trees. Now the trees have a total 29 apples still on them.How many apples did Rachel pick in all?,28.0,"Rachel has 4 apple trees and picked 7 apples from each tree, so she picked a total of 4 x 7 = 28 apples.
If there are 29 apples still on the trees, then Rachel picked a total of 29 + 28 = 57 apples in all. The answer is 57.",,57.0,0
196,Jake has 8 fewer peaches and 10 more apples than Steven. Steven has 11 apples and 18 peaches.How many more peaches than apples does Steven have?,7.0,"Steven has 18 peaches and 11 apples, so he has 18 - 11 = 7 more peaches than apples.",,7.0,1
197,A grocery store had a total of 30 bottles of which 28 were bottles of regular soda and the rest were bottles of diet soda.How many bottles of diet soda did they have?,2.0,"The grocery store had a total of 30 bottles. Of those, 28 were regular soda. So the number of diet soda bottles is 30 - 28 = 2. The answer is 2.",,2.0,0
198,The Ferris wheel in paradise park has 2 small seats and 23 large seats. Each small seat can hold 14 people and large seat can hold 54 people.How many people can ride the Ferris wheel on small seats?,28.0,"The Ferris wheel has 2 small seats, and each small seat can hold 14 people. So, the total number of people that can ride on small seats is 2 x 14 = 28. Therefore, 28 people can ride the Ferris wheel on small seats.",,28.0,1
199,Debby bought 360 soda bottles and 162 water bottles when they were on sale. If she drank 122 water bottles and 9 soda bottles a dayHow many days would the soda bottles last?,40.0,"Debby bought a total of 360 + 162 = 522 bottles.
She drinks 9 soda bottles a day, so the soda bottles will last 360 ÷ 9 = 40 days.
She drinks 122 water bottles, so the remaining water bottles will last 162 - 122 = 40 days as well.
Therefore, the soda bottles will last for 40 days.",,40.0,1
200,A grocery store had 4 bottles of diet soda. If they had 79 more bottles of regular soda than diet sodaHow many bottles of regular soda did they have?,83.0,"If the grocery store had 4 bottles of diet soda, and 79 more bottles of regular soda than diet soda, then they must have had 4 + 79 = 83 bottles of regular soda. The answer is 83.",,83.0,0
201,During the Arkansas and Texas tech game the Razorback t-shirt shop made $ 60 by selling t-shirts. If they make $ 10 dollars off each t-shirt soldHow many t-shirts did they sell?,6.0,"To find out how many t-shirts were sold, we need to divide the total amount made ($60) by the profit made per t-shirt ($10). 

60 ÷ 10 = 6 

So the Razorback t-shirt shop sold 6 t-shirts during the game.",,6.0,1
202,Frank was reading through his favorite book. He read 22 pages per day and it took him 569 days to finish the book.How many pages are there in the book?,12518.0,"If Frank read 22 pages per day for 569 days, then he read a total of 22 x 569 = 12,518 pages. Therefore, there are 12,518 pages in the book.",,518.0,1
203,Winter is almost here and most animals are migrating to warmer countries. 86 bird families flew away for the winter from near a mountain. If there were 45 bird families living near the mountain initiallyHow many more bird families flew away for the winter than those that stayed behind?,127.0,"There were 45 bird families living near the mountain initially and 86 bird families flew away for the winter. To find out how many more bird families flew away than stayed behind, we need to subtract the initial number from the number that flew away: 

86 - 45 = 41 

So 41 more bird families flew away for the winter than stayed behind.",,41.0,1
204,Allan brought 2 balloons to the park and then bought 3 more balloons there. If Jake brought 6 balloons to the parkHow many more balloons did Jake have than Allan in the park?,1.0,"Allan brought 2 balloons and bought 3 more, so he had a total of 2 + 3 = 5 balloons at the park.
Jake brought 6 balloons to the park.
To find out how many more balloons Jake had than Allan, we can subtract the number of balloons Allan had from the number of balloons Jake had: 6 - 5 = 1.
Therefore, Jake had 1 more balloon than Allan at the park.",,1.0,1
205,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelvesHow many magazines does he have in total?,460.0,"Bryan has 9 books and 46 magazines in each of his 10 bookshelves. To find the total number of magazines he has, we need to multiply the number of magazines in each bookshelf by the number of bookshelves he has and then add the number of magazines he has in any extra places. 

Number of magazines in each bookshelf = 46
Number of bookshelves = 10
Total number of magazines in bookshelves = 46 x 10 = 460

Therefore, Bryan has 460 magazines in total.",,460.0,1
206,"Rachel had to complete 8 pages of math homework, 7 pages of reading homework and 3 more pages of biology homework.How many pages of math and biology homework did she have to complete?",11.0,"Rachel had to complete 8 pages of math homework and 3 pages of biology homework, for a total of 8 + 3 = 11 pages.",,11.0,1
207,"Every day Ryan spends 2 hours on learning english, 5 hours on learning chinese and 4 hours on learning spanish.How many more hours does he spend on learning chinese than he does on learning spanish?",1.0,Ryan spends 5 - 4 = 1 more hour on learning Chinese than he does on learning Spanish. The answer is 1.,,1.0,0
208,2 birds were sitting on the fence. 5 more birds and 4 more storks came to join them.How many more birds than storks are sitting on the fence?,3.0,"There were originally 2 birds on the fence. 5 more birds joined, making a total of 2 + 5 = 7 birds. 4 storks also joined, making a total of 4 + 7 = 11 animals on the fence. Since there are 7 birds and 4 storks, there are 7 - 4 = 3 more birds than storks on the fence. The answer is 3.",,3.0,0
209,Paco had 6 cookies. He gave 30 cookies to his friend and ate 23 cookies.How many more cookies did he give to his friend than those he ate?,7.0,"Paco had 6 cookies. He gave 30 cookies to his friend and ate 23 cookies. So he gave his friend 30 cookies - 6 cookies = 24 more cookies than he had originally. He gave his friend 30 cookies and ate 23 cookies, so he gave his friend 30 cookies - 23 cookies = 7 more cookies than he ate. The answer is 24 for the first question and 7 for the second question.",,24.0,0
210,Baker made 170 cakes. He sold 78 of them and bought 31 new cakes.How many more cakes did baker sell than those he bought?,47.0,Baker originally had 170 cakes. He sold 78 and bought 31 more. So he now has 170 - 78 + 31 = 123 cakes. He sold 78 - 31 = 47 more cakes than he bought. The answer is 47.,,47.0,0
211,Shirley sold 25 cases of boxes of trefoils.How many boxes of trefoils does she need to deliver if each case has 14 boxes?,350.0,"To find the total number of boxes of trefoils Shirley needs to deliver, we need to multiply the number of cases by the number of boxes per case. 

25 cases x 14 boxes per case = 350 boxes 

Therefore, Shirley needs to deliver 350 boxes of trefoils.",,350.0,1
212,We ordered 17 pizzas. Each pizza has 4 slices. If there are 25 of usHow many slices of pizza are there altogether?,68.0,"There are 17 pizzas and each pizza has 4 slices, so there are 17 x 4 = 68 slices of pizza in total. If there are 25 people, then each person can have 68/25 = 2.72 slices of pizza (rounded to two decimal places). However, since you can't have a fraction of a slice, we can say that there are 68 slices of pizza altogether, and some people may have more or less than others.",,68.0,1
213,There were 12 roses and 2 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 10 roses and 21 orchids in the vase.How many orchids did she cut?,19.0,"Jessica started with 2 orchids in the vase and now there are 21 orchids, so she must have added 21 - 2 = 19 orchids. She also started with 12 roses and now there are 10 roses, so she must have removed 12 - 10 = 2 roses. Therefore, Jessica cut 19 orchids from her flower garden.",,19.0,1
214,White t - shirts can be purchased in packages. If mom buys 66 white t - shirts where each package has 3 white t - shirts.How many packages will she have?,22.0,"Mom bought 66 white t-shirts and each package has 3 white t-shirts. To find out how many packages she has, we need to divide the total number of t-shirts by the number of t-shirts in each package: 

66 ÷ 3 = 22 

Mom will have 22 packages of white t-shirts.",,22.0,1
215,Mary is baking a cake. The recipe calls for 5 cups of flour and 14 cups of sugar. She already put in 10 cups of flour and 2 cups of sugar.How many more cups of sugar does she need to add?,12.0,"The recipe calls for 14 cups of sugar, and Mary has already added 2 cups. So she still needs to add 14 - 2 = 12 more cups of sugar. The answer is 12.",,12.0,0
216,Mom buys 51 white t - shirts. If white t - shirts can be purchased in packages of 3How many packages will she have?,17.0,"To find out how many packages of white t-shirts Mom will have, we need to divide the total number of t-shirts by the number of t-shirts in each package. 

51 ÷ 3 = 17 

Mom will have 17 packages of white t-shirts.",,17.0,1
217,Adam could fit 8 action figures and 10 cabinets on each shelf in his room. His room has 4 shelves.How many total items could his shelves hold?,72.0,"Adam can fit a total of 8 + 10 = 18 items on each shelf.
Since he has 4 shelves, he can fit a total of 18 x 4 = 72 items on all shelves.
Therefore, his shelves could hold a total of 72 items.",,72.0,1
218,We ordered 7 pizzas. Each pizza has the same number of slices. If there were a total of 14 slicesHow many slices are there in each pizza?,2.0,"If there were 7 pizzas and a total of 14 slices, then each pizza must have 14/7 = 2 slices. Therefore, there are 2 slices in each pizza.",,2.0,1
