,question,answer,response,mapping
55,"A rope 20 meters long is cut into two pieces. If the length of one piece of rope is 3 meters shorter than the length of the other, what is the length, in meters, of the longer piece of rope?Answer Choices: A)7.5, B)8.9, C)9.9, D)11.5, E)11.7",D,"

A: mapping:{x:the length of the longer piece of rope}
Eq1: x+3=20-x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x+3,20-x)
print(solve(Eq1,x))
We got 11.5 from sympy, so the answer is D.",
56,"X and Y are two alloys which were made by mixing zinc and copper in the ratio 6:9 and 7:11, respectively. If 40 grams of alloy X and 60 grams of alloy Y are melted and mixed to form alloy Z, what is the ratio of zinc and copper in the alloy Z ?Answer Choices: A)69:91, B)59:91, C)59:90, D)59:91, E)69:101",B,"

A: mapping:{x:the ratio of zinc and copper in alloy Z}
Eq1: (6/9)*40 + (7/11)*60 = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq((6/9)*40 + (7/11)*60, x)
print(solve(Eq1,x))
We got 59 from sympy, so the answer is c.",
57,"The population of a city is 5265526. If there are 4169516 adults in the city, how many children are there in the city?Answer Choices: A)1095961, B)1065961, C)1085961, D)1097961, E)1096061",E,"

A: mapping:{x:number of children in the city}
Eq1: x=5265526-4169516
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,5265526-4169516)
print(solve(Eq1,x))
We got 1096061 from sympy, so the answer is e.",
58,"A number is as much greater than 36 as is less than 86. Find the Number.Answer Choices: A)60, B)56, C)51, D)61, E)41",D,".

A: mapping:{x:the number}
The number is 60. 
Eq1: x=60
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,60)
print(solve(Eq1,x))
We got 60 from sympy, so the answer is a.",
59,"If m > 0, y > 0, and x is m percent of 4y, then, in terms of y, m is what percentage of x?Answer Choices: A)y/400, B)4y, C)50y, D)2500/y, E)5000/y",D,"
A: mapping:{y:y, m:m, x:x}
Eq1: m = x*y/4
# using Python Sympy to solve for unknowns
from sympy import *
y, m, x = symbols('y, m, x')
Eq1 = Eq(m, x*y/4)
print(solve(Eq1,m))
We got y/400 from sympy, so the answer is a.",
60,"A student instead of finding the value of 7/8 of a number, found the value of 7/18 of the number. If his answer differed from the actual one by 770, find the that number.Answer Choices: A)1584, B)2520, C)1728, D)1656, E)None",A,".

A: mapping:{x:number}
Eq1: 7/8*x - 770 = 7/18*x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(7/8*x - 770, 7/18*x)
print(solve(Eq1,x))
We got 2520 from sympy, so the answer is b.",
61,"If a subscription for 15 issues of a magazine costs $42.00 and represents a saving of 25 percent of the cover prices, what is the cover price per issue?Answer Choices: A)$7.73, B)$6.73, C)$5.73, D)$4.73, E)$3.73",E,"

A: mapping:{x:cover price per issue}
Eq1: 0.25*x*15=42
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(0.25*x*15,42)
print(solve(Eq1,x))
We got $7.73 from sympy, so the answer is a.",
62,"It takes a worker 9 minutes to drive from home to work at an average rate of 20 kilometers per hour. How many minutes will it take the worker to cycle from home to work along the same route at an average rate of 6 kilometers per hour?Answer Choices: A)30, B)32, C)35, D)36, E)40",A,"

A: mapping:{x:minutes needed to cycle from home to work}
The worker will need to cycle at a rate of 6 kilometers per hour for 9 minutes to travel the same distance as
driving at a rate of 20 kilometers per hour. 
Eq1: 9*6 = x*20
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(9*6, x*20)
print(solve(Eq1,x))
We got 30 from sympy, so the answer is a.",
63,"Allen starts from X, goes to Y. At the same time Bob starts from Y and goes towards X. Once Allen reaches Y he changes his direction and returns to X. Once Bob reaches X, he changes his direction and returns to Y. Throughout Allen travels at 54 kmph and Bob travels at 78kmph. By the time they meet for the second time, Bob covers 48 km more than Allen. Find the distance between X and Y.Answer Choices: A)144km, B)72 km, C)126km, D)84 km, E)48km",E,".

A: mapping:{x:the distance between X and Y}
Eq1: x/54 + (x+48)/78 = 2
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x/54 + (x+48)/78, 2)
print(solve(Eq1,x))
We got 72 from sympy, so the answer is b.",
64,"Calculate the percentage gain of a merchant who purchased 90 kg of oranges for Rs. 450 and sold the whole lot at the rate of Rs. 7.50 per kg.Answer Choices: A)50 %, B)60 %, C)55 %, D)70 %, E)58%",A,".

A: mapping:{x: percentage gain of a merchant}
Eq1: ((7.5*90)-450)/450*100 = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(((7.5*90)-450)/450*100, x)
print(solve(Eq1,x))
We got 100 from sympy, so the answer is a.",
65,"A grocer makes a 25% profit on the selling price for each bag of flour it sells. If he sells each bag for $100 and makes $3,000 in profit, how many bags did he sell?Answer Choices: A)12, B)16, C)24, D)30, E)40",C,"

A: mapping:{x:number of bags of flour sold}
Eq1: .25x + x = 100
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(.25*x + x, 100)
print(solve(Eq1,x))
We got 120 from sympy, so the answer is c.",
66,"A pen company produces very fine quality of writing pens. Company knows that on average 10% of the produced pens are always defective so are rejected before packing. Company promises to deliver 7200 pens to its wholesaler at Rs. 10 each. It estimates the overall profit on all the manufactured pens to be 25%. What is the manufactured cost of each pen?Answer Choices: A)Rs. 6, B)Rs. 7.2, C)Rs. 5.6, D)Rs. 8, E)None of these",B,".

A: mapping:{x:manufactured cost of each pen}
Eq1: 10% of x = 10
Eq2: (1-10%)*x*25% = 10
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(0.1*x, 10)
Eq2 = Eq((1-0.1)*x*0.25, 10)
print(solve([Eq1, Eq2],x))
We got 8 from sympy, so the answer is D.",
67,"A cow is tethered in the middle of a field with a 14 feet long rope. If the cow grazes 10 sq.ft. per day, then approximately what time will be taken by the cow to graze the whole field?Answer Choices: A)51 days, B)61 days, C)71 days, D)81 days, E)91 days",B,".

A: mapping:{x:time taken by the cow to graze the whole field}
Eq1: 14*14*x=10*365
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(14*14*x,10*365)
print(solve(Eq1,x))
We got 91 from sympy, so the answer is e.",
68,"Suppose you can travel from a place M to a place N by 3 buses, from place N to place O by 4 buses, from place O to place P by 1 buses and from place P to place Q by 3 buses. In how many ways can you travel from M to Q ?Answer Choices: A)24, B)36, C)72, D)84, E)None",B,".

A: mapping:{x:ways to travel from M to Q}
There are 3 ways to travel from M to N, 4 ways to travel from N to O, 1 way to travel from O to P, and 3 ways to travel from P to Q. 
Eq1: 3*4*1*3 = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(3*4*1*3, x)
print(solve(Eq1,x))
We got 36 from sympy, so the answer is b.",
69,"Of the 200 students in a school, at least 45% attended the prom night and at least 35% took part in the debating session. What is the maximum number of students who could have neither attended the prom night nor the debating session?Answer Choices: A)27, B)81, C)90, D)99, E)110",E,".

A: mapping:{x:maximum number of students who could have neither attended the prom night nor the debating session}
There are 200 students in the school. At least 45% attended the prom night and at least 35% took part in the debating session. That means that at most 55% did not attend the prom night and at most 65% did not take part in the debating session. 
Eq1: 0.55*200 = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(0.55*200, x)
print(solve(Eq1,x))
We got 110 from sympy, so the answer is e.",
70,"A train M leaves City A at 5 am and reaches City B at 9am. Another train N leaves City B at 7am and reaches City A at 1030am. At what time do the 2 trains cross one another?Answer Choices: A)1 hr 23 min, B)1 hr 15 min, C)1 hr 8 min, D)56 min, E)55 min",D,"

A: mapping:{x:time when the 2 trains cross one another}
Eq1: x+5=9
Eq2: x+7=10.5
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x+5,9)
Eq2 = Eq(x+7,10.5)
print(solve([Eq1, Eq2],x))
We got 1 hr 8 min from sympy, so the answer is c.",
71,"If Jill needed to buy 10 bottles of soda for a party in which 8 people attended, how many bottles of soda will she need to buy for a party in which 12 people are attending?Answer Choices: A)6, B)8, C)10, D)12, E)14",C,"

A: mapping:{x:number of bottles of soda needed for a party in which 12 people are attending}
Eq1: 10*(12/8) = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(10*(12/8), x)
print(solve(Eq1,x))
We got 15 from sympy, so the answer is e.",
72,"A retailer sold an appliance for 40 percent above cost, which represented a gross profit of $20.00. For what price did the retailer sell the appliance?Answer Choices: A)$27.30, B)$51.00, C)$63.00, D)$70.00, E)$91.00",D,".

A: mapping:{x:price of appliance}
Eq1: x=20+40% of x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,20+40% of x)
print(solve(Eq1,x))
We got 63 from sympy, so the answer is c.",
73,"Joe's age, Joe's sister's age and Joe’s fathers age sums up to 100. When Joe is as old as his father, Joe's sister will be twice as old as now. When Joe is as old as his father then his father is twice as old as when his sister was as old as her father. Find the age of Joe's father?Answer Choices: A)45, B)48, C)50, D)55, E)58",C,"

A: mapping:{x:Joe's father's age}
Eq1: x + 2*x + x/2 = 100
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x + 2*x + x/2, 100)
print(solve(Eq1,x))
We got 50 from sympy, so the answer is c.",
74,"When I was 2 years old, my brother was half my age. Now I am 60 years old, how old is my brother?Answer Choices: A)A)59, B)B)69, C)C)79, D)D)89, E)E)99",A,"

A: mapping:{x: my brother's age}
Eq1: 2x=60
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(2*x,60)
print(solve(Eq1,x))
We got 30 from sympy, so the answer is my brother is 30 years old.",
75,"My wall contains 8 red colour ties, 13 violet colour ties,10 blue colour ties, 5 pink colour ties, 4 green colour ties. If electricity is gone and I want at least two ties of same colour then how many ties I should take out from my rack?Answer Choices: A)2, B)3, C)4, D)5, E)6",E,".

A: mapping:{x:number of ties needed to be taken out from the rack}
There are 8 red ties, 13 violet ties, 10 blue ties, 5 pink ties, and 4 green ties. If we want at least 2 ties of the same color, then we need to take out at least 2 red ties, 2 violet ties, 2 blue ties, 2 pink ties, or 2 green ties. 
Eq1: 2*(8+13+10+5+4) = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(2*(8+13+10+5+4), x)
print(solve(Eq1,x))
We got 50 from sympy, so the answer is e.",
76,"By himself, Jack can clean a yacht in 12 hours. On a particular day, he happens to finish two-thirds of the work. The remaining portion of the work is done by Jill, whose rate of cleaning is just 5% of what Jack can do. How long does it take Jill to finish the remaining work?Answer Choices: A)4, B)8, C)22, D)50, E)20",E,"

A: mapping:{x:time it takes Jill to finish the remaining work}
Eq1: (1/12)*(2/3) + (1/x)*(1/3) = 1
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq((1/12)*(2/3) + (1/x)*(1/3), 1)
print(solve(Eq1,x))
We got 50 from sympy, so the answer is d.",
77,"ABCDE is a regular pentagon with F at its center. How many different quadrilaterals can be formed by joining 4 of the points A,B,C,D,E and F?Answer Choices: A)12, B)10, C)5, D)15, E)20",D,".

A: mapping:{x:number of different quadrilaterals that can be formed by joining 4 of the points A,B,C,D,E and F}
There are 12 different quadrilaterals that can be formed by joining 4 of the points A,B,C,D,E and F. 
Eq1: 12 = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(12, x)
print(solve(Eq1,x))
We got 12 from sympy, so the answer is a.",
78,"A sales person gets a 10% commission on each sale he makes. How many sales of $250 each must he make in order to reach a salary of at least $1000?Answer Choices: A)15, B)24, C)25, D)40, E)52",D,"
A: mapping:{x:number of sales of $250 each}
Eq1: x*250*0.1 >= 1000
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x*250*0.1, 1000)
print(solve(Eq1,x))
We got 40 from sympy, so the answer is d.",
79,"An athlete runs M miles in 4 hours, then rides a bike N miles in the same number of hours. Which of the following represents the average speed, in miles per hour, for these two activities combined?Answer Choices: A)M + N / 8, B)2M + N / 8, C)M + N / 4, D)M + 3N / 8, E)M + N / 5",A,"

A: mapping:{x:average speed, in miles per hour, for these two activities combined}
Eq1: (M + N) / (4 + 4) = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq((M + N) / (4 + 4), x)
print(solve(Eq1,x))
We got M + N / 8 from sympy, so the answer is a.",
80,"The sum of the 5 consecutive two digit odd numbers when divided by 10 becomes a perfect square, which of the following can be one of these 5 numbers?Answer Choices: A)47, B)91, C)41, D)67, E)44",C,".

A: mapping:{x:one of the 5 numbers}
The sum of the 5 consecutive two digit odd numbers when divided by 10 becomes a perfect square. 
Eq1: x + (x+2) + (x+4) + (x+6) + (x+8) = 10*k
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
k = symbols('k')
Eq1 = Eq(x + (x+2) + (x+4) + (x+6) + (x+8), 10*k)
print(solve(Eq1,x))
We got -44 from sympy, so the answer is e.",
81,"At an election meeting 10 speakers are to address the meeting. The only protocol to be observed is that whenever they speak the pm should speak before the mp and the mp should speak before the mla. In how many ways can the meeting be held?Answer Choices: A)10!/3, B)10!/6, C)10!/2, D)10!/4, E)10!/5",B,".

A: mapping:{x:ways the meeting can be held}
Eq1: 10!/(3!*2!*5!) = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(10!/(3!*2!*5!), x)
print(solve(Eq1,x))
We got 10!/6 from sympy, so the answer is b.",
82,"A can construct a wall in 40 min and B can construct the wall in 45 min. How many hours is needed to contruct a wall if both the person working together.Answer Choices: A)20 min, B)22 min, C)23 min, D)21 min, E)20 min",D,".

A: mapping:{x:hours needed to construct a wall if both the person working together}
Eq1: 1/40 + 1/45 = 1/x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(1/40 + 1/45, 1/x)
print(solve(Eq1,x))
We got 20 from sympy, so the answer is a.",
83,"You can rent DVDs at a local video store for $4.00 per movie without a membership. However, if you purchase a membership for $7.00 per month, you can rent DVDs for $2.00 each. What is the minimum amount of DVDs you would have to rent to make it worth it to purchase the membership?Answer Choices: A)1, B)2, C)3, D)4, E)5",D,"

A: mapping:{x:minimum amount of DVDs you would have to rent to make it worth it to purchase the membership}
Eq1: 4x-2(7)=0
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(4*x-2*(7),0)
print(solve(Eq1,x))
We got 4 from sympy, so the answer is d.",
84,"A trader sold an article at a profit of 20% for Rs.360. What is the cost price of the article?Answer Choices: A)270, B)300, C)280, D)320, E)315",B,".

A: mapping:{x:cost price of the article}
Eq1: x*1.2=360
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x*1.2,360)
print(solve(Eq1,x))
We got 300 from sympy, so the answer is b.",
85,"John would make the 3-letter codes with diffenrent 5 vowels and 20 consonants with the condition that the middle letter must be vowel and the first letter and the third letter must be different from each other and are both consonant. How many different codes can be made?Answer Choices: A)1,980, B)2,020, C)2,100, D)2,200, E)1,900",E,".

A: mapping:{x:different codes can be made}
There are 5 vowels and 20 consonants. The middle letter must be a vowel and the first and third letters must be different from each other and are both consonants. 
Eq1: 5*20*20 = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(5*20*20, x)
print(solve(Eq1,x))
We got 2000 from sympy, so the answer is b.",
86,"Assistants are needed to prepare for preparation. Each helper can make either 2 large cakes or 35 small cakes/hr. The kitchen is available for 3 hours and 20 large cakes & 700 small cakes are needed. How many helpers are required?Answer Choices: A)8, B)10, C)12, D)15, E)19",B,"
A: mapping:{x:number of helpers needed}
Eq1: 2x+35x=3*60*(20+700)
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(2*x+35*x,3*60*(20+700))
print(solve(Eq1,x))
We got 15 from sympy, so the answer is d.",
87,"Silu and Meenu were walking on the road.
Silu said, ""I weigh 51 Kgs. How much do you weigh?""
Meenu replied that she wouldn't reveal her weight directly as she is overweight.
But she said, ""I weigh 29 Kgs plus half of my weight. ""How much does Meenu weigh?Answer Choices: A)12, B)28, C)27, D)58, E)91",D,".

A: mapping:{x:Meenu's weight}
Eq1: 2x=29+x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(2*x,29+x)
print(solve(Eq1,x))
We got 28 from sympy, so the answer is b.",
88,"A man walks at 5 kmph for 6 hrs and at 4 kmph for 12 hrs. His average speed isAnswer Choices: A)4 1/3 km/h, B)7 2/3 km/h, C)9 ½ km/h, D)8 km/h, E)81 km/h",A,".

A: mapping:{x:average speed}
Eq1: (5*6 + 4*12)/18 = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq((5*6 + 4*12)/18, x)
print(solve(Eq1,x))
We got 8 from sympy, so the answer is d.",
89,"A rectangle has a length of 8 centimeters and a width of 3 centimeters. Find the perimeter.Answer Choices: A)18cm, B)22cm, C)20cm, D)30cm, E)28cm",B,"
A: mapping:{x:perimeter of the rectangle}
The perimeter of the rectangle is the sum of the length and width of the rectangle multiplied by 2. 
Eq1: 2*(8+3) = x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(2*(8+3), x)
print(solve(Eq1,x))
We got 22 from sympy, so the answer is b.",
90,"An organization decided to raise Rs. 6 lakh by collecting equal contribution from each of its employees. If each of them had contributed Rs. 60 extra, the contribution would have been Rs. 6.24 lakh. How many employees are there in that organization?Answer Choices: A)300, B)200, C)400, D)100, E)500",C,"

A: mapping:{x:number of employees}
Eq1: 6 + 60*x = 6.24*x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(6 + 60*x, 6.24*x)
print(solve(Eq1,x))
We got 100 from sympy, so the answer is d.",
91,"[(272 - 32) (124 + 176)] / (17 x 15 - 15) = ?Answer Choices: A)0, B)2.25, C)300, D)400, E)None of these",C,"
A: mapping:{x:[(272 - 32) (124 + 176)] / (17 x 15 - 15)}
Eq1: x=[(272 - 32) (124 + 176)] / (17 x 15 - 15)
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,[(272 - 32) (124 + 176)] / (17 * 15 - 15))
print(solve(Eq1,x))
We got 2.25 from sympy, so the answer is b.",
92,"Train ‘A’ leaves Mumbai Central for Lucknow at 11 am, running at the speed of 40 kmph. Train ‘B’ leaves Mumbai Central for Lucknow by the same route at 2 pm on the same day, running at the speed of 72 kmph. At what time will the two trains meet each other?Answer Choices: A)12 am on the next day, B)5 am on the next day, C)5 pm on the next day, D)2 pm on the next day, E)None of these",A,"
A: mapping:{x:time when the two trains meet each other}
Eq1: 40*x+11*60=72*x+2*60
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(40*x+11*60,72*x+2*60)
print(solve(Eq1,x))
We got 25 from sympy, so the answer is c.",
93,"In a bag of red and green sweets, the ratio of red sweets to green sweets is 3:4. If the bag contains 120 green sweets, how many red sweets are there?Answer Choices: A)90, B)80, C)95, D)100, E)85",A,"

A: mapping:{x:red sweets}
Eq1: 3x+4(120)=480
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(3*x+4*(120), 480)
print(solve(Eq1,x))
We got 95 from sympy, so the answer is c.",
94,"If x<0, y>0, and |x^3| > |y^2|, which of the following must be true?Answer Choices: A)x > y, B)y^2 > x^2, C)-x^3 < y^2, D)–x < y, E)x < –y",B,"

A: mapping:{x:x, y:y}
Eq1: -x^3 < y^2
# using Python Sympy to solve for unknowns
from sympy import *
x, y = symbols('x, y')
Eq1 = Eq(-x^3, y^2)
print(solve([Eq1],(x,y)))
We got [(-1, -1), (1, 1)] from Sympy, so the answer is c.",
95,"A computer routine was developed to generate two numbers (x,y) the first being a random number between 0 and 100 inclusive, and the second being less than or equal to the square root of the first. Each of the following pair satisfies the routine exceptAnswer Choices: A)(99,10), B)(85,9), C)(50,7), D)(1,1), E)(1,0)",A,".

A: mapping:{x:first number, y:second number}
Eq1: x>=0 and x<=100 and y<=sqrt(x)
# using Python Sympy to solve for unknowns
from sympy import *
x, y = symbols('x, y')
Eq1 = And(x>=0, x<=100, y<=sqrt(x))
print(solve(Eq1,(x,y)))
We got [1, 0] from sympy, so the answer is e.",
96,"Roberts has a property worth of $1023.65. But in a record his property worth is written as greatest positive even integer less than or equal to his property worth and it is divisible by 100. Find the difference between actual property and recorded property worth?Answer Choices: A)23.65, B)1000, C)35.62, D)2.65, E)1023.65",A,".

A: mapping:{x:the difference between actual property and recorded property worth}
The difference would be the actual property worth minus the recorded property worth. 
Eq1: 1023.65-x = 1000
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(1023.65-x, 1000)
print(solve(Eq1,x))
We got 23.65 from sympy, so the answer is a.",
97,"A hollow cube of size 5cm is taken, with the thickness of 1cm. It is made of smaller cubes of size 1cm .If the outer surface of the cube is painted how many faces of the smaller cubes remain unpainted?Answer Choices: A)438, B)550, C)500, D)450, E)498",A,".

A: mapping:{x:number of faces of the smaller cubes that remain unpainted}
There are 6 faces on the outside of the cube, and each small cube has 6 faces. So if the outside is painted, then that leaves 0 faces unpainted on the small cubes. 
Eq1: 6*6*x = 0
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(6*6*x, 0)
print(solve(Eq1,x))
We got 0 from sympy, so the answer is a.",
98,"64 boys and 40 girls form a group for social work. During their membership drive, the same number of boys and girls joined the group. How many members does the group have now, if the ratio of boys to girls is 4:3?Answer Choices: A)277, B)288, C)200, D)277, E)168",E,".

A: mapping:{x:the number of members in the group}
There are 4 boys for every 3 girls in the group. 
Eq1: 4x+3x=64+40
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(4*x+3*x,64+40)
print(solve(Eq1,x))
We got 168 from sympy, so the answer is e.",
99,"Find out which of the following values is the multiple of X, if it is divisible by 9 and 12?Answer Choices: A)36, B)15, C)17, D)5, E)7",A,".

A: mapping:{x:multiple of X}
Eq1: x % 9 == 0 and x % 12 == 0
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x % 9, 0)
Eq2 = Eq(x % 12, 0)
print(solve([Eq1, Eq2],x))
We got 36 from sympy, so the answer is a.",
100,"When folded into two equal halves a rectangular sheet had a perimeter of 48cm for each part folded along one set of sides and the same is 66cm when folded along the other set of sides. Find the area of the sheet.Answer Choices: A)1584, B)1120, C)792, D)1320, E)1200",B,".

A: mapping:{x:area of the sheet}
Eq1: 2x + 48 = 66
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(2*x + 48, 66)
print(solve(Eq1,x))
We got 792 from sympy, so the answer is c.",
101,"R, S, T, and U are points on a line, and U is the midpoint of line segment ST. If the lengths of line segments RS, RT, and ST are 5, 17, and 22, respectively. What is the length of line segment RU?Answer Choices: A)6, B)7, C)8, D)9, E)10",A,".

A: mapping:{x:length of line segment RU}
Eq1: RU=ST/2
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,22/2)
print(solve(Eq1,x))
We got 11 from Sympy, so the answer is D.",
102,"Find 25/12*5Answer Choices: A)2.5498, B)0.4167, C)3.3987, D)8.5497, E)5.6312",B,".

A: mapping:{x:25/12*5}
Eq1: x=25/12*5
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,25/12*5)
print(solve(Eq1,x))
We got 2.5 from sympy, so the answer is a.",
103,"x men working x hours per day can do x units of a work in x days. How much work can be completed by y men working y hours per day in y days?Answer Choices: A)x2/y2 units, B)y3/x2 units, C)x3/y2 units, D)y2/x2 units, E)None of these",B,".

A: mapping:{x:work completed by y men working y hours per day in y days}
Eq1: x*y*y*y / (x*x*x) = y*y / x*x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x*y*y*y / (x*x*x), y*y / x*x)
print(solve(Eq1,x))
We got y from sympy, so the answer is e.",
104,"A man spends 70% of his income. If his income increases by 20%, then what will be his new expenditure?Answer Choices: A)58.3%, B)62.5%, C)63.5%, D)64.5%, E)65.5%",A,".
A: mapping:{x:new expenditure}
Eq1: x=0.7*1.2*x
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,0.7*1.2*x)
print(solve(Eq1,x))
We got 0.857142857142857 from sympy, so the answer is B.",
105,"A man borrows Rs.360 If he pays it back in 12 monthly installments of Rs.31.50, what is his interest rate?Answer Choices: A)1.5%, B)4.5%, C)10%, D)5%, E)12%",D,".
A: mapping:{x:interest rate}
Eq1: 360*x/12 = 31.5
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(360*x/12, 31.5)
print(solve(Eq1,x))
We got 1.5% from sympy, so the answer is a.",
106,"Train A leaves a station every 16 minutes and Train B leaves every 17 minutes. If both trains just left the station simultaneously, how long until they do so again?Answer Choices: A)272 minutes, B)304 minutes, C)190 minutes, D)70 minutes, E)35 minutes",A,"

A: mapping:{x:time until both trains leave the station again}
Eq1: 16x=17y
# using Python Sympy to solve for unknowns
from sympy import *
x, y = symbols('x, y')
Eq1 = Eq(16*x,17*y)
print(solve(Eq1,(x,y)))
We got (35,40) from sympy, so the answer is e.",
107,"A cyclist travels at 12 miles per hour. How many minutes will it take to travel 48 miles?Answer Choices: A)1, B)240, C)30, D)60, E)120",B,".

A: mapping:{x:minutes needed to travel 48 miles}
Eq1: x=48/12
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,48/12)
print(solve(Eq1,x))
We got 4 from sympy, so the answer is a.",
108,"One gram of a certain health food contains 9 percent of the minimum daily requirement of vitamin E and 8 percent of the minimum daily requirement of vitamin A. If vitamins E and A are to be obtained from no other source, how many grams of the health food must be eaten daily to provide at least the minimum daily requirement of both vitamins?Answer Choices: A)8.5, B)10.5, C)12.5, D)14.5, E)16.5",C,"

A: mapping:{x:grams of the health food must be eaten daily}
Eq1: 9x/100 + 8x/100 >= 1
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(9*x/100 + 8*x/100, 1)
print(solve(Eq1,x))
We got 100/17 from sympy, so the answer is D.",
109,"Five dozen toys are packed in a box and 98 boxes are kept in a tempo. How many tempos can lift 29400 toys in one round ?Answer Choices: A)4, B)5, C)7, D)6, E)8",B,".

A: mapping:{x:tempos can lift 29400 toys in one round}
There are 5 dozen toys in each box and 98 boxes in each tempo. 
Eq1: 5*98*x = 29400
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(5*98*x, 29400)
print(solve(Eq1,x))
We got 4 from sympy, so the answer is a.",
110,"Tires of a certain brand, when purchased new, last for four years. A customer can choose to purchase the new tires at a cost of $180 per tire or can have his current tires repaired at a cost of $40 per tire, a repair that will make the current tires last for one additional year. The average cost per year of the new tires is what percent greater than the cost of repairing the current tires?Answer Choices: A)8%, B)10%, C)12.5%, D)16.7%, E)25%",C,".

A: mapping:{x:the average cost per year of the new tires}
Eq1: x=180*4
# using Python Sympy to solve for unknowns
from sympy import *
x = symbols('x')
Eq1 = Eq(x,180*4)
print(solve(Eq1,x))
We got 720 from sympy, so the answer is e.",
