,question,answer,response,tokens,logprobs,mapping,response_answer,equations
352," Olivia uploaded c0 pictures from her phone and c1 from her camera to facebook. If she sorted the pics into c2 different albums with the same amount of pics in each album, how many pictures were in each of the albums? ",5.0," Olivia had c0 + c1 pictures in total. 
total_pictures = c0 + c1
If she sorted them into c2 albums, each album would have total_pictures / c2 pictures. 
pictures_per_album = total_pictures / c2
The answer is pictures_per_album.","[' Olivia', ' had', ' c', '0', ' +', ' c', '1', ' pictures', ' in', ' total', '.', ' ', '\n', 'total', '_', 'pict', 'ures', ' =', ' c', '0', ' +', ' c', '1', '\n', 'If', ' she', ' sorted', ' them', ' into', ' c', '2', ' albums', ',', ' each', ' album', ' would', ' have', ' total', '_', 'pict', 'ures', ' /', ' c', '2', ' pictures', '.', ' ', '\n', 'pict', 'ures', '_', 'per', '_', 'album', ' =', ' total', '_', 'pict', 'ures', ' /', ' c', '2', '\n', 'The', ' answer', ' is', ' pictures', '_', 'per', '_', 'album', '.']","[-0.33378378000000003, -0.65849215, -0.031285565, -0.00040809053, -0.230315, -0.00013431041, -0.000118572985, -0.18506563, -0.6952361, -0.00026158961999999997, -0.005556477000000001, -0.5101603, -0.0009567675299999999, -0.10233775, -0.00013860193, -0.07743386000000001, -2.6936819999999996e-06, -0.0015767856, -0.00021288393999999999, -7.875258600000001e-05, -0.00017687635, -0.00012608219, -0.00010593592999999999, -0.012486453000000002, -0.63904953, -0.00070556306, -0.55115825, -0.09871339999999999, -0.0013625489, -0.00047636798, -0.0013965723, -0.5378158, -0.19806762, -0.38970342, -0.0058798264000000005, -0.060893245000000006, -0.05052021, -0.5645365, -4.0040345e-06, -1.3185924000000001e-05, -4.1232483e-06, -0.20908575000000001, -0.0005298598, -0.00031060036, -0.034069010000000004, -0.6401969, -0.117191866, -1.3185924000000001e-05, -0.06718864000000001, -3.2906587e-06, -1.8310955e-05, -0.06999701, -0.0009031922, -0.00014647158, -0.0014376382, -0.0011107035, -1.6282536e-05, -6.0276172e-05, -4.838501e-06, -0.0041790507, -0.00021813007999999998, -4.072407e-05, -0.023885611, -0.004565907, -9.329886e-05, -0.00014051021, -0.00029330945, -3.1901687000000004e-05, -1.9382902000000003e-05, -0.0006724587299999999, -2.2365928000000002e-05, -0.10617824000000001]","{'c0': 5.0, 'c1': 35.0, 'c2': 8.0}",5.0,"['total_pictures =  c0 + c1', 'pictures_per_album =  total_pictures / c2', 'answer = pictures_per_album']"
353, A toy store had c0 giant stuffed bears in stock when they got another shipment with c1 bears in it. The put the bears onto shelves with c2 on each shelf. How many shelves did they use? ,4.0," The store had c0 bears in stock. They got a shipment of c1 more bears. So they had c0 + c1 bears. 
total_bears = c0 + c1
Each shelf holds c2 bears. 
total_shelves = total_bears / c2
The answer is total_shelves.","[' The', ' store', ' had', ' c', '0', ' bears', ' in', ' stock', '.', ' They', ' got', ' a', ' shipment', ' of', ' c', '1', ' more', ' bears', '.', ' So', ' they', ' had', ' c', '0', ' +', ' c', '1', ' bears', '.', ' ', '\n', 'total', '_', 'b', 'ears', ' =', ' c', '0', ' +', ' c', '1', '\n', 'Each', ' shelf', ' holds', ' c', '2', ' bears', '.', ' ', '\n', 'total', '_', 's', 'hel', 'ves', ' =', ' total', '_', 'b', 'ears', ' /', ' c', '2', '\n', 'The', ' answer', ' is', ' total', '_', 's', 'hel', 'ves', '.']","[-1.2356513, -0.08557307, -0.5142166, -0.010767186000000002, -0.00030451978, -0.57954156, -1.2859831, -0.0034321018, -0.7925888, -0.6441504, -0.7103082, -0.84729195, -0.06353891, -0.38115332, -2.6060465e-05, -0.00080499804, -0.33744213, -0.2690672, -0.07308636, -0.51945114, -0.29143763, -0.59417206, -0.12505628, -0.05919426, -0.039141867000000004, -6.790459e-05, -0.00012727616, -0.06726642000000001, -0.5665357, -0.63321996, -4.739975700000001e-05, -0.52681035, -0.0014163271, -0.00047386271999999997, -3.076318e-07, -0.0010423837, -3.1662330000000006e-05, -3.5835580000000005e-05, -0.0007585893, -5.7057543000000005e-05, -0.00023905636, -0.0052269963, -0.21574545, -0.0005464983399999999, -0.9723854, -3.3450466e-05, -0.0005965340499999999, -0.010533263000000001, -0.035305895000000004, -0.5113164, -0.00016304628, -0.7766997, -6.659330400000001e-05, -0.018880367000000002, 0.0, -6.21807e-05, -0.0011099891, -0.033981074, -2.7013197000000003e-05, -1.1278585e-05, -2.5744682e-06, -0.18063255, -0.0007802431, -0.00023845844999999998, -0.008902923, -0.0063810083, -0.00028973412999999996, -0.0005828758, -0.0012903903, -0.00035359055999999997, -3.225932e-05, -5.460492e-07, -4.0963423000000005e-05, -0.13516456]","{'c0': 6.0, 'c1': 18.0, 'c2': 6.0}",4.0,"['total_bears =  c0 + c1', 'total_shelves =  total_bears / c2', 'answer = total_shelves']"
354," Jerry was helping the cafeteria workers pick up lunch trays, but he could only carry c0 trays at a time. If he had to pick up c1 trays from one table and c2 trays from another, how many trips will he make? ",2.0," Jerry can carry c0 trays at a time. If he has to pick up c1 trays from one table and c2 trays from another, he will have to make c1/c0 + c2/c0 trips. 
trips = c1/c0 + c2/c0
The answer is trips.","[' Jerry', ' can', ' carry', ' c', '0', ' tr', 'ays', ' at', ' a', ' time', '.', ' If', ' he', ' has', ' to', ' pick', ' up', ' c', '1', ' tr', 'ays', ' from', ' one', ' table', ' and', ' c', '2', ' tr', 'ays', ' from', ' another', ',', ' he', ' will', ' have', ' to', ' make', ' c', '1', '/', 'c', '0', ' +', ' c', '2', '/', 'c', '0', ' trips', '.', ' ', '\n', 'tri', 'ps', ' =', ' c', '1', '/', 'c', '0', ' +', ' c', '2', '/', 'c', '0', '\n', 'The', ' answer', ' is', ' trips', '.']","[-0.2098537, -0.53963494, -0.36153513, -0.013195438, -0.00063100696, -0.05956276, -1.8841804e-07, -0.4542599, -0.025970267000000002, -0.00011475737, -0.04282366, -0.58607304, -0.13105993, -0.34189293, -0.010530009, -0.00012357882, -0.0021220464, -9.127325000000001e-05, -0.001154684, -0.21896128, 0.0, -0.03659656, -0.02872407, -0.0002561051, -0.060982063, -1.0323977e-05, -0.0005887808000000001, -0.01556868, 0.0, -0.0012787528, -0.001472557, -0.023817489, -0.21413124, -0.14343221, -0.93867135, -0.0010871368, -0.012891873000000002, -0.48185432, -0.08763626000000001, -0.0763831, -0.0034951442, -0.00066351244, -0.11372897, -0.00033677462, -0.00018462397999999998, -3.0473995000000003e-05, -0.0025526842, -9.973519600000001e-05, -0.0045911744, -0.67377603, -0.03951136, -0.00010188282999999999, -0.8732804, 0.0, -0.0474097, -0.039218232000000006, -0.0023918895, -0.006202145, -0.00033135017, -2.7133337e-05, -0.00022576130999999998, -0.00017306074999999998, -8.721922e-05, -7.505805e-05, -0.00042281794999999997, -5.2288255e-05, -0.07016848, -0.00152479, -7.815842000000001e-05, -0.0002663608, -0.0007850160499999999, -0.09157365]","{'c0': 8.0, 'c1': 9.0, 'c2': 7.0}",2.0,"['trips =  c1/c0 + c2/c0', 'answer = trips']"
355," A vase can hold c0 flowers. If you had c1 carnations and c2 roses, how many vases would you need to hold the flowers? ",5.0," A vase can hold c0 flowers. You have c1 carnations and c2 roses. You need at least (c1 + c2)/c0 vases. 
vases_needed = (c1 + c2)/c0
The answer is vases_needed.","[' A', ' v', 'ase', ' can', ' hold', ' c', '0', ' flowers', '.', ' You', ' have', ' c', '1', ' carn', 'ations', ' and', ' c', '2', ' roses', '.', ' You', ' need', ' at', ' least', ' (', 'c', '1', ' +', ' c', '2', ')/', 'c', '0', ' v', 'ases', '.', ' ', '\n', 'v', 'ases', '_', 'needed', ' =', ' (', 'c', '1', ' +', ' c', '2', ')/', 'c', '0', '\n', 'The', ' answer', ' is', ' v', 'ases', '_', 'needed', '.']","[-1.1556861, -0.009751104, -0.00045752361999999995, -0.04700417, -0.0092679635, -0.0006589797, -0.00018808197999999998, -0.006512627, -0.010412375000000001, -1.2043258, -0.525764, -0.0010112994000000001, -0.0021244946, -0.005893497, -0.0006190786, -0.011003634, -5.169127e-05, -9.341901000000001e-05, -0.00021097567999999999, -0.3618324, -0.70568526, -0.75941586, -0.7315558, -0.010568078, -0.27234218, -0.0021796890000000003, -0.026641864, -0.61444575, -0.00020906834, -9.723462400000001e-05, -0.28365305, -0.0029635422, -0.00016328375, -0.014326334000000001, -0.00039019980000000004, -0.46130973000000003, -0.052520655000000006, -0.00018378950999999998, -0.10256860400000001, -0.0033142255000000002, -0.011801068000000001, -0.0295554, -0.0029593560000000002, -0.004651893000000001, -3.5120327000000004e-05, -0.0008429984, -0.0052172896, -0.00017818764999999998, -1.4497215500000001e-05, -0.12449083500000001, -0.00040331933999999996, -3.9292627e-05, -0.036012772000000005, -0.019033628, -0.00024894973999999996, -0.0008221791399999999, -0.00019833862, -0.00010128584, -0.0014444424000000001, -5.5863580000000004e-05, -0.13713719]","{'c0': 5.0, 'c1': 6.0, 'c2': 19.0}",5.0,"['vases_needed =  (c1 + c2)/c0', 'answer = vases_needed']"
356," Haley and her friends were recycling paper for their class. For every c0 pounds they recycled they earned one point. If Haley recycled c1 pounds and her friends recycled c2 pounds, how many points did they earn? ",9.0," Haley recycled c1 pounds and her friends recycled c2 pounds. They earned c1/c0 + c2/c0 points. 
points_earned = c1/c0 + c2/c0
The answer is points_earned.","[' Haley', ' recycled', ' c', '1', ' pounds', ' and', ' her', ' friends', ' recycled', ' c', '2', ' pounds', '.', ' They', ' earned', ' c', '1', '/', 'c', '0', ' +', ' c', '2', '/', 'c', '0', ' points', '.', ' ', '\n', 'points', '_', 'earned', ' =', ' c', '1', '/', 'c', '0', ' +', ' c', '2', '/', 'c', '0', '\n', 'The', ' answer', ' is', ' points', '_', 'earned', '.']","[-0.72594815, -0.5002399, -0.000323718, -0.23359492, -0.0012438417000000001, -0.8988841999999999, -0.025805911, -0.0011429893, -0.0046280622000000006, -4.406191e-05, -0.0005269960000000001, -0.00051399565, -0.15337996, -0.91366464, -0.21606076000000002, -0.040909518000000006, -0.34500718, -0.39438662, -0.00033510665999999996, -0.0021476108, -0.36617857, -0.00043796305999999996, -0.0001287076, -9.568210000000002e-05, -0.0001270368, -6.110595e-05, -0.07329587, -0.0535091, -0.038333602, -2.665838e-05, -0.25860134, -0.59533423, -0.006344779, -0.0011732420000000001, -0.017683763, -0.0007443922, -0.011481704, -7.469949e-05, -7.3446926999999995e-06, -0.0003464352, -9.818829e-05, -2.2843700000000003e-05, -6.075394400000001e-05, -0.00785107, -7.338913000000001e-05, -0.07465809, -0.0040800557, -0.00016638411, -0.00018069197999999998, -0.00031322292999999996, -0.00010593592999999999, -7.6605895e-05, -0.100949615]","{'c0': 3.0, 'c1': 11.0, 'c2': 16.0}",9.0,"['points_earned =  c1/c0 + c2/c0', 'answer = points_earned']"
357," A pet shelter had c0 puppies when another c1 were brought in. If c2 puppies a day are adopted, how long would it take for all of them to be adopted? ",9.0," There were c0 puppies. c1 more were brought in. So there are c0 + c1 puppies now. 
puppies_total = c0 + c1
If c2 puppies are adopted each day, it will take (puppies_total / c2) days to adopt them all. 
days = puppies_total / c2
The answer is days.","[' There', ' were', ' c', '0', ' puppies', '.', ' c', '1', ' more', ' were', ' brought', ' in', '.', ' So', ' there', ' are', ' c', '0', ' +', ' c', '1', ' puppies', ' now', '.', ' ', '\n', 'p', 'upp', 'ies', '_', 'total', ' =', ' c', '0', ' +', ' c', '1', '\n', 'If', ' c', '2', ' puppies', ' are', ' adopted', ' each', ' day', ',', ' it', ' will', ' take', ' (', 'p', 'upp', 'ies', '_', 'total', ' /', ' c', '2', ')', ' days', ' to', ' adopt', ' them', ' all', '.', ' ', '\n', 'days', ' =', ' puppies', '_', 'total', ' /', ' c', '2', '\n', 'The', ' answer', ' is', ' days', '.']","[-1.3082685, -0.5165557, -0.14017184, -7.100402e-05, -0.012036374, -1.2526968, -0.47728929999999997, -0.0027477522, -0.08768246, -0.052331835, -0.00019249456999999998, -0.03441226, -0.19914864000000002, -0.60098696, -0.4813267, -0.04861142, -0.35902202, -0.005610182, -0.03665666, -7.279122e-05, -6.587617e-05, -0.024209324, -0.5740508, -0.00041745167, -0.037163550000000004, -8.4157e-06, -0.726082, -2.6773841e-05, -0.0014467122, -0.035720058, -0.20677993, -0.0020653633000000003, -4.727961600000001e-05, -4.751897e-05, -0.0004958666000000001, -4.5613506e-05, -0.00010259807999999999, -0.010488568, -0.55969703, -0.0008571955, -6.3134365e-05, -0.085488535, -0.1629128, -0.00016244835999999999, -0.032823067000000004, -6.1516675e-06, -2.4750101e-05, -0.3968296, -0.6188752, -0.0005451852000000001, -0.12676354, -0.14599395, -4.2777349999999996e-07, -7.818712999999999e-06, -7.434374e-05, -4.0040345e-06, -0.16387919, -0.0003921081, -2.4032974e-05, -0.0003850729, -0.0035658472, -0.57872045, -0.089506045, -0.5794353999999999, -4.1232483e-06, -0.0024658607, -0.002380241, -2.1051823000000004e-05, -0.12925628, -0.63834643, -0.059968233, -0.00010474478, -1.2231317e-05, -0.016650092000000002, -0.00013347781999999999, -3.201996e-05, -0.074936606, -0.0015476528000000001, -0.00013776746, -5.5269407e-05, -0.00028567821999999997, -0.07449876]","{'c0': 17.0, 'c1': 55.0, 'c2': 8.0}",9.0,"['puppies_total =  c0 + c1', 'days =  puppies_total / c2', 'answer = days']"
358," There school's baseball team had c0 new players and c1 returning players. If the coach put them into groups with c2 players in each group, how many groups would there be? ",7.0," The total number of players is c0 + c1. 
total_players = c0 + c1
If the coach put them into groups with c2 players in each group, then the number of groups would be 
total_players / c2
The answer is total_players / c2.","[' The', ' total', ' number', ' of', ' players', ' is', ' c', '0', ' +', ' c', '1', '.', ' ', '\n', 'total', '_', 'players', ' =', ' c', '0', ' +', ' c', '1', '\n', 'If', ' the', ' coach', ' put', ' them', ' into', ' groups', ' with', ' c', '2', ' players', ' in', ' each', ' group', ',', ' then', ' the', ' number', ' of', ' groups', ' would', ' be', ' ', '\n', 'total', '_', 'players', ' /', ' c', '2', '\n', 'The', ' answer', ' is', ' total', '_', 'players', ' /', ' c', '2', '.']","[-0.8616168999999999, -0.74442923, -0.0019417937, -0.0014850306, -0.091806866, -0.009623029, -0.016423212, -0.0009385108, -0.053333238000000005, -0.00026683855999999997, -0.00027947655, -0.049505517000000006, -0.21270445000000002, -0.00039771467, -0.22522059, -0.00049813156, -0.0006500334, -0.00029068594, -0.00029330945, -0.00014837986, -0.0005911678, -0.00019368572, -0.00012799047, -0.0024575547, -0.17347328, -0.32864508000000003, -0.0029332340000000003, -0.42671826, -0.24375829999999998, -0.001363742, -0.017824156, -0.09049325, -8.892534e-06, -0.0007826290699999999, -0.006375667000000001, -0.12228367500000001, -0.00023357182, -0.01677252, -0.00074486993, -0.5824383, -0.47707802, -0.2164015, -9.329886e-05, -0.0025224474000000003, -0.32654145, -0.0016157104000000002, -0.39706737000000003, -0.0024846224000000003, -0.33879337, -1.8601541999999999e-06, -0.06801604, -0.052925292000000006, -0.00042341586, -6.13453e-05, -0.6912488, -0.4771337, -3.8338017000000004e-05, -0.00037374341999999995, -0.016509678, -5.20489e-05, -0.006946117000000001, -0.01751791, -0.004817906, -3.0826937e-05, -0.459495]","{'c0': 12.0, 'c1': 44.0, 'c2': 8.0}",7.0,"['total_players =  c0 + c1', 'answer = total_players / c2']"
359," Frank had saved up c0 dollars. If he received another c1 dollars for his allowance, how many c2 dollar toys could he buy? ",5.0," Frank had c0 dollars. If he received c1 more dollars, then he would have c0 + c1 dollars. 
money_available = c0 + c1
If each toy costs c2 dollars, then he could buy money_available / c2 toys. 
toys_bought = money_available / c2
The answer is toys_bought.","[' Frank', ' had', ' c', '0', ' dollars', '.', ' If', ' he', ' received', ' c', '1', ' more', ' dollars', ',', ' then', ' he', ' would', ' have', ' c', '0', ' +', ' c', '1', ' dollars', '.', ' ', '\n', 'money', '_', 'available', ' =', ' c', '0', ' +', ' c', '1', '\n', 'If', ' each', ' toy', ' costs', ' c', '2', ' dollars', ',', ' then', ' he', ' could', ' buy', ' money', '_', 'available', ' /', ' c', '2', ' toys', '.', ' ', '\n', 't', 'oys', '_', 'b', 'ought', ' =', ' money', '_', 'available', ' /', ' c', '2', '\n', 'The', ' answer', ' is', ' toys', '_', 'b', 'ought', '.']","[-0.07468654, -0.5036797, -0.16758709, -0.00010355082, -0.018492369, -0.826827, -0.9214201, -0.010574343, -0.5827131, -0.46348229999999996, -0.00013693393999999998, -0.14245546, -0.19436973, -0.13852699999999998, -0.8393191, -0.0705917, -0.225485, -0.00025300472, -0.009185489, -0.0044222693, -0.044297199999999995, -4.3941770000000005e-05, -0.0001693634, -0.06966919, -0.07105651, -0.31408814, -2.880226e-05, -0.98312014, -0.045279786, -0.40246367, -0.0029308433, -3.8338017000000004e-05, -0.00019344824, -0.0011245485000000001, -9.508793000000002e-05, -8.721922e-05, -0.022382477, -0.92731816, -0.12655252, -0.00030237212, -0.38346308, -8.296486e-06, -0.0005389816399999999, -0.04370604, -0.0016942812, -0.13133952000000002, -0.21797961000000002, -0.02732812, -0.012612903, -0.0037979083, -1.7713980000000002e-05, -6.850158000000001e-05, -0.20964131, -0.0017495104, -0.00026850656, -0.018824121000000003, -0.082228996, -0.019663012, -2.2126573000000002e-05, -0.05104222, -8.3404535e-05, -0.04307547, -0.80289847, -5.9679198000000004e-05, -0.0010632077, -9.139247e-05, -1.4139594000000001e-05, -1.3422466000000001e-05, -0.0046472847000000005, -0.00052866584, -7.818712999999999e-06, -0.0112099415, -0.0020953456, -8.423619000000001e-05, -0.0009473416000000001, -0.00012799047, -0.0001229837, -2.6298881e-05, -1.2622394999999999e-06, -0.24907744]","{'c0': 3.0, 'c1': 37.0, 'c2': 8.0}",5.0,"['money_available =  c0 + c1', 'toys_bought =  money_available / c2', 'answer = toys_bought']"
360," A pet shelter had c0 puppies when another c1 were brought in. If c2 puppies a day are adopted, how long would it take for all of them to be adopted? ",9.0," There were c0 puppies. c1 more were brought in. So there are c0 + c1 puppies now. 
puppies_total = c0 + c1
If c2 puppies are adopted each day, it will take (puppies_total / c2) days to adopt them all. 
days = puppies_total / c2
The answer is days.","[' There', ' were', ' c', '0', ' puppies', '.', ' c', '1', ' more', ' were', ' brought', ' in', '.', ' So', ' there', ' are', ' c', '0', ' +', ' c', '1', ' puppies', ' now', '.', ' ', '\n', 'p', 'upp', 'ies', '_', 'total', ' =', ' c', '0', ' +', ' c', '1', '\n', 'If', ' c', '2', ' puppies', ' are', ' adopted', ' each', ' day', ',', ' it', ' will', ' take', ' (', 'p', 'upp', 'ies', '_', 'total', ' /', ' c', '2', ')', ' days', ' to', ' adopt', ' them', ' all', '.', ' ', '\n', 'days', ' =', ' puppies', '_', 'total', ' /', ' c', '2', '\n', 'The', ' answer', ' is', ' days', '.']","[-1.2310554, -0.532052, -0.14071652, -6.957351400000001e-05, -0.011955239000000001, -1.2365394, -0.50290924, -0.0031998884000000003, -0.08922951, -0.051591106000000005, -0.00019344824, -0.034439594000000004, -0.19668789, -0.599698, -0.46905681, -0.049801115, -0.35470992, -0.0057747313000000005, -0.035417292, -7.946878e-05, -6.468596000000001e-05, -0.02495355, -0.57114875, -0.00042067031999999996, -0.03696134, -8.176345e-06, -0.7375507, -2.7371756000000004e-05, -0.0014440848, -0.03575045, -0.21879897, -0.0020802326, -4.7875652e-05, -5.1334588e-05, -0.0005024268, -4.751897e-05, -0.000104267005, -0.0106446445, -0.5402675, -0.0008687691000000001, -7.946878e-05, -0.08459926400000001, -0.17142764, -0.00015815685, -0.033741288, -6.2699432e-06, -2.5941252000000004e-05, -0.39716586, -0.6196942, -0.0005565166, -0.10881524000000001, -0.13499734, -4.2777349999999996e-07, -8.058068499999999e-06, -7.9946556e-05, -3.883893e-06, -0.16855517, -0.00039676193, -2.6773841e-05, -0.00040677823999999996, -0.0035526273, -0.5933656700000001, -0.09326407, -0.5894039999999999, -4.601021399999999e-06, -0.002578022, -0.0024194962, -2.0696069000000002e-05, -0.13118374, -0.64348173, -0.061706837, -0.00010343253999999999, -1.2588937e-05, -0.016137505, -0.00014027084, -3.357061e-05, -0.077684484, -0.0016222782, -0.00013705407999999998, -5.5030050000000003e-05, -0.00029831810000000003, -0.073967986]","{'c0': 8.0, 'c1': 19.0, 'c2': 3.0}",9.0,"['puppies_total =  c0 + c1', 'days =  puppies_total / c2', 'answer = days']"
361, For homework Faye had c0 math problems and c1 spelling problems. If she can finish c2 problems in an hour how long will it take her to finish all the problems? ,5.0," Faye had c0 math problems and c1 spelling problems. So she had c0 + c1 problems in total. 
total_problems = c0 + c1
If she can finish c2 problems in an hour, then it will take her (total_problems / c2) hours to finish all the problems. 
time_needed = total_problems / c2
The answer is time_needed.","[' Fay', 'e', ' had', ' c', '0', ' math', ' problems', ' and', ' c', '1', ' spelling', ' problems', '.', ' So', ' she', ' had', ' c', '0', ' +', ' c', '1', ' problems', ' in', ' total', '.', ' ', '\n', 'total', '_', 'pro', 'blems', ' =', ' c', '0', ' +', ' c', '1', '\n', 'If', ' she', ' can', ' finish', ' c', '2', ' problems', ' in', ' an', ' hour', ',', ' then', ' it', ' will', ' take', ' her', ' (', 'total', '_', 'pro', 'blems', ' /', ' c', '2', ')', ' hours', ' to', ' finish', ' all', ' the', ' problems', '.', ' ', '\n', 'time', '_', 'needed', ' =', ' total', '_', 'pro', 'blems', ' /', ' c', '2', '\n', 'The', ' answer', ' is', ' time', '_', 'needed', '.']","[-0.29575419999999997, -0.00012405471, -0.6318391600000001, -0.0065588835, -0.00015064670000000002, -0.047642715, -0.028118754000000003, -0.037693843000000005, -0.00014933258, -0.00033796768, -9.9022756e-05, -0.011247192500000001, -0.47274262, -1.3778936, -0.055197872, -0.4181995, -0.0203181, -0.0027001167, -0.025330732, -0.00015088324, -0.000271728, -0.6569613, -0.21115638, -0.0010191738, -0.0027059128000000003, -0.13856624, -3.0707724e-05, -0.25251627, -0.0001754468, -0.0010393998, -4.1232483e-06, -0.00042508479, -4.6684505e-05, -5.1334588e-05, -0.00018283866999999998, -5.20489e-05, -7.6605895e-05, -0.010365156, -0.23813947, -0.01790298, -0.060105205, -0.20979671, -4.3941770000000005e-05, -0.0015512345, -0.0061365343000000004, -0.0071583110000000005, -0.08553287400000001, -9.151261e-05, -0.015340051, -0.4744004, -0.054752085000000006, -0.20554392, -0.00078060065, -0.2713754, -0.31518665, -0.019097598, -0.0005067193, -3.130471e-05, -3.076318e-07, -0.13946049, -0.00016483347, -6.253833000000001e-05, -1.6402679e-05, -0.0007463014299999999, -0.0007584691, -0.0005881838, -0.023021046, -0.0462403, -0.00055961695, -0.012689566000000001, -0.008116575000000001, -4.721162999999999e-06, -0.67785364, -0.01096139, -1.0520266, -0.0013014926, -0.0482296, -5.4075444e-05, -6.742775400000001e-05, -7.854046699999999e-07, -0.004133024, -0.00010772498999999999, -7.279122e-05, -0.018553453, -0.0018675635, -7.6964454e-05, -8.185389000000001e-05, -6.746777999999999e-06, -0.0022569306, -3.7266083000000006e-05, -0.021441557]","{'c0': 13.0, 'c1': 2.0, 'c2': 3.0}",5.0,"['total_problems =  c0 + c1', 'time_needed =  total_problems / c2', 'answer = time_needed']"
362," Sam had saved up c0 dollars. If he received another c1 dollars for his allowance, how many c2 dollar toys could he buy? ",5.0," Sam had c0 dollars. If he received c1 more dollars, then he would have c0 + c1 dollars. 
total_money = c0 + c1
If each toy costs c2 dollars, then he could buy total_money / c2 toys. 
toys_bought = total_money / c2
The answer is toys_bought.","[' Sam', ' had', ' c', '0', ' dollars', '.', ' If', ' he', ' received', ' c', '1', ' more', ' dollars', ',', ' then', ' he', ' would', ' have', ' c', '0', ' +', ' c', '1', ' dollars', '.', ' ', '\n', 'total', '_', 'money', ' =', ' c', '0', ' +', ' c', '1', '\n', 'If', ' each', ' toy', ' costs', ' c', '2', ' dollars', ',', ' then', ' he', ' could', ' buy', ' total', '_', 'money', ' /', ' c', '2', ' toys', '.', ' ', '\n', 't', 'oys', '_', 'b', 'ought', ' =', ' total', '_', 'money', ' /', ' c', '2', '\n', 'The', ' answer', ' is', ' toys', '_', 'b', 'ought', '.']","[-0.08665312, -0.31650957, -0.13887012, -7.529741e-05, -0.01993149, -0.71405137, -0.9486699, -0.014192718000000002, -0.5087184, -0.42316023, -0.0001758016, -0.18872489, -0.20106304, -0.13664153, -0.9311992, -0.10167966, -0.28080198, -0.00029712600000000004, -0.014779619, -0.0050142524, -0.042334475, -5.1930627e-05, -0.00019666688, -0.06226725, -0.07244387000000001, -0.23918721, -4.8949474e-05, -0.9225053, -0.0003509689, -0.46263295, -0.0038794046, -5.7652644e-05, -0.00014468437999999999, -0.00096476206, -8.364295000000001e-05, -6.6949986e-05, -0.028912403000000003, -0.8403799, -0.131876, -0.00045144022, -0.5444819, -1.4020380000000002e-05, -0.00064943644, -0.035345476, -0.0013960944, -0.090389706, -0.0882476, -0.026966592, -0.0032183058, -0.10558128, -2.0337510000000004e-05, -1.163433e-05, -0.59162545, -0.0021020365, -0.00012739444, -0.012203435, -0.083282754, -0.014445459, -1.2828294e-05, -0.10000783, -0.00017711478, -0.10769928000000001, -0.09298315, -1.3661821000000001e-05, -0.0024692072000000002, -0.0008122764, -3.249586e-05, -1.2588937e-05, -0.01181319, -0.00029414485, -8.296486e-06, -0.0063077076, -0.0006524204, -8.388231e-05, -0.0007061591000000001, -0.00012203378999999999, -0.00020310695999999998, -2.462996e-05, -1.5006569e-06, -0.15971287]","{'c0': 8.0, 'c1': 7.0, 'c2': 3.0}",5.0,"['total_money =  c0 + c1', 'toys_bought =  total_money / c2', 'answer = toys_bought']"
363," Bianca and her friends were recycling paper for their class. For every c0 pounds they recycled they earned one point. If Bianca recycled c1 pounds and her friends recycled c2 pounds, how many points did they earn? ",9.0," Bianca recycled c1 pounds. Her friends recycled c2 pounds. They earned c1/c0 + c2/c0 points. 
points_earned = c1/c0 + c2/c0
The answer is points_earned.","[' Bian', 'ca', ' recycled', ' c', '1', ' pounds', '.', ' Her', ' friends', ' recycled', ' c', '2', ' pounds', '.', ' They', ' earned', ' c', '1', '/', 'c', '0', ' +', ' c', '2', '/', 'c', '0', ' points', '.', ' ', '\n', 'points', '_', 'earned', ' =', ' c', '1', '/', 'c', '0', ' +', ' c', '2', '/', 'c', '0', '\n', 'The', ' answer', ' is', ' points', '_', 'earned', '.']","[-0.7090278, -0.00016924511999999998, -0.4821625, -0.00026505041999999997, -0.29560092, -0.0015151781, -0.7168724, -0.19882195, -0.0006755591, -0.00073914323, -3.595572e-05, -0.0006837318699999999, -0.008522985, -0.00486642, -0.6432112, -0.43097964, -0.03523316, -0.27984607, -0.42234218, -0.00033832624, -0.002823841, -0.47001514, -0.00029068594, -0.0001173809, -9.628002000000001e-05, -0.00011869312999999999, -7.076466000000001e-05, -0.09207563, -0.055660299999999996, -0.031924963, -5.0022347e-05, -0.1497075, -0.619541, -0.006395345, -0.00032514942, -0.025349803, -0.0007780963, -0.01634172, -0.00013073228, -0.0001375281, -0.00022880347, -0.00013121005, -6.051553000000001e-05, -7.839496000000001e-05, -0.0012641916, -0.00010021203, -0.06202515, -0.004223222400000001, -0.0001015252, -0.00023059066999999998, -0.00018248011, -0.00014289531, -5.1215375e-05, -0.07948747]","{'c0': 3.0, 'c1': 24.0, 'c2': 3.0}",9.0,"['points_earned =  c1/c0 + c2/c0', 'answer = points_earned']"
