,question,answer,response,mapping,response_answer,equations,correct
93," While shopping, Emily bought c0 green towels and c1 white towels. If she gave her mother c2 of them, how many towels did Emily end up with? ",9,"Emily originally had c0 green towels and c1 white towels, so she had a total of c0 + c1 towels. She gave her mother c2 towels, so she ended up with c0 + c1 - c2 towels. 
towels_left = c0 + c1 - c2
The answer is towels_left.","{'c0': 5.0, 'c1': 30.0, 'c2': 26.0}",9,"['towels_left =  c0 + c1 - c2', 'answer = towels_left']",1
94," For Halloween Katie and her sister combined the candy they received. Katie had c0 pieces of candy while her sister had c1. If they ate c2 pieces the first night, how many pieces do they have left? ",23,"Katie had c0 pieces of candy and her sister had c1 pieces. Together, they had c0 + c1 pieces of candy. If they ate c2 pieces, they would have c0 + c1 - c2 pieces left. 
remaining_candy = c0 + c1 - c2
The answer is remaining_candy.","{'c0': 8.0, 'c1': 23.0, 'c2': 8.0}",23,"['remaining_candy =  c0 + c1 - c2', 'answer = remaining_candy']",1
95," Ned was trying to expand his game collection. He bought c0 games from a friend and bought c1 more at a garage sale. If c2 of the games didn't work, how many good games did he end up with? ",3,"Ned originally had c0 games. He bought c1 more, so he had c0 + c1 games in total. But c2 of them didn't work, so he ended up with (c0 + c1) - c2 good games. 
good_games = (c0 + c1) - c2
The answer is good_games.","{'c0': 50.0, 'c1': 27.0, 'c2': 74.0}",3,"['good_games =  (c0 + c1) - c2', 'answer = good_games']",1
96, For the school bake sale Wendy made pastries. She baked c0 cupcakes and c1 cookies. After the sale she had c2 to take back home. How many pastries did she sell? ,40,"Wendy made c0 cupcakes and c1 cookies, so the total number of pastries she made is c0 + c1. After the sale, she had c2 pastries left, so the number of pastries she sold is the difference between the total number of pastries she made and the number of pastries she had left: 
pastries_sold = (c0 + c1) - c2
The answer is pastries_sold.","{'c0': 41.0, 'c1': 31.0, 'c2': 32.0}",40,"['pastries_sold =  (c0 + c1) - c2', 'answer = pastries_sold']",1
97," The school cafeteria ordered c0 red apples and c1 green apples for students lunches. But, if only c2 students wanted fruit, how many extra did the cafeteria end up with? ",32,"The cafeteria ordered c0 + c1 apples in total. But only c2 students wanted fruit, so the cafeteria ended up with c0 + c1 - c2 extra apples. 
extra_apples = c0 + c1 - c2
The answer is extra_apples.","{'c0': 25.0, 'c1': 17.0, 'c2': 10.0}",32,"['extra_apples =  c0 + c1 - c2', 'answer = extra_apples']",1
98," At the arcade, Jerry won c0 tickets playing 'whack a mole' and c1 tickets playing 'skee ball'. If he spent c2 of his tickets on a hat, how many tickets does Jerry have left? ",34,"Jerry won c0 tickets playing 'whack a mole' and c1 tickets playing 'skee ball'. So he had a total of c0 + c1 tickets. He spent c2 tickets on a hat. Therefore, he has c0 + c1 - c2 tickets left. 
remaining_tickets = c0 + c1 - c2
The answer is remaining_tickets.","{'c0': 29.0, 'c1': 17.0, 'c2': 12.0}",34,"['remaining_tickets =  c0 + c1 - c2', 'answer = remaining_tickets']",1
99, Cody had c0 dollars. For his birthday he got c1 more dollars but spent c2 on a new game. How much money does he have now? ,35,"Cody had c0 dollars originally. He got c1 more dollars for his birthday, so he now has c0 + c1 dollars. However, he spent c2 dollars on a new game, so he now has c0 + c1 - c2 dollars. 
money_now = c0 + c1 - c2
The answer is money_now.","{'c0': 45.0, 'c1': 9.0, 'c2': 19.0}",35,"['money_now =  c0 + c1 - c2', 'answer = money_now']",1
100," For the school bake sale Carol made c0 cupcakes. If she sold c1 of them and then made c2 more, how many cupcakes would she have? ",49,"Carol originally made c0 cupcakes. She sold c1 of them, so she has c0 - c1 cupcakes left. Then she made c2 more cupcakes, so she has c0 - c1 + c2 cupcakes in total. 
total_cupcakes = c0 - c1 + c2
The answer is total_cupcakes.","{'c0': 30.0, 'c1': 9.0, 'c2': 28.0}",49,"['total_cupcakes =  c0 - c1 + c2', 'answer = total_cupcakes']",1
101, For Halloween Faye scored c0 pieces of candy. She ate c1 pieces the first night and then her sister gave her c2 more pieces. How many pieces of candy does Faye have now? ,62,"Faye originally had c0 pieces of candy. She ate c1 pieces and then received c2 more pieces from her sister. The total number of pieces of candy she has now is c0 - c1 + c2. 
total_candy = c0 - c1 + c2
The answer is total_candy.","{'c0': 47.0, 'c1': 25.0, 'c2': 40.0}",62,"['total_candy =  c0 - c1 + c2', 'answer = total_candy']",1
102," Kaleb had c0 books. If he sold c1 of them and used the money he earned to buy c2 new books, how many books would Kaleb have? ",24,"Kaleb started with c0 books. He sold c1 of them, so he now has c0 - c1 books. He used the money he earned to buy c2 new books, so he now has c0 - c1 + c2 books. 
total_books = c0 - c1 + c2
The answer is total_books.","{'c0': 34.0, 'c1': 17.0, 'c2': 7.0}",24,"['total_books =  c0 - c1 + c2', 'answer = total_books']",1
103, In fourth grade there were c0 students at the start of the year. During the year c1 students left and c2 new students came to school. How many students were in fourth grade at the end? ,48,"At the start of the year, there were c0 students. Then c1 students left, so the number of students decreased by c1. After that, c2 new students came, so the number of students increased by c2. Therefore, the total number of students at the end of the year is:
end_students = c0 - c1 + c2
The answer is end_students.","{'c0': 10.0, 'c1': 4.0, 'c2': 42.0}",48,"['end_students =  c0 - c1 + c2', 'answer = end_students']",1
104," Oliver had c0 dollars in January. By March he had spent c1 dollars. If he got another c2 dollars from his mom, how much money would he have? ",61,"Oliver had c0 dollars in January. By March he had spent c1 dollars, so he would have c0 - c1 dollars left. If he got another c2 dollars from his mom, he would have c0 - c1 + c2 dollars. 
total_money = c0 - c1 + c2
The answer is total_money.","{'c0': 33.0, 'c1': 4.0, 'c2': 32.0}",61,"['total_money =  c0 - c1 + c2', 'answer = total_money']",1
105," A florist had c0 roses. If she sold c1 of them and then later picked c2 more, how many roses would she have? ",40,"The florist originally had c0 roses. She sold c1 of them, so she would have c0 - c1 roses left. Then she picked c2 more, so she would have (c0 - c1) + c2 roses in total. 
total_roses = (c0 - c1) + c2
The answer is total_roses.","{'c0': 37.0, 'c1': 16.0, 'c2': 19.0}",40,"['total_roses =  (c0 - c1) + c2', 'answer = total_roses']",1
106," A teacher had c0 worksheets to grade. If she graded c1, but then another c2 were turned in, how many worksheets would she have to grade? ",20,"The teacher originally had c0 worksheets to grade. She graded c1, so she has c0 - c1 left to grade. Then c2 more were turned in, so she now has to grade c0 - c1 + c2 worksheets. 
worksheets_to_grade = c0 - c1 + c2
The answer is worksheets_to_grade.","{'c0': 6.0, 'c1': 4.0, 'c2': 18.0}",20,"['worksheets_to_grade =  c0 - c1 + c2', 'answer = worksheets_to_grade']",1
107," A book store had c0 books in the bargin bin. If they sold c1 books, but then put c2 more in the bin, how many books would be in the bin? ",10,"The book store originally had c0 books in the bargain bin. They sold c1 books, so there were c0 - c1 books left. Then they put c2 more books in the bin, so the total number of books in the bin is (c0 - c1) + c2. 
total_books = (c0 - c1) + c2
The answer is total_books.","{'c0': 41.0, 'c1': 33.0, 'c2': 2.0}",10,"['total_books =  (c0 - c1) + c2', 'answer = total_books']",1
108," A waiter had c0 customers to wait on. If c1 customers left and he got another c2 customers, how many customers would he have? ",41,"The waiter originally had c0 customers. c1 customers left, so he now has c0 - c1 customers. Then he got c2 more customers, so he now has (c0 - c1) + c2 customers. 
total_customers = (c0 - c1) + c2
The answer is total_customers.","{'c0': 19.0, 'c1': 14.0, 'c2': 36.0}",41,"['total_customers =  (c0 - c1) + c2', 'answer = total_customers']",1
109," At the fair there were c0 people in line for the bumper cars. If c1 of them got tired of waiting and left and c2 more got in line, how many people would be in line? ",6,"There were originally c0 people in line. c1 left and c2 more got in line. The total number of people in line is c0 - c1 + c2. 
total_people = c0 - c1 + c2
The answer is total_people.","{'c0': 9.0, 'c1': 6.0, 'c2': 3.0}",6,"['total_people =  c0 - c1 + c2', 'answer = total_people']",1
110," A teacher had c0 worksheets to grade. If she graded c1, but then another c2 were turned in, how many worksheets would she have to grade? ",51,"The teacher originally had c0 worksheets to grade. She graded c1, so she has c0 - c1 left to grade. Then c2 more were turned in, so she now has to grade c0 - c1 + c2 worksheets. 
worksheets_to_grade = c0 - c1 + c2
The answer is worksheets_to_grade.","{'c0': 7.0, 'c1': 2.0, 'c2': 46.0}",51,"['worksheets_to_grade =  c0 - c1 + c2', 'answer = worksheets_to_grade']",1
111," Paige had c0 songs on her mp3 player. If she deleted c1 old songs from it and then added c2 new songs, how many songs does she have on her mp3 player? ",33,"Paige had c0 songs originally. She deleted c1 old songs and added c2 new songs. The total number of songs on her mp3 player is c0 - c1 + c2. 
total_songs = c0 - c1 + c2
The answer is total_songs.","{'c0': 8.0, 'c1': 5.0, 'c2': 30.0}",33,"['total_songs =  c0 - c1 + c2', 'answer = total_songs']",1
112," Maria picked c0 carrots from her garden. If she threw out c1 of them and then picked c2 more the next day, how many carrots would she have total? ",52,"Maria originally picked c0 carrots. She threw out c1 of them, so she had c0 - c1 left. The next day, she picked c2 more, so she had (c0 - c1) + c2 carrots in total. 
total_carrots = (c0 - c1) + c2
The answer is total_carrots.","{'c0': 48.0, 'c1': 11.0, 'c2': 15.0}",52,"['total_carrots =  (c0 - c1) + c2', 'answer = total_carrots']",1
113, A store had c0 oranges in a bin. If they threw away c1 of the old ones and put c2 new ones in the bin how many would be in the bin? ,27,"There were originally c0 oranges in the bin. They threw away c1 of the old ones and put c2 new ones in. The total number of oranges in the bin is c0 - c1 + c2. 
total_oranges = c0 - c1 + c2
The answer is total_oranges.","{'c0': 34.0, 'c1': 20.0, 'c2': 13.0}",27,"['total_oranges =  c0 - c1 + c2', 'answer = total_oranges']",1
114," A waiter had c0 customers to wait on. If c1 customers left and he got another c2 customers, how many customers would he have? ",26,"The waiter originally had c0 customers. c1 customers left, so he now has c0 - c1 customers. Then he got c2 more customers, so he now has (c0 - c1) + c2 customers. 
total_customers = (c0 - c1) + c2
The answer is total_customers.","{'c0': 47.0, 'c1': 41.0, 'c2': 20.0}",26,"['total_customers =  (c0 - c1) + c2', 'answer = total_customers']",1
115, In fourth grade there were c0 students at the start of the year. During the year c1 students left and c2 new students came to school. How many students were in fourth grade at the end? ,29,"At the start of the year, there were c0 students. Then c1 students left, so the number of students decreased by c1. After that, c2 new students came, so the number of students increased by c2. Therefore, the total number of students at the end of the year is:
end_students = c0 - c1 + c2
The answer is end_students.","{'c0': 33.0, 'c1': 18.0, 'c2': 14.0}",29,"['end_students =  c0 - c1 + c2', 'answer = end_students']",1
116," For the school bake sale Katie made c0 cupcakes. If she sold c1 of them and then made c2 more, how many cupcakes would she have? ",26,"Katie originally made c0 cupcakes. She sold c1 of them, so she has c0 - c1 cupcakes left. Then she made c2 more cupcakes, so she has c0 - c1 + c2 cupcakes in total. 
total_cupcakes = c0 - c1 + c2
The answer is total_cupcakes.","{'c0': 26.0, 'c1': 20.0, 'c2': 20.0}",26,"['total_cupcakes =  c0 - c1 + c2', 'answer = total_cupcakes']",1
117," Adam had c0 dollars. At the store he spent $c1 on a new game. If he got another c2 dollars for his allowance, how much money does he have now? ",8,"Adam originally had c0 dollars. He spent c1 dollars on a new game, so he has c0 - c1 dollars left. Then he received c2 dollars for his allowance, so he now has (c0 - c1) + c2 dollars. 
total_money = (c0 - c1) + c2
The answer is total_money.","{'c0': 5.0, 'c1': 2.0, 'c2': 5.0}",8,"['total_money =  (c0 - c1) + c2', 'answer = total_money']",1
118," Tiffany was playing a video game and had c0 lives. In a hard part of the game she lost c1 lives. If she got c2 more lives in the next level, how many lives would she have? ",56,"Tiffany started with c0 lives. She lost c1 lives, so she now has c0 - c1 lives. She then gained c2 more lives, so her total number of lives is (c0 - c1) + c2. 
total_lives = (c0 - c1) + c2
The answer is total_lives.","{'c0': 43.0, 'c1': 14.0, 'c2': 27.0}",56,"['total_lives =  (c0 - c1) + c2', 'answer = total_lives']",1
119," At the fair there were c0 people in line for the bumper cars. If c1 of them got tired of waiting and left and c2 more got in line, how many people would be in line? ",17,"There were originally c0 people in line. c1 left and c2 more got in line. The total number of people in line is c0 - c1 + c2. 
total_people = c0 - c1 + c2
The answer is total_people.","{'c0': 12.0, 'c1': 10.0, 'c2': 15.0}",17,"['total_people =  c0 - c1 + c2', 'answer = total_people']",1
120," A waiter had c0 customers to wait on. If c1 customers left and he got another c2 customers, how many customers would he have? ",50,"The waiter originally had c0 customers. c1 customers left, so he now has c0 - c1 customers. Then he got c2 more customers, so he now has (c0 - c1) + c2 customers. 
total_customers = (c0 - c1) + c2
The answer is total_customers.","{'c0': 14.0, 'c1': 3.0, 'c2': 39.0}",50,"['total_customers =  (c0 - c1) + c2', 'answer = total_customers']",1
121," At the fair there were c0 people in line for the bumper cars. If c1 of them got tired of waiting and left and c2 more got in line, how many people would be in line? ",25,"There were originally c0 people in line. c1 left and c2 more got in line. The total number of people in line is c0 - c1 + c2. 
total_people = c0 - c1 + c2
The answer is total_people.","{'c0': 30.0, 'c1': 10.0, 'c2': 5.0}",25,"['total_people =  c0 - c1 + c2', 'answer = total_people']",1
122," Faye had c0 coloring books. If she gave away c1 of them, but then bought c2 more, how many would she have total? ",79,"Faye had c0 coloring books. She gave away c1 of them, so she has c0 - c1 left. Then she bought c2 more, so she has (c0 - c1) + c2 in total. 
total_books = (c0 - c1) + c2
The answer is total_books.","{'c0': 34.0, 'c1': 3.0, 'c2': 48.0}",79,"['total_books =  (c0 - c1) + c2', 'answer = total_books']",1
123," Paige had c0 songs on her mp3 player. If she deleted c1 old songs from it and then added c2 new songs, how many songs does she have on her mp3 player? ",10,"Paige had c0 songs originally. She deleted c1 old songs and added c2 new songs. The total number of songs on her mp3 player is c0 - c1 + c2. 
total_songs = c0 - c1 + c2
The answer is total_songs.","{'c0': 11.0, 'c1': 9.0, 'c2': 8.0}",10,"['total_songs =  c0 - c1 + c2', 'answer = total_songs']",1
124," A teacher had c0 worksheets to grade. If she graded c1, but then another c2 were turned in, how many worksheets would she have to grade? ",49,"The teacher originally had c0 worksheets to grade. She graded c1, so she has c0 - c1 left to grade. Then c2 more were turned in, so she now has to grade c0 - c1 + c2 worksheets. 
worksheets_to_grade = c0 - c1 + c2
The answer is worksheets_to_grade.","{'c0': 38.0, 'c1': 4.0, 'c2': 15.0}",49,"['worksheets_to_grade =  c0 - c1 + c2', 'answer = worksheets_to_grade']",1
125, In fourth grade there were c0 students at the start of the year. During the year c1 students left and c2 new students came to school. How many students were in fourth grade at the end? ,52,"At the start of the year, there were c0 students. Then c1 students left, so the number of students decreased by c1. After that, c2 new students came, so the number of students increased by c2. Therefore, the total number of students at the end of the year is:
end_students = c0 - c1 + c2
The answer is end_students.","{'c0': 40.0, 'c1': 14.0, 'c2': 26.0}",52,"['end_students =  c0 - c1 + c2', 'answer = end_students']",1
126," Wendy was playing a video game and had c0 lives. In a hard part of the game she lost c1 lives. If she got c2 more lives in the next level, how many lives would she have? ",74,"Wendy originally had c0 lives. She lost c1 lives, so she now has c0 - c1 lives. She then gained c2 more lives, so her total number of lives is (c0 - c1) + c2. 
total_lives = (c0 - c1) + c2
The answer is total_lives.","{'c0': 43.0, 'c1': 8.0, 'c2': 39.0}",74,"['total_lives =  (c0 - c1) + c2', 'answer = total_lives']",1
127," A book store had c0 books in the bargin bin. If they sold c1 books, but then put c2 more in the bin, how many books would be in the bin? ",11,"The book store originally had c0 books in the bargain bin. They sold c1 books, so there were c0 - c1 books left. Then they put c2 more books in the bin, so the total number of books in the bin is (c0 - c1) + c2. 
total_books = (c0 - c1) + c2
The answer is total_books.","{'c0': 4.0, 'c1': 3.0, 'c2': 10.0}",11,"['total_books =  (c0 - c1) + c2', 'answer = total_books']",1
128," At the arcade Cody won c0 tickets. If he spent c1 tickets on a beanie and later won c2 more tickets, how many would he have? ",30,"Cody originally won c0 tickets. He spent c1 tickets on a beanie, so he would have c0 - c1 tickets left. Then he won c2 more tickets, so he would have (c0 - c1) + c2 tickets in total. 
total_tickets = (c0 - c1) + c2
The answer is total_tickets.","{'c0': 49.0, 'c1': 25.0, 'c2': 6.0}",30,"['total_tickets =  (c0 - c1) + c2', 'answer = total_tickets']",1
129," For the school bake sale Bianca made c0 cupcakes. If she sold c1 of them and then made c2 more, how many cupcakes would she have? ",25,"Bianca originally made c0 cupcakes. She sold c1 of them, so she has c0 - c1 cupcakes left. Then she made c2 more cupcakes, so she has c0 - c1 + c2 cupcakes in total. 
total_cupcakes = c0 - c1 + c2
The answer is total_cupcakes.","{'c0': 14.0, 'c1': 6.0, 'c2': 17.0}",25,"['total_cupcakes =  c0 - c1 + c2', 'answer = total_cupcakes']",1
130," Bianca had c0 coloring books. If she gave away c1 of them, but then bought c2 more, how many would she have total? ",59,"Bianca had c0 coloring books. She gave away c1 of them, so she had c0 - c1 left. Then she bought c2 more, so she had (c0 - c1) + c2 in total. 
total_books = (c0 - c1) + c2
The answer is total_books.","{'c0': 45.0, 'c1': 6.0, 'c2': 20.0}",59,"['total_books =  (c0 - c1) + c2', 'answer = total_books']",1
131," Zoe had c0 songs on her mp3 player. If she deleted c1 old songs from it and then added c2 new songs, how many songs does she have on her mp3 player? ",57,"Zoe originally had c0 songs. She deleted c1 old songs and added c2 new songs. The total number of songs on her mp3 player is c0 - c1 + c2. 
total_songs = c0 - c1 + c2
The answer is total_songs.","{'c0': 15.0, 'c1': 8.0, 'c2': 50.0}",57,"['total_songs =  c0 - c1 + c2', 'answer = total_songs']",1
132," At the arcade Jerry won c0 tickets. If he spent c1 tickets on a beanie and later won c2 more tickets, how many would he have? ",49,"Jerry originally had c0 tickets. He spent c1 tickets on a beanie, so he has c0 - c1 tickets left. Then he won c2 more tickets, so he has c0 - c1 + c2 tickets in total. 
total_tickets = c0 - c1 + c2
The answer is total_tickets.","{'c0': 4.0, 'c1': 2.0, 'c2': 47.0}",49,"['total_tickets =  c0 - c1 + c2', 'answer = total_tickets']",1
133, A store had c0 oranges in a bin. If they threw away c1 of the old ones and put c2 new ones in the bin how many would be in the bin? ,60,"There were originally c0 oranges in the bin. They threw away c1 of the old ones and put c2 new ones in. The total number of oranges in the bin is c0 - c1 + c2. 
total_oranges = c0 - c1 + c2
The answer is total_oranges.","{'c0': 31.0, 'c1': 9.0, 'c2': 38.0}",60,"['total_oranges =  c0 - c1 + c2', 'answer = total_oranges']",1
134," Adam had c0 books. If he sold c1 of them and used the money he earned to buy c2 new books, how many books would Adam have? ",45,"Adam had c0 books originally. He sold c1 of them, so he would have c0 - c1 books left. He used the money he earned to buy c2 new books, so he would have c0 - c1 + c2 books in total. 
total_books = c0 - c1 + c2
The answer is total_books.","{'c0': 33.0, 'c1': 11.0, 'c2': 23.0}",45,"['total_books =  c0 - c1 + c2', 'answer = total_books']",1
135," At the fair there were c0 people in line for the bumper cars. If c1 of them got tired of waiting and left and c2 more got in line, how many people would be in line? ",10,"There were originally c0 people in line. c1 left and c2 more got in line. The total number of people in line is c0 - c1 + c2. 
total_people = c0 - c1 + c2
The answer is total_people.","{'c0': 10.0, 'c1': 2.0, 'c2': 2.0}",10,"['total_people =  c0 - c1 + c2', 'answer = total_people']",1
136," The school cafeteria had c0 apples. If they used c1 to make lunch for the students and then bought c2 more, how many apples would they have? ",46,"The cafeteria had c0 apples originally. They used c1 for lunch and then bought c2 more. The total number of apples they would have is c0 - c1 + c2. 
total_apples = c0 - c1 + c2
The answer is total_apples.","{'c0': 38.0, 'c1': 20.0, 'c2': 28.0}",46,"['total_apples =  c0 - c1 + c2', 'answer = total_apples']",1
137," George had c0 socks. If he threw away c1 old ones that didn't fit and bought c2 new ones, how many socks would he have? ",60,"George originally had c0 socks. He threw away c1 old ones and bought c2 new ones. So he now has c0 - c1 old socks and c2 new socks. The total number of socks he has now is (c0 - c1) + c2. 
total_socks = (c0 - c1) + c2
The answer is total_socks.","{'c0': 28.0, 'c1': 4.0, 'c2': 36.0}",60,"['total_socks =  (c0 - c1) + c2', 'answer = total_socks']",1
138, For Halloween Robin scored c0 pieces of candy. She ate c1 pieces the first night and then her sister gave her c2 more pieces. How many pieces of candy does Robin have now? ,37,"Robin originally had c0 pieces of candy. She ate c1 pieces and then received c2 more pieces. The total number of pieces she has now is c0 - c1 + c2. 
total_candy = c0 - c1 + c2
The answer is total_candy.","{'c0': 23.0, 'c1': 7.0, 'c2': 21.0}",37,"['total_candy =  c0 - c1 + c2', 'answer = total_candy']",1
139," Rachel was playing a video game and had c0 lives. In a hard part of the game she lost c1 lives. If she got c2 more lives in the next level, how many lives would she have? ",32,"Rachel originally had c0 lives. She lost c1 lives, so she now has c0 - c1 lives. She then gained c2 more lives, so her total number of lives is (c0 - c1) + c2. 
total_lives = (c0 - c1) + c2
The answer is total_lives.","{'c0': 10.0, 'c1': 4.0, 'c2': 26.0}",32,"['total_lives =  (c0 - c1) + c2', 'answer = total_lives']",1
140," A florist had c0 roses. If she sold c1 of them and then later picked c2 more, how many roses would she have? ",13,"The florist originally had c0 roses. She sold c1 of them, so she would have c0 - c1 roses left. Then she picked c2 more, so she would have (c0 - c1) + c2 roses in total. 
total_roses = (c0 - c1) + c2
The answer is total_roses.","{'c0': 6.0, 'c1': 5.0, 'c2': 12.0}",13,"['total_roses =  (c0 - c1) + c2', 'answer = total_roses']",1
141, For Halloween Haley scored c0 pieces of candy. She ate c1 pieces the first night and then her sister gave her c2 more pieces. How many pieces of candy does Haley have now? ,35,"Haley originally had c0 pieces of candy. She ate c1 pieces and then received c2 more pieces from her sister. The total number of pieces of candy she has now is c0 - c1 + c2. 
total_candy = c0 - c1 + c2
The answer is total_candy.","{'c0': 33.0, 'c1': 17.0, 'c2': 19.0}",35,"['total_candy =  c0 - c1 + c2', 'answer = total_candy']",1
142," The school cafeteria had c0 apples. If they used c1 to make lunch for the students and then bought c2 more, how many apples would they have? ",50,"The cafeteria had c0 apples originally. They used c1 for lunch and then bought c2 more. The total number of apples they would have is c0 - c1 + c2. 
total_apples = c0 - c1 + c2
The answer is total_apples.","{'c0': 14.0, 'c1': 13.0, 'c2': 49.0}",50,"['total_apples =  c0 - c1 + c2', 'answer = total_apples']",1
143," Edward had c0 books. If he sold c1 of them and used the money he earned to buy c2 new books, how many books would Edward have? ",38,"Edward originally had c0 books. He sold c1 of them, so he now has c0 - c1 books. He used the money he earned to buy c2 new books, so he now has c0 - c1 + c2 books. 
total_books = c0 - c1 + c2
The answer is total_books.","{'c0': 43.0, 'c1': 19.0, 'c2': 14.0}",38,"['total_books =  c0 - c1 + c2', 'answer = total_books']",1
144," A teacher had c0 worksheets to grade. If she graded c1, but then another c2 were turned in, how many worksheets would she have to grade? ",33,"The teacher originally had c0 worksheets to grade. She graded c1, so she has c0 - c1 left to grade. Then c2 more were turned in, so she now has to grade c0 - c1 + c2 worksheets. 
worksheets_to_grade = c0 - c1 + c2
The answer is worksheets_to_grade.","{'c0': 29.0, 'c1': 25.0, 'c2': 29.0}",33,"['worksheets_to_grade =  c0 - c1 + c2', 'answer = worksheets_to_grade']",1
145, In fourth grade there were c0 students at the start of the year. During the year c1 students left and c2 new students came to school. How many students were in fourth grade at the end? ,35,"At the start of the year, there were c0 students. Then c1 students left, so the number of students decreased by c1. After that, c2 new students came, so the number of students increased by c2. Therefore, the total number of students at the end of the year is:
end_students = c0 - c1 + c2
The answer is end_students.","{'c0': 35.0, 'c1': 10.0, 'c2': 10.0}",35,"['end_students =  c0 - c1 + c2', 'answer = end_students']",1
146," For the school bake sale Carol made c0 cupcakes. If she sold c1 of them and then made c2 more, how many cupcakes would she have? ",40,"Carol originally made c0 cupcakes. She sold c1 of them, so she has c0 - c1 cupcakes left. Then she made c2 more cupcakes, so she has c0 - c1 + c2 cupcakes in total. 
total_cupcakes = c0 - c1 + c2
The answer is total_cupcakes.","{'c0': 19.0, 'c1': 6.0, 'c2': 27.0}",40,"['total_cupcakes =  c0 - c1 + c2', 'answer = total_cupcakes']",1
147, A store had c0 oranges in a bin. If they threw away c1 of the old ones and put c2 new ones in the bin how many would be in the bin? ,10,"There were originally c0 oranges in the bin. They threw away c1 of the old ones and put c2 new ones in. The total number of oranges in the bin is c0 - c1 + c2. 
total_oranges = c0 - c1 + c2
The answer is total_oranges.","{'c0': 40.0, 'c1': 37.0, 'c2': 7.0}",10,"['total_oranges =  c0 - c1 + c2', 'answer = total_oranges']",1
148," At the arcade Victor won c0 tickets. If he spent c1 tickets on a beanie and later won c2 more tickets, how many would he have? ",58,"Victor originally won c0 tickets. He spent c1 tickets on a beanie, so he has c0 - c1 tickets left. Then he won c2 more tickets, so he has c0 - c1 + c2 tickets in total. 
total_tickets = c0 - c1 + c2
The answer is total_tickets.","{'c0': 46.0, 'c1': 27.0, 'c2': 39.0}",58,"['total_tickets =  c0 - c1 + c2', 'answer = total_tickets']",1
149," Chloe picked c0 carrots from her garden. If she threw out c1 of them and then picked c2 more the next day, how many carrots would she have total? ",45,"Chloe originally picked c0 carrots. She threw out c1 of them, so she has c0 - c1 left. Then she picked c2 more the next day, so she has (c0 - c1) + c2 carrots total. 
total_carrots = (c0 - c1) + c2
The answer is total_carrots.","{'c0': 48.0, 'c1': 45.0, 'c2': 42.0}",45,"['total_carrots =  (c0 - c1) + c2', 'answer = total_carrots']",1
150," Sam had c0 socks. If he threw away c1 old ones that didn't fit and bought c2 new ones, how many socks would he have? ",43,"Sam originally had c0 socks. He threw away c1 old ones and bought c2 new ones. So he now has c0 - c1 + c2 socks. 
new_socks = c0 - c1 + c2
The answer is new_socks.","{'c0': 10.0, 'c1': 3.0, 'c2': 36.0}",43,"['new_socks =  c0 - c1 + c2', 'answer = new_socks']",1
151," Maria had c0 bottles of water in her fridge. If she drank c1 of them and then bought c2 more, how many bottles would she have? ",51,"Maria had c0 bottles of water originally. She drank c1 of them, so she had c0 - c1 left. Then she bought c2 more, so she had (c0 - c1) + c2 bottles in total. 
total_bottles = (c0 - c1) + c2
The answer is total_bottles.","{'c0': 14.0, 'c1': 8.0, 'c2': 45.0}",51,"['total_bottles =  (c0 - c1) + c2', 'answer = total_bottles']",1
152," A teacher had c0 worksheets to grade. If she graded c1, but then another c2 were turned in, how many worksheets would she have to grade? ",63,"The teacher originally had c0 worksheets to grade. She graded c1, so she has c0 - c1 left to grade. Then c2 more were turned in, so she now has to grade c0 - c1 + c2 worksheets. 
worksheets_to_grade = c0 - c1 + c2
The answer is worksheets_to_grade.","{'c0': 34.0, 'c1': 7.0, 'c2': 36.0}",63,"['worksheets_to_grade =  c0 - c1 + c2', 'answer = worksheets_to_grade']",1
153," At the fair there were c0 people in line for the bumper cars. If c1 of them got tired of waiting and left and c2 more got in line, how many people would be in line? ",11,"There were originally c0 people in line. c1 left and c2 more got in line. So the total number of people in line is c0 - c1 + c2. 
total_people = c0 - c1 + c2
The answer is total_people.","{'c0': 7.0, 'c1': 4.0, 'c2': 8.0}",11,"['total_people =  c0 - c1 + c2', 'answer = total_people']",1
154," Emily had c0 coloring books. If she gave away c1 of them, but then bought c2 more, how many would she have total? ",19,"Emily had c0 coloring books. She gave away c1 of them, so she had c0 - c1 left. Then she bought c2 more, so she had (c0 - c1) + c2 in total. 
total_books = (c0 - c1) + c2
The answer is total_books.","{'c0': 7.0, 'c1': 2.0, 'c2': 14.0}",19,"['total_books =  (c0 - c1) + c2', 'answer = total_books']",1
155," At the arcade Dave won c0 tickets. If he spent c1 tickets on a beanie and later won c2 more tickets, how many would he have? ",18,"Dave originally won c0 tickets. He spent c1 tickets on a beanie, so he has c0 - c1 tickets left. He then won c2 more tickets, so he has c0 - c1 + c2 tickets in total. 
total_tickets = c0 - c1 + c2
The answer is total_tickets.","{'c0': 25.0, 'c1': 22.0, 'c2': 15.0}",18,"['total_tickets =  c0 - c1 + c2', 'answer = total_tickets']",1
