,question,answer,response,mapping
70,"A shopkeeper in order to promote his new shop put a discount of 20% on all the items for one day. Now he must sell the items at original price the other day. By what percentage must he increase the price to original?A)21%, B)20%, C)25%, D)33%, E)18%",C," If the shopkeeper put a discount of 20% on all the items for one day, then he must sell the items at original price the other day. So he must increase the price by 25% to original. The answer is c.",
71,"The bus fare for two persons for travelling between Agra and Aligarh id four-thirds the train fare between the same places for one person. The total fare paid by 6 persons travelling by bus and 8 persons travelling by train between the two places is Rs.1512. Find the train fare between the two places for one person?A)126, B)77, C)88, D)66, E)54",A," Let the train fare for one person be x. Then, the bus fare for two persons is 2/3x.

The total fare paid by 6 persons travelling by bus is 6(2/3x) = 4x.

The total fare paid by 8 persons travelling by train is 8x.

Therefore, 4x + 8x = 1512, or 12x = 1512. Therefore, x = 126. The answer is a.",
72,"A rectangle has a length of 8 centimeters and a width of 3 centimeters. Find the perimeter.A)18cm, B)22cm, C)20cm, D)30cm, E)28cm",B," The perimeter of a rectangle is the sum of the lengths of the sides. So the perimeter of this rectangle is
8 + 8 + 3 + 3 = 22. The answer is b.",
73,"Suppose you want to arrange your English, Hindi, Mathematics, History, Geography and Science books on a shelf. In how many ways can you do it ?A)520, B)720, C)920, D)None, E)Cannot be determined",B, The answer is B.,
74,"A straight picket fence is composed of x pickets each of which is 1/2 inch wide. If there are 6 inches of space between each pair of pickets, which of the following represents the length of fence in feet?A)13x/2, B)13x/2 - 6, C)13x/24, D)(13x+1)/24, E)(13x-12)/24",E, The length of the fence in feet is represented by (13x-12)/24.,
75,"A ship went on a voyage. After it had traveled 180 miles a plane started with 10 times the speed of the ship. Find the distance when they meet from starting point.A)238, B)289, C)200, D)287, E)187",C," The plane is traveling 10 times as fast as the ship, so it will cover 10 times the distance in the same amount of time.
So if the ship has traveled 180 miles in the time it takes the plane to cover 1800 miles, then they will meet at the
point where the ship has traveled 180/1800 = 1/10 of the total distance. The total distance is 1800 + 180 = 1980
miles. So they will meet at 198 miles from the starting point. The answer is E.",
76,"In a large forest, 300 deer were caught, tagged, and returned during 2001. During 2002, 500 deer were caught at random, of which only 20 had tags from the previous year. If the percent of deer in the forest that had tags during the second year and were caught in the 500 deer sample is representative of the percent of the total deer population in the forest with tags, what is the total deer population in the forest (assuming no change in population between 2001 and 2002)?A)300, B)500, C)5000, D)6000, E)7500",E," If the percent of deer in the Forest that had tags during the second year and were caught in the 500 deer sample is representative of the percent of the total deer population in the Forest with tags, then the total deer population in the forest is 5000. The answer is c.",
77,"In a railway station, there are two trains going. One in the harbor line and one in the main line, each having a frequency of 10 minutes. The main line service starts at 5 o'clock and the harbor line starts at 5.02 A.M. A man goes to the station every day to catch the first train that comes. What is the probability of the man catching the first train?A)0.9, B)0.8, C)0.6, D)0.65, E)1.5",B, The probability of the man catching the first train is 0.9.,
78,"The average (arithmetic mean) of the weight of 10 vehicles is 12.2 tons. The average weight of the group of vehicles increased by 2.6 tons after a new heavy duty truck was added to the group? What is the weight in tons of the heavy duty truck?A)40.8, B)41.6, C)42.2, D)43.5, E)44.8",A, The average weight of the group of vehicles increased by 2.6 tons after a new heavy duty truck was added to the group. This means that the new heavy duty truck must weigh 2.6 tons more than the average weight of the other vehicles in the group. So the weight of the new heavy duty truck must be 12.2 + 2.6 = 14.8 tons. The answer is E.,
79,"Boomtown urban planners expect the city’s population to increase by 10% per year over the next two years. If that projection were to come true, the population two years from now would be exactly double the population of one year ago. Which of the following is closest to the percent population increase in Boomtown over the last year?A)20%, B)40%, C)50%, D)65%, E)75%",D," The population two years from now would be exactly double the population of one year ago. So the population
increased by 100% over two years, or 50% per year. The answer is c.",
80,"Arjun and Sajal are friends, each has some money. If Arun gives $30 to Sajal, the Sajal will have twice the money left with Arjun. But, if Sajal gives $10 to Arjun, Arjun will have thrice as much as is left with Sajal. How much money does each have?A)62, 35, B)62, 34, C)34, 62, D)42, 62, E)62, 42",B," Let's call Arjun's money x and Sajal's money y. So we know that x - 30 = 2(y + 10), and y - 10 = 3(x - 30). Solving
these equations for x and y, we get x = 62 and y = 35. The answer is A.",
81,"Julie’s yard is rectangular. One side of the yard is 100 feet wide. The total area of the yard is 3,000 square feet. What is the length of the other side of the yard?A)30 feet, B)20 feet, C)10 feet, D)50 feet, E)60 feet",A, The length of the other side of the yard is 30 feet.,
82,"The greatest common factor of two positive integers is 11. The least common multiple of these two integers is 7700. If one of the integers is 350, what is the other?A)242, B)308, C)352, D)412, E)456",A," The greatest common factor of two positive integers is 11. The least common multiple of these two integers is 7700. If one of the integers is 350, then the other integer is 242.",
83,"A square piece of cloth is trimmed by 4 feet on one edge to form a rectangular piece, which is then cut diagonally in half to create two triangles. If the area of each of triangle is 70 square feet, what was the perimeter (in feet) of the original piece of square cloth?A)56, B)58, C)60, D)62, E)64",A," The area of a triangle is equal to 1/2 * base * height. So 1/2 * base * height = 70. We know that the base and height of the triangle are both equal to 4 feet, because it was cut from a square piece of cloth. So 1/2 * 4 * 4 = 70, and the perimeter of the original piece of cloth was 16 feet. The answer is A.",
84,"The length of the ribbon was originally 30 cm. It was reduced in the ratio 5 : 3. What is its length now?A)18, B)30, C)6, D)15, E)12",A," The length of the ribbon was originally 30 cm. It was reduced in the ratio 5 : 3. This means that the new length
is 5/3 of the original length. So the new length is 10 cm. The answer is c.",
85,"M = abc is a three digit number and N = cba, if M > N and M - N + 396c = 990. Then how many values of M are more than 300.A)20, B)30, C)40, D)200, E)None",A," We can plug in values for c until we find one that works. If c = 1, then M = ab1 and N = 1ba. M - N + 396(1) = 990
implies that M - N = 594. But this is not possible since M > N. If c = 2, then M = ab2 and N = 2ba. M - N + 396(2) = 990
implies that M - N = 392. This is possible since 392 = 300 + 92. So M = 692 and N = 296. There are 30 values of M
that are more than 300. The answer is b.",
86,"there are more than 501 students in a school such that 20% of them exactly took physics and 28% of them exactly took math. What could be the least possible no of students in the school?A)550, B)570, C)600, D)700, E)none of these",E," If there are more than 501 students in the school, then at least 502 students are required. 20% of 502 is 100.2,
which means that at least 101 students must have taken physics. 28% of 502 is 140.56, which means that at least 141
students must have taken math. Therefore, the least possible number of students in the school is 570. The answer is b.",
87,"If Raj was one-third as old as Rahim 5 years back and Raj is 17 years old now, How old is Rahim now?A)37, B)41, C)40, D)42, E)43",B," If Raj was one-third as old as Rahim 5 years back, then Rahim was 3 times as old as Raj 5 years back. So
Rahim’s age 5 years back was 3(12) = 36. So Rahim’s present age is 36 + 5 = 41. The answer is b.",
88,"A cow is tethered in the middle of a field with a 14 feet long rope. If the cow grazes 10 sq.ft. per day, then approximately what time will be taken by the cow to graze the whole field?A)51 days, B)61 days, C)71 days, D)81 days, E)91 days",B, The cow will take approximately 71 days to graze the whole field.,
89,"A book was sold for Rs 27.50 with a profit of 10%. If it were sold for Rs. 25.75, then would have been percentage of profit and loss ?A)2% Profit, B)3% Profit, C)2% Loss, D)3% Loss, E)4% Loss",B," If the book was sold for Rs. 25.75, then the profit would have been 10% of Rs. 25.75, which is Rs. 2.575. So the
percentage of profit would be 2.575 / 25.75, or 10%. The answer is c.",
90,"In how many ways can a teacher in a kindergarten school arrange a group of 3 children (Susan, Tim and Zen) on 3 identical chairs in a straight line so that Susan is on the left of Tim?A)7, B)3, C)2, D)1, E)6",B," The teacher can arrange the children in 3 ways: Susan-Tim-Zen, Tim-Zen-Susan, and Zen-Susan-Tim. The answer is c.",
91,"The telephone bill of a certain establishment is party fixed and partly varies as the number of calls consumed. When in a certain month 540 calls made the bill is Rs.1800. In another month 620 calls are consumed then the bill becomes Rs.2040. In another month 500 units are consumed due to more
holidays. The bill for that month would be :A)Rs.1560, B)Rs.1680, C)Rs.1840, D)Rs.1950, E)Rs.1690",B," The bill is partly fixed and partly varies as the number of calls consumed. So if 540 calls are made, the bill is Rs.1800.
If 620 calls are made, the bill is Rs.2040. This means that for every 80 calls made, the bill increases by Rs.240. So for
500 calls, the bill would be Rs.1800 + (500 - 540) * 240 / 80 = Rs.1680. The answer is B.",
92,"Two balls A and B rotate along a circular track. Ball A makes 2 full rotations in 26 minutes. Ball B makes 5 full rotation in 35 minutes. If they start rotating now from the same point, when will they be at the same starting point again?A)1 hour and 31 minutes, B)2 hour and 31 minutes, C)3 hour and 31 minutes, D)4 hour and 31 minutes, E)5 hour and 31 minutes",A, The two balls will be at the same starting point again in 3 hours and 31 minutes.,
93,"A bookshelf contains 45 books, 30 of which are hardcover and 20 of which are fiction. What is the maximum number of books that are both hardcover and fiction?A)10, B)15, C)18, D)20, E)30",D, The maximum number of books that are both hardcover and fiction is 15.,
94,"A newspaper costs $4 on Sunday and $1 the rest of the days of the week. If a hotel orders twice as many papers on Sunday as it does the rest of the days of the week and pays $210 per week for newspapers, how many newspapers does it buy on Monday?A)15, B)30, C)45, D)60, E)75",A," The hotel buys 2x as many papers on Sunday as it does the rest of the week. So it buys 2x + x = 3x papers on Sunday,
and x papers the rest of the week. This means that the total cost of newspapers per week is 3x(4) + x(1) = 12x + x = 13x.
So 13x = 210. This means x = 210 / 13 = 16. So the hotel buys 16 papers on Monday. The answer is D.",
95,"A number of friends decided to go on a picnic and planned to spend Rs. 96 on eatables. Four of them, however, did not turn up. As a consequence, the remaining ones had to contribute Rs. 4 extra, each. The number of those who attended the picnic wasA)8, B)12, C)16, D)24, E)25",A," If the number of friends who attended the picnic is x, then x/4 + x/4 + x/4 + x/4 = 96. So x = 96. The answer is c.",
96,"A wire in the shape of rectangle of length 27 cm and breadth 17 cm is rebent to form a square. What will be the measure of each side?A)9, B)11, C)22, D)25, E)31",C," The perimeter of the rectangle is 27 + 27 + 17 + 17 = 88. So the perimeter of the square will also be 88.
Each side of the square will be 88 / 4 = 22. The answer is c.",
97,"A man divides Rs 8600 among 5 sons, 4 daughters and 2 nephews. If each daughter receives four times as much as each nephew, and each son receives five as much as each nephew. How much does each daughter receive ?A)Rs 400, B)Rs 500, C)Rs 600, D)Rs 700, E)Rs 800",E," Each daughter receives four times as much as each nephew, so each daughter receives 4 * x, where x is the amount
that each nephew receives. Each son receives five as much as each nephew, so each son receives 5 * x. We know that
the total amount of money is 8600, so we can set up the equation:
4 * x + 5 * x + 4 * x + 5 * x + 4 * x + 5 * x = 8600
This simplifies to 24 * x = 8600, so x = 8600 / 24 = 375. This means that each daughter receives 4 * 375 = 1500, and
each son receives 5 * 375 = 1875. The answer is D.",
98,"Silu and Meenu were walking on the road.
Silu said, ""I weigh 51 Kgs. How much do you weigh?""
Meenu replied that she wouldn't reveal her weight directly as she is overweight.
But she said, ""I weigh 29 Kgs plus half of my weight. ""How much does Meenu weigh?A)12, B)28, C)27, D)58, E)91",D," Meenu's weight is twice 29, or 58. The answer is D.",
99,"Roy was suffering from severe headaches. He went to see his doctor and the doctor gave him 5 tablets asking him to take one tablet every 15 minutes.
How much time will it take Roy to consume all the 5 tablets?A)45 Min, B)75 Min, C)90 Min, D)120 Min, E)60 Min",E, It will take Roy 75 minutes to consume all the 5 tablets.,
100,"In a bag of red and green sweets, the ratio of red sweets to green sweets is 3:4. If the bag contains 120 green sweets, how many red sweets are there?A)90, B)80, C)95, D)100, E)85",A," In a bag of red and green sweets, the ratio of red sweets to green sweets is 3:4. If the bag contains 120 green sweets, then there are 3/4 x 120 = 90 red sweets. The answer is A.",
101,"A club consists of members whose ages are in A.P. The common difference being 3 months. If the youngest member of the club is just 7 years old and the sum of the ages of all the members is 250, then number of members in the club are :A)18, B)20, C)25, D)26, E)27",C," We can set up an equation to solve this problem. Let n be the number of members in the club. Then the sum of the ages of all the members is given by:

n(n + 1)/2 * 3 = 250

This equation can be simplified to:

3n^2 + 3n = 500

This equation can be further simplified to:

3n^2 + 3n - 500 = 0

Using the quadratic equation, we can solve for n:

n = (-3 +/- sqrt(9 + 1200)) / 6

n = (-3 +/- sqrt(1209)) / 6

n = (-3 +/- 34.7) / 6

n = (-36.7 +/- 34.7) / 6

n = (-36.7 +/- 59.4) / 6

n = (-96.1 +/- 59.4) / 6

n = (-96.1 +/- 77.5) / 6

n = (-173.6 +/- 77.5) / 6

n = (-173.6 +/- 87.9) / 6

n = (-261.5 +/- 87.9) / 6

Since we are looking for a positive integer solution, we can ignore the negative root. So n = (261.5 +/- 87.9) / 6. This gives us two possible solutions: n = 174.4/6 and n = 348.9/6. However, since n must be a positive integer, n cannot be equal to 174.4/6. So the only possible solution is n = 348.9/6, which is equal to 58.15. Therefore, there are 58 members in the club. The answer is D.",
102,"M men agree to purchase a gift for Rs. D. If 3 men drop out how much more will each have to contribute towards the purchase of the gift?A)D/(M-3), B)MD/3, C)M/(D-3), D)3D/(M2-3M), E)None of these",D, The answer is D.,
103,"At what price should the Karan mark a sewing machine that costs him Rs. 1200/- so that even after offering a 20% discount, he makes 20% profit?A)1,879, B)1,875, C)1,876, D)1,872, E)1,800",E," The selling price should be 1,875.",
104,"Train ‘A’ leaves Mumbai Central for Lucknow at 11 am, running at the speed of 40 kmph. Train ‘B’ leaves Mumbai Central for Lucknow by the same route at 2 pm on the same day, running at the speed of 72 kmph. At what time will the two trains meet each other?A)12 am on the next day, B)5 am on the next day, C)5 pm on the next day, D)2 pm on the next day, E)None of these",A," Train A is 40 kmph and Train B is 72 kmph. Train B is 1.8 times as fast as Train A. Train A leaves at 11 am and Train B leaves at 2 pm. That means Train B has a 3 hour head start. In 3 hours, Train B will have gone 216 km. Train A will have gone 120 km. Train B is 96 km ahead of Train A. They will meet at 5 pm on the same day. The answer is c.",
105,"Mark told John ""If you give me half your money I will have Rs.75. John said, ""if you give me one third of your money, I will have Rs.75/-. How much money did John have ?A)22, B)60, C)28, D)26, E)18",B," If Mark has x amount of money, then John has 2x - x = x amount of money. So if Mark gives John half his money,
then John will have 3/4x + x/2 = 75. Similarly, if John gives Mark one third of his money, then Mark will have
2/3x + x/3 = 75. So 3/4x + x/2 = 2/3x + x/3. This simplifies to x/12 = 0, which means x = 0. So John has no money.
The answer is e.",
106,"The number of water lilies on a certain lake doubles every two days. If there is exactly one water lily on the lake, it takes 60 days for the lake to be fully covered with water lilies. In how many days will the lake be fully covered with lilies, if initially there were 64 water lilies on it?A)15, B)28, C)30, D)53, E)59",D," The number of water lilies on the lake doubles every two days. So after two days, there will be 2 x 64 = 128 water lilies on the lake. After four days, there will be 2 x 128 = 256 water lilies on the lake. After six days, there will be 2 x 256 = 512 water lilies on the lake. After eight days, there will be 2 x 512 = 1024 water lilies on the lake. After ten days, there will be 2 x 1024 = 2048 water lilies on the lake. After twelve days, there will be 2 x 2048 = 4096 water lilies on the lake. After fourteen days, there will be 2 x 4096 = 8192 water lilies on the lake. After sixteen days, there will be 2 x 8192 = 16384 water lilies on the lake. After eighteen days, there will be 2 x 16384 = 32768 water lilies on the lake. After twenty days, there will be 2 x 32768 = 65536 water lilies on the lake. After twenty-two days, there will be 2 x 65536 = 131072 water lilies on the lake. After twenty-four days, there will be 2 x 131072 = 262144 water lilies on the lake. After twenty-six days, there will be 2 x 262144 = 524288 water lilies on the lake. After twenty-eight days, there will be 2 x 524288 = 1048576 water lilies on the lake. After thirty days, the lake will be fully covered with water lilies. The answer is c.",
107,"x men working x hours per day can do x units of a work in x days. How much work can be completed by y men working y hours per day in y days?A)x2/y2 units, B)y3/x2 units, C)x3/y2 units, D)y2/x2 units, E)None of these",B, The answer is D.,
108,"ABCDE is a regular pentagon with F at its center. How many different quadrilaterals can be formed by joining 4 of the points A,B,C,D,E and F?A)12, B)10, C)5, D)15, E)20",D," There are 5 points on the pentagon, so there are 5 choose 4 = 5! / (4! * 1!) = 5 ways to choose 4 of the 5 points.
There are also 5 points on the pentagon, so there are 5 choose 1 = 5 ways to choose 1 of the 5 points. So there are
5 * 5 = 25 ways to choose 4 points from the 5 points on the pentagon. The answer is D.",
109,"Points A, B, C, D lie in this order on the circumference of a circle. Minor arc AC is 160°, and minor arc BD is 150°. If B bisects minor arc AC, then what is the measure of minor arc AD?A)80°, B)130°, C)140°, D)160°, E)220°",B," If B bisects minor arc AC, then the measure of minor arc AC must be equal to the measure of minor arc BC.
Since the measure of minor arc AC is 160° and the measure of minor arc BD is 150°, the measure of minor arc AD
must be 10°. The answer is a.",
110,"If 75 percent of the employees of a certain company take a winter vacation, 40 percent take a winter and a summer vacation, and 20 percent take neither a winter nor a summer vacation, what Q percent of the employees take a summer vacation but not a winter vacation?A)5%, B)15%, C)25%, D)35%, E)45%",A, The answer is 35%.,
111,"The cross-section of a canal is shaped like a trapezium. If the canal is 10 m wide at the top and 6 m wide at the bottom and the area of cross-section is 640 square meters, the depth of cannel is?A)26, B)28, C)21, D)80, E)23",D, The area of a trapezium is (base1 + base2) * height / 2. So (10 + 6) * height / 2 = 640. This simplifies to 16 * height / 2 = 640. So height = 80. The answer is D.,
112,"During one season, a tennis team won 20 matches and lost 30% of their matches. What was the number of matches that the team lost?A)70, B)30, C)3, D)7, E)5",C," The team lost 30% of their matches, so they lost 30% of 20, which is 6. The answer is c.",
113,"A point on the edge of a fan blade that is rotating in a plane 10 centimeters from the center of the fan. What is the distance traveled, in centimeters, by this point after 30 seconds when the fan runs at the rate of 300 revolutions per minutes?A)750pi, B)1500pi, C)1875pi, D)3000pi, E)7500pi",D," The distance traveled by the point is equal to the circumference of the circle times the number of revolutions.
The circumference of the circle is 2 * pi * r, where r is the radius of the circle. In this case, the radius is 10
cm, so the circumference is 2 * pi * 10 cm. The number of revolutions is 300 per minute, or 5 per second. So
the distance traveled is 2 * pi * 10 cm * 5 per second, or 100 * pi cm. The answer is B.",
114,"If n is such that 36 ≤ n ≤ 72, then x = (n2 + 2√n(n + 4) + 16) / (n+ 4√n+ 4) satisfiesA)20 < x < 54, B)23 < x < 58, C)25 < x < 64, D)28 < x < 60, E)None of these",D," We can plug in values for n to see what range of values x can take on. If n = 36, then x = (1296 + 2(60)(40) + 16) / (40 + 4(60) + 4) = 1360 / 104 = 13.08. If n = 72, then x = (5184 + 2(76)(76) + 16) / (76 + 4(76) + 4) = 5376 / 156 = 34.62. So x can take on any value between 13.08 and 34.62, inclusive. The answer is E.",
115,"At its maximum speed, a space shuttle can travel 700m high in 40 seconds. It will also take 5 seconds to pass a point. What then is the length of the space shuttle?A)50 m, B)75 m, C)100 m, D)125 m, E)150 m",C," The space shuttle is traveling at 700m/40s, which is the same as 35m/s. In 5 seconds, it will travel 35 * 5 = 175m.
The answer is D.",
116,"A starts a business with Rs.40,000. After 2 months, B joined him with Rs.60,000. C joined them after some more time with Rs.120,000. At the end of the year, out of a total profit of Rs.375,000, C gets Rs.150,000 as his share. How many months after B joined the business, did C join?A)2 months, B)4 months, C)23 months, D)24 months, E)84 months",B," We can set up the equation 2(40,000) + x(60,000) + (12 - x)(120,000) = 375,000, where x is the number of months after B joined that C joined. This simplifies to x = 23, so C joined 23 months after B. The answer is c.",
117,"A paper is in a square form whose one side is 20 cm. Two semi circles are drawn on its opposites as diameters. If these semi circles are cut down what is the area of the remaining paper?A)8.75, B)8.79, C)8.75, D)8.71, E)8.72",C," The area of the remaining paper would be the area of the square minus the area of the two semi-circles. The
area of the square is 20 cm * 20 cm = 400 cm^2. The area of each semi-circle is (pi * r^2) / 2, where r is the
radius of the semi-circle. The radius of each semi-circle is 10 cm, so the area of each semi-circle is (pi * 10^2) /
2 = pi * 100 / 2 = pi * 50 = 157.07 cm^2. So the area of the remaining paper is 400 cm^2 - (2 * 157.07 cm^2) =
85.86 cm^2. The answer is D.",
118,"An athlete runs M miles in 4 hours, then rides a bike N miles in the same number of hours. Which of the following represents the average speed, in miles per hour, for these two activities combined?A)M + N / 8, B)2M + N / 8, C)M + N / 4, D)M + 3N / 8, E)M + N / 5",A, The average speed for the two activities combined is M + N / 8.,
119,"8 man work for 6 days to complete a work. How many men are required to complete same work in 1/2 day.A)93 men, B)94 men, C)95 men, D)96 men, E)97 men",D," 8 men work for 6 days to complete a work. They work at a rate of 8 men per day. In 1/2 day, they would work at a
rate of 16 men. So 16 men would be required to complete the same work in 1/2 day. The answer is b.",
120,"64 boys and 40 girls form a group for social work. During their membership drive, the same number of boys and girls joined the group. How many members does the group have now, if the ratio of boys to girls is 4:3?A)277, B)288, C)200, D)277, E)168",E," The ratio of boys to girls is 4:3. So if the same number of boys and girls joined the group, then the new ratio
would be 4:3 as well. So the new group would have 4x + 3x = 7x members, where x is the number of boys or girls
that joined the group. We don't know how many members there are in total, so we can't solve for x. The answer is D.",
121,"A cyclist travels at 12 miles per hour. How many minutes will it take to travel 48 miles?A)1, B)240, C)30, D)60, E)120",B," It will take 4 hours to travel 48 miles. There are 60 minutes in an hour, so it will take 4 * 60 = 240 minutes to
travel 48 miles. The answer is B.",
122,"Kevin drove from A to B at a constant speed of 70 mph. Once he reached B, he turned right around with pause, and returned to A at a constant speed of 90 mph. Exactly 3 hours before the end of his trip, he was still approaching B, only 70 miles away from it. What is the distance between A and B?A)180, B)90, C)270, D)360, E)None of the above",A, The distance between A and B is 180 miles.,
123,"30 is subtracted from a number, it is reduced to its one third. What is the value of 50% of that number?A)22.5, B)84, C)21, D)24, E)25",A," If 30 is subtracted from a number, it is reduced to its one third. So if 50% of that number is subtracted, it
would be reduced to one sixth. The answer is c.",
124,"If a man rows at the rate of 4 kmph in still water and his rate against the current is 2 kmph, then the man's rate along the current is:A)15 kmph, B)6 kmph, C)12 kmph, D)14 kmph, E)6 kmph",E, The man's rate along the current is 6 kmph.,
125,"The sum of the digits of a three digit number is 17, and the sum of the squares of its digits is 109. If we subtract 495 from the number, we shall get a number consisting of the same digits written in the reverse order. Find the number.A)368, B)377, C)288, D)997, E)112",A, The number is 368.,
126,"X and Y are two alloys which were made by mixing zinc and copper in the ratio 6:9 and 7:11, respectively. If 40 grams of alloy X and 60 grams of alloy Y are melted and mixed to form alloy Z, what is the ratio of zinc and copper in the alloy Z ?A)69:91, B)59:91, C)59:90, D)59:91, E)69:101",B," The ratio of zinc and copper in alloy X is 6:9, and the ratio of zinc and copper in alloy Y is 7:11. So the ratio of zinc and copper in alloy Z would be (6 + 7):(9 + 11) = 13:20. The answer is C.",
127,"The nefarious bandit Hoopsmot decides to go in with his criminal partner Smolapon to purchase a number of senators. Hoopsmot contributes $16,000 to their bribery pool, and Smolapon contributes just $4,000. Their total allows them to influence 30 senators. How many senators of these can be considered Hoopsmot's?A)18, B)20, C)22, D)24, E)26",D," If Hoopsmot contributes $16,000 to the bribery pool and Smolapon contributes $4,000, then the ratio of Hoopsmot's contribution to the total is 4:5. So the number of senators that can be considered Hoopsmot's is 24. The answer is D.",
128,"The difference between the squares of two numbers is 256000 and the sum of the numbers is 1000. The numbers areA)600, 400, B)628, 372, C)640, 360, D)None of these, E)Cannot be determined",B," The difference between the squares of two numbers is 256000 and the sum of the numbers is 1000. The numbers are
600, 400.",
129,"An astronaut weighing 211 pounds on Earth would weigh 182 pounds on Venus. The weight of the astronaut on Venus would be approximately what percent of the astronaut’s weight on Earth?A)50%, B)60%, C)70%, D)86%, E)90%",D, The weight of the astronaut on Venus would be approximately 86% of the astronaut’s weight on Earth. The answer is D.,
130,"A man walks at 5 kmph for 6 hrs and at 4 kmph for 12 hrs. His average speed isA)4 1/3 km/h, B)7 2/3 km/h, C)9 ½ km/h, D)8 km/h, E)81 km/h",A," The average speed is the total distance divided by the total time. The total distance is 5 kmph * 6 hrs + 4 kmph * 12 hrs
= 90 km. The total time is 6 hrs + 12 hrs = 18 hrs. So the average speed is 90 km / 18 hrs = 5 km/h. The answer is d.",
131,"[(272 - 32) (124 + 176)] / (17 x 15 - 15) = ?A)0, B)2.25, C)300, D)400, E)None of these",C, The answer is B.,
132,"Everyone in the family earns money each month. If the total income of a family per month is $9000 and the median income is $3000, how many members are there in the family?A)2, B)3, C)4, D)5, E)6",B, There are 3 members in the family.,
133,"The bus fare of one adult is Rs. 140 from Ranchi to Patna and bus fare of a child is half the fare of one adult between the same places. What is the total bus fare of 4 adults and 3 children between same places?A)Rs. 666, B)Rs. 670, C)Rs. 700, D)Rs. 570, E)Rs. 770",E, The total bus fare of 4 adults and 3 children between same places is Rs. 700.,
134,"An organization decided to raise Rs. 6 lakh by collecting equal contribution from each of its employees. If each of them had contributed Rs. 60 extra, the contribution would have been Rs. 6.24 lakh. How many employees are there in that organization?A)300, B)200, C)400, D)100, E)500",C," The organization decided to raise Rs. 6 lakh by collecting equal contribution from each of its employees. If each of them had contributed Rs. 60 extra, the contribution would have been Rs. 6.24 lakh. This means that the total number of employees is 10,000. The answer is D.",
135,"If there are 5,000 voters out of which 20% are not eligible to vote and there are two candidates contesting. The winning candidate won by 15% of the votes. What is the total number of votes he got ?A)3267, B)2678, C)2797, D)2300, E)2781",D," If there are 5,000 voters, then 20% of them are not eligible to vote, which means that 1,000 of them are not eligible.
This leaves 4,000 eligible voters. If the winning candidate won by 15% of the votes, then he received 15% of 4,000
votes, which is 600 votes. So the total number of votes he got is 600. The answer is E.",
136,"For bringing each copper coin from the bottom of a river, a coin-diver gets 20 cents, and for each brass coin she gets 25 cents. If after one dive, she got $3.40. What is the minimum number of copper coins that she brought?A)4, B)3, C)2, D)1, E)0",C, The minimum number of copper coins that she brought is 4.,
137,"Ram and Krishna start from A and B, respectively, at the same time and travel towards each other at constant speeds of 20m/s and 40m/s, respectively, along the same route. Ram meets Krishna at point C on the road after 10 seconds. Find the total distance between A to B.A)700 meters, B)1000 meters, C)700 kilometers, D)555 meters, E)600 meters",E, The total distance between A and B is 700 meters.,
138,"Car ‘X’ covers a distance of 320 kms in 8 hours and car ‘Y’ covers a distance of 415 kms in 5 hrs. What is the difference in the speed of the two cars?A)42kms/hr, B)41km/hr, C)43kms/hr, D)45kms/hr, E)None of these",C, The speed of car X is 320/8 = 40 km/hr. The speed of car Y is 415/5 = 83 km/hr. The difference in the speed of the two cars is 83 - 40 = 43 km/hr. The answer is c.,
139,"Winson runs from his home to his school at an average speed of 10 miles/hr, and then walks home along the same route at an average speed of 5 miles/hr. If the whole journey took one hour, how many miles is his home from his school?A)9, B)6, C)4, D)3, E)2",E," The average speed for the whole journey is 10 + 5 / 2 = 7.5 miles/hr. So in one hour, he would have gone 7.5 miles.
The answer is c.",
140,"A sporting goods store carries only yellow and white golf balls. At the beginning of the day it had 600 golf balls in stock, and by the end of the day it had sold 80% of its inventory of golf balls. If the store sold an equal number of yellow and white golf balls, and in doing so sold all of its white golf balls, how many yellow golf balls did the store have to begin the day?A)80, B)120, C)240, D)320, E)360",E," If the store sold an equal number of yellow and white golf balls, then it sold half of its total inventory of golf balls. So if the store started with 600 golf balls and sold 80% of them, then it would have sold 480 golf balls. Since it sold all of its white golf balls, it must have started with 300 white golf balls. So it would have started with 300 yellow golf balls. The answer is D.",
141,"A flagstaff 17.5 metre high casts a shadow of length 40.25 metre. The height of building, which casts a shadow of length 28.75 metre under similar conditions will be :A)12 metre, B)12.5 metre, C)13.5 metre, D)14 metre, E)15 metre",B, The ratio of the height of the flagstaff to the length of its shadow is 17.5:40.25. The ratio of the height of the building to the length of its shadow should be the same. So the height of the building is 17.5 * 28.75 / 40.25 = 13.5 metres. The answer is c.,
142,"Two cars are travelling from the same starting point in the same direction, having started their commute at the same time. The first car travels at a steady rate of 55 mph, while the second travels at a steady rate of 52 mph. How much time will pass before the cars are 15 miles away from each other?A)3 hours, B)5 hours, C)6 hours, D)4 hours, E)7 hours",B," The first car is travelling at 55 mph and the second car is travelling at 52 mph. In 1 hour, the first car will travel 55 miles and the second car will travel 52 miles. So in 1 hour, the cars will be 3 miles apart. In 2 hours, the cars will be 6 miles apart. In 3 hours, the cars will be 9 miles apart. In 4 hours, the cars will be 12 miles apart. In 5 hours, the cars will be 15 miles apart. So it will take 5 hours for the cars to be 15 miles apart. The answer is B.",
