,question,answer,response,tokens,logprobs,mapping,response_answer,correct
364," There school's baseball team had 31 new players and 4 returning players. If the coach put them into groups with 7 players in each group, how many groups would there be? ",5," There are 31 + 4 = 35 total players. If there are 7 players in each group, then there would be 35 / 7 = 5 groups. The answer is 5.","[' There', ' are', ' 31', ' +', ' 4', ' =', ' 35', ' total', ' players', '.', ' If', ' there', ' are', ' 7', ' players', ' in', ' each', ' group', ',', ' then', ' there', ' would', ' be', ' 35', ' /', ' 7', ' =', ' 5', ' groups', '.', ' The', ' answer', ' is', ' 5', '.']","[-0.9225563999999999, -0.48335844, -0.609076, -0.14262599, -3.7863996000000004e-05, -0.0047012996, -0.00015946814, -0.7246476, -0.0054275002, -0.0011736015, -0.24709761, -0.21060845, -0.0027680139, -0.003986994000000001, -0.28901717, -0.257495, -0.0012362029000000001, -0.00047135746, -0.0006785421, -0.108640015, -0.19058616, -0.5214331999999999, -0.00614373, -0.056596365, -0.07401233, -3.7266083000000006e-05, -0.022016823, -0.001589799, -0.02798892, -0.09236689000000001, -0.051050123, -5.514926700000001e-05, -0.000311554, -4.3586017000000006e-05, -0.013653107000000001]",,5,1
365," Oliver was organizing his baseball cards in a binder with 3 on each page. If he had 2 new cards and 10 old cards to put in the binder, how many pages would he use? ",4," Oliver has 10 old cards and 2 new cards. He can put 3 old cards on each page, so that would be 10 / 3 = 3.33 pages. He would need 4 pages for the old cards. For the new cards, he would need 2 / 3 = 0.67 pages. So he would need a total of 3.33 + 0.67 = 4 pages. The answer is 4.","[' Oliver', ' has', ' 10', ' old', ' cards', ' and', ' 2', ' new', ' cards', '.', ' He', ' can', ' put', ' 3', ' old', ' cards', ' on', ' each', ' page', ',', ' so', ' that', ' would', ' be', ' 10', ' /', ' 3', ' =', ' 3', '.', '33', ' pages', '.', ' He', ' would', ' need', ' 4', ' pages', ' for', ' the', ' old', ' cards', '.', ' For', ' the', ' new', ' cards', ',', ' he', ' would', ' need', ' 2', ' /', ' 3', ' =', ' 0', '.', '67', ' pages', '.', ' So', ' he', ' would', ' need', ' a', ' total', ' of', ' 3', '.', '33', ' +', ' 0', '.', '67', ' =', ' 4', ' pages', '.', ' The', ' answer', ' is', ' 4', '.']","[-0.8151125, -1.2146626, -0.7927335999999999, -0.029407274, -0.00040260222, -0.51053554, -0.0042347163, -8.161453e-05, -0.021882968000000003, -0.39751217, -0.8752329, -0.8508409, -0.06780278, -0.0002741131, -0.42832428, -0.00016411633999999998, -0.43874362, -0.017353784, -0.00027327676, -0.6496718, -0.67955893, -0.6061785, -0.5854712, -0.15767902, -0.28709584, -0.13866161, -2.6936819999999996e-06, -0.013634438, -0.0008147807, -0.55688965, -0.12304058, -0.02440365, -0.032290008, -0.24285848000000002, -0.039061848, -0.18631276, -0.08974179, -0.00026993704, -0.49530759999999996, -0.0037194130000000004, -0.10716201, -4.5374152000000005e-05, -0.00022671591, -0.09179903, -0.00028210193999999997, -0.12320468, -1.2588937e-05, -5.157113e-05, -0.08623960600000001, -0.067426704, -0.009847106000000001, -0.0040455232, -0.0028281438000000002, -8.864972000000001e-05, -0.0005733325, -0.053153757, 0.0, -0.5020565, -0.061798133000000005, -0.0007703421000000001, -0.2710275, -0.06863918000000001, -0.0013731144, -0.07137102000000001, -0.4330678, -1.0800813e-05, -2.5583630000000002e-05, -0.3881538, -0.0027506188, -0.0010719212, -4.838501e-06, -0.004382998, -1.022884e-06, -6.827631999999999e-08, -0.15957944000000002, -4.775551000000001e-05, -0.009686101, -5.490991000000001e-05, -0.44378555000000003, -0.0001173809, -7.818712999999999e-06, -7.005035e-05, -0.022519205]",,4,1
366," Paul made 3 dollars mowing lawns and 3 dollars weed eating. If he only spent 3 dollar a week, how long would the money last him? ",2," Paul made 3 dollars mowing lawns and 3 dollars weed eating. So he made 6 dollars in total. If he spends 3 dollars a week, then the money will last him 6 / 3 weeks. 6 / 3 is 2. The answer is 2 weeks.","[' Paul', ' made', ' 3', ' dollars', ' m', 'owing', ' lawn', 's', ' and', ' 3', ' dollars', ' weed', ' eating', '.', ' So', ' he', ' made', ' 6', ' dollars', ' in', ' total', '.', ' If', ' he', ' spends', ' 3', ' dollars', ' a', ' week', ',', ' then', ' the', ' money', ' will', ' last', ' him', ' 6', ' /', ' 3', ' weeks', '.', ' 6', ' /', ' 3', ' is', ' 2', '.', ' The', ' answer', ' is', ' 2', ' weeks', '.']","[-0.7825504, -0.8086574999999999, -0.23556302, -0.03734859, -0.025068015000000003, -2.8138237999999996e-06, -0.012712384, -0.00022206490000000002, -0.036385257000000004, -0.0016789362, -0.006034467, -0.00041011895999999996, -0.00013586105999999998, -0.10090510500000001, -0.9620025, -0.22525276, -0.34686217, -0.45473529999999995, -0.0072987964, -0.39737463, -0.012159931, -0.0065062055, -0.44599664, -0.0078231525, -0.11095921, -0.0011118983, -0.002178972, -0.074276544, -0.00022927842999999999, -0.000102002974, -0.7447645700000001, -0.5797259, -0.00013478724999999999, -0.05704467, -6.3014224e-05, -0.020411292, -0.46160603, -0.051629390000000004, -6.031526e-06, -0.38086024, -0.008368023, -0.07793847, -0.0011190585, -9.723462400000001e-05, -0.06524738000000001, -0.0016853254, -0.014168958, -0.19031489000000001, -0.0005193619000000001, -3.2906587e-06, -4.6086590000000006e-05, -0.49531052000000003, -2.5941252000000004e-05]",,2,1
367," Robin was making baggies of cookies with 6 cookies in each bag. If she had 23 chocolate chip cookies and 25 oatmeal cookies, how many baggies could she make? ",8, Robin had 23 chocolate chip cookies and 25 oatmeal cookies. She could make 23 / 6 = 3.83 baggies of chocolate chip cookies. She could make 25 / 6 = 4.17 baggies of oatmeal cookies. The answer is 3.83 + 4.17 = 8.,"[' Robin', ' had', ' 23', ' chocolate', ' chip', ' cookies', ' and', ' 25', ' o', 'atmeal', ' cookies', '.', ' She', ' could', ' make', ' 23', ' /', ' 6', ' =', ' 3', '.', '83', ' bag', 'g', 'ies', ' of', ' chocolate', ' chip', ' cookies', '.', ' She', ' could', ' make', ' 25', ' /', ' 6', ' =', ' 4', '.', '17', ' bag', 'g', 'ies', ' of', ' o', 'atmeal', ' cookies', '.', ' The', ' answer', ' is', ' 3', '.', '83', ' +', ' 4', '.', '17', ' =', ' 8', '.']","[-1.2757596, -1.2063643, -0.006667964, -0.0072222480000000006, -0.0026898950000000003, -0.0013534761, -0.034288578, -0.0001693634, -7.314978e-05, -7.1062755e-06, -4.3705230000000005e-05, -0.08820567, -1.3337379, -0.82362664, -0.0021654111, -0.722367, -0.118137375, -4.7041198e-05, -0.17721218, -0.001688669, -0.58070755, -0.5474895, -0.19347218, -0.0006312454, -4.361666e-06, -0.11063459, -0.02302196, -0.0006998363499999999, -0.0001345479, -0.87491906, -0.08570917, -0.00013311833, -0.004976752, -1.1398727e-05, -0.0016384568, -0.00012405471, -0.0007398585, -0.0033162583, -5.8487110000000005e-05, -0.30523318, -0.00044106436, -0.00017163117, -4.2777349999999996e-07, -0.0004210298, -0.0018262403000000001, -1.0920954000000002e-05, -4.9427246000000006e-05, -0.0005946267, -0.55774057, -0.013907643, -0.00046408200000000005, -0.025016982, -0.010144635, -0.0009907138000000001, -0.0130572, -6.909574000000001e-05, -2.0337510000000004e-05, -0.00014814144, -0.062356446, -0.0008940038, -0.08040049]",,8,1
368, The schools debate team had 5 boys and 40 girls on it. If they were split into groups of 9 how many groups could they make? ,5, There are originally 5 boys and 40 girls. That is 45 people in total. 45 people can be split into 9 groups of 9. So 45 / 9 = 5. The answer is 5.,"[' There', ' are', ' originally', ' 5', ' boys', ' and', ' 40', ' girls', '.', ' That', ' is', ' 45', ' people', ' in', ' total', '.', ' 45', ' people', ' can', ' be', ' split', ' into', ' 9', ' groups', ' of', ' 9', '.', ' So', ' 45', ' /', ' 9', ' =', ' 5', '.', ' The', ' answer', ' is', ' 5', '.']","[-1.4781808, -0.5794967999999999, -0.86955696, -0.43263745000000003, -0.018279638, -0.0038306980000000004, -0.00028877952999999996, -9.043785400000002e-05, -0.6525961, -0.5274607, -0.05312504, -0.5121572600000001, -0.21778047, -0.257303, -0.00040761274, -0.00024036579, -0.7291873, -0.35839909999999997, -0.59178436, -0.010743146, -0.047770813, -0.0053523527, -0.12166370500000001, -0.029102555000000002, -0.19502872000000002, -0.4502256, -0.6180308999999999, -0.694588, -0.74984556, -0.017574687000000002, -1.5567284e-05, -0.53923887, -0.0042326218, -0.08505473, -0.06711139, -0.0002733969, -0.00056760764, -0.0015149398000000001, -0.012052541]",,5,1
369, At a company picnic 23 managers and 7 employees decided to start a game of volleyball. If they split into 6 teams how many people would be on each team? ,5, 23 + 7 = 30. 30 / 6 = 5. The answer is 5.,"[' 23', ' +', ' 7', ' =', ' 30', '.', ' 30', ' /', ' 6', ' =', ' 5', '.', ' The', ' answer', ' is', ' 5', '.']","[-1.0405811, -0.53917706, -0.00013287991, -0.057020817, -0.0001991712, -0.49485618000000003, -0.11146048, -0.15887256, -4.8949474e-05, -0.07101241, -0.001084869, -0.0035893575000000002, -0.57253665, -0.0003348673, -0.0013131291000000002, -0.0016191732, -0.04021884]",,5,1
370," For a birthday party Cody bought 4 regular sodas and 44 diet sodas. If his fridge would only hold 6 on each shelf, how many shelves would he fill up? ",8, Cody bought 4 regular sodas and 44 diet sodas. 6 on each shelf means that he would need 4 + 44 / 6 = 8 shelves. The answer is 8.,"[' Cody', ' bought', ' 4', ' regular', ' sod', 'as', ' and', ' 44', ' diet', ' sod', 'as', '.', ' 6', ' on', ' each', ' shelf', ' means', ' that', ' he', ' would', ' need', ' 4', ' +', ' 44', ' /', ' 6', ' =', ' 8', ' shelves', '.', ' The', ' answer', ' is', ' 8', '.']","[-1.3674971999999999, -0.43131205, -0.31292739999999997, -0.22208306, -0.05015446, -5.460492e-07, -0.040391043, -3.249586e-05, -4.4818075000000005e-06, -0.00012739444, 0.0, -0.13220684, -1.4200226, -0.08231287, -0.00063112524, -0.0012227726, -0.77474463, -0.19275256000000002, -0.45373759999999996, -0.8020729, -0.07476881, -0.7179061, -0.21542586, -0.0029467423, -0.43648332, -0.0011210886, -0.20366056, -0.8926523, -0.19571075000000002, -0.47105804, -0.18580526, -0.0005045725000000001, -0.00042424936, -4.382537000000001e-05, -0.044830423]",,8,1
371," Robin's class is going on a field trip to the zoo. If each van can hold 8 people and there are 22 students and 2 adults going, how many vans will they need? ",3, 22 students + 2 adults = 24 people. 24 people / 8 people per van = 3 vans. The answer is 3 vans.,"[' 22', ' students', ' +', ' 2', ' adults', ' =', ' 24', ' people', '.', ' 24', ' people', ' /', ' 8', ' people', ' per', ' van', ' =', ' 3', ' vans', '.', ' The', ' answer', ' is', ' 3', ' vans', '.']","[-1.6001314999999998, -0.0058388202, -0.31466478000000003, -5.0500123000000004e-05, -0.00013180608, -0.017571775, -0.00017770988, -0.019927416, -0.41679928, -0.68256885, -0.013875068, -0.1380604, -4.430127e-05, -0.014513489000000001, -0.0038563665, -9.0198504e-05, -0.03449419, -0.012306916000000001, -0.0009717437000000001, -0.051086187000000005, -0.07803473600000001, -0.00043593463, -0.00010534082, -0.00063846173, -0.63391757, -0.0020430225]",,3,1
372," Ned was helping the cafeteria workers pick up lunch trays, but he could only carry 5 trays at a time. If he had to pick up 5 trays from one table and 5 trays from another, how many trips will he make? ",2," Ned can carry 5 trays at a time. If he has to pick up 5 trays from one table and 5 trays from another, he will have to make 2 trips. The answer is 2.","[' Ned', ' can', ' carry', ' 5', ' tr', 'ays', ' at', ' a', ' time', '.', ' If', ' he', ' has', ' to', ' pick', ' up', ' 5', ' tr', 'ays', ' from', ' one', ' table', ' and', ' 5', ' tr', 'ays', ' from', ' another', ',', ' he', ' will', ' have', ' to', ' make', ' 2', ' trips', '.', ' The', ' answer', ' is', ' 2', '.']","[-0.20814474, -0.6647181999999999, -0.5833611, -0.006156984000000001, -0.009176045, 0.0, -0.2813468, -0.04512295, -5.1215375e-05, -0.08129087, -0.47546336, -0.38436598, -0.20567797000000002, -0.005831266000000001, -0.012999894000000001, -0.005180383, -0.33624572, -0.52494866, 0.0, -0.0058088440000000005, -0.030131606000000002, -1.855031e-05, -0.047557328, -0.037876077, -0.17189462, 0.0, -0.00071832864, -0.0021614116, -0.10462546, -0.867528, -0.10385008, -0.42781863000000003, -0.0008021343, -0.007957532, -0.051305458000000005, -0.0007159426499999999, -0.06868993500000001, -0.06045175, -2.6298881e-05, -2.8087945000000002e-05, -2.9996223000000002e-05, -0.0024347324]",,2,1
373," There school's baseball team had 2 new players and 6 returning players. If the coach put them into groups with 4 players in each group, how many groups would there be? ",2," There are 2 new players and 6 returning players. In total, that is 8 players. The coach wants to put them into groups with 4 players in each group. So 8 / 4 = 2. The answer is 2.","[' There', ' are', ' 2', ' new', ' players', ' and', ' 6', ' returning', ' players', '.', ' In', ' total', ',', ' that', ' is', ' 8', ' players', '.', ' The', ' coach', ' wants', ' to', ' put', ' them', ' into', ' groups', ' with', ' 4', ' players', ' in', ' each', ' group', '.', ' So', ' 8', ' /', ' 4', ' =', ' 2', '.', ' The', ' answer', ' is', ' 2', '.']","[-0.519022, -0.4591229, -0.44110253, -0.04051431, -0.00046324843, -0.0037338908, -6.444660500000001e-05, -0.0038034136, -0.0015758311, -0.7792509999999999, -1.0914153, -0.0033681686, -0.054980595, -0.15307212, -0.009541789, -0.15445851, -0.006750652, -0.00016113800000000001, -0.8853287999999999, -0.00018176392999999998, -1.1244944, -0.08727386000000001, -0.33530194, -0.10884568, -0.009287456000000001, -0.0037034990000000003, -0.15079826, -4.406191e-05, -0.0057965536000000005, -0.38818702, -0.00021383667999999998, -0.031648837, -0.005571101, -0.4897376, -0.35208052, -0.5249049, -3.965026e-05, -0.20155807, -5.6460554e-05, -0.09714361, -0.27612263, -0.00014074863, -0.00018116973999999998, -0.0015845473, -0.04247458]",,2,1
374, For homework Amy had 18 math problems and 6 spelling problems. If she can finish 4 problems in an hour how long will it take her to finish all the problems? ,6," Amy had 18 math problems and 6 spelling problems. In an hour, she can finish 4 problems. So it will take her 18/4 + 6/4 = 9/2 + 3/2 = 12/2 = 6 hours to finish all the problems.","[' Amy', ' had', ' 18', ' math', ' problems', ' and', ' 6', ' spelling', ' problems', '.', ' In', ' an', ' hour', ',', ' she', ' can', ' finish', ' 4', ' problems', '.', ' So', ' it', ' will', ' take', ' her', ' 18', '/', '4', ' +', ' 6', '/', '4', ' =', ' 9', '/', '2', ' +', ' 3', '/', '2', ' =', ' 12', '/', '2', ' =', ' 6', ' hours', ' to', ' finish', ' all', ' the', ' problems', '.']","[-0.772551, -0.7860421, -0.07368364, -0.004069342, -0.012310598, -0.0073154890000000005, -0.00024060513999999997, -1.9741461e-05, -0.006089218, -0.31422833, -1.2020329, -0.5561039999999999, -1.2112103000000002e-05, -0.41235000000000005, -1.4139594000000001e-05, -0.03932492, -0.38827035, -0.01981402, -0.001251959, -0.0047313035, -0.21093622, -0.06326596, -0.24613686, -0.0010312861, -0.16254556, -0.5808534, -0.036012094, 0.0, -0.53249514, -7.1958624e-05, -2.5744682e-06, 0.0, -0.19653268000000002, -0.19104807000000001, -0.13684654000000002, -0.00013836258, -0.0045102225, -0.015374673, -4.1232483e-06, -0.011304096000000001, -0.019508623000000003, -0.8173944999999999, -6.031526e-06, -0.00017616015999999998, -0.30610463, -0.0026898950000000003, -0.0007038932, -0.008388459000000001, -0.0015860999, -0.07722831000000001, -0.10060403500000001, -0.002497591, -0.011077884000000001]",,6,1
375," Maria was making baggies of cookies with 3 cookies in each bag. If she had 2 chocolate chip cookies and 16 oatmeal cookies, how many baggies could she make? ",6," Maria had 2 chocolate chip cookies and 16 oatmeal cookies. In each bag, she needed 3 cookies. So she could make 2 + 16 = 18 baggies of cookies. The answer is 18.","[' Maria', ' had', ' 2', ' chocolate', ' chip', ' cookies', ' and', ' 16', ' o', 'atmeal', ' cookies', '.', ' In', ' each', ' bag', ',', ' she', ' needed', ' 3', ' cookies', '.', ' So', ' she', ' could', ' make', ' 2', ' +', ' 16', ' =', ' 18', ' bag', 'g', 'ies', ' of', ' cookies', '.', ' The', ' answer', ' is', ' 18', '.']","[-0.44384018000000003, -1.3741378, -0.37107706, -0.00012524866999999998, -0.0014086263, -0.010551454, -0.0065411245, -3.0353855e-05, -0.00013156953999999998, -5.3162735e-06, -6.242005500000001e-05, -0.11390771000000001, -1.0813668, -0.85014915, -3.0353855e-05, -0.6393593, -0.18361494, -1.4024898000000001, -9.723462400000001e-05, -5.3363005000000004e-05, -0.0014896883, -0.10077068, -0.22479916, -0.036087852000000004, -0.03311525, -0.15590827000000002, -0.69622076, -7.803827600000001e-05, -0.54476154, -9.317965e-05, -0.48998356, -6.194322e-05, -4.721162999999999e-06, -0.8197591, -0.00029736536, -0.11342234, -0.5505688, -0.00012882492999999998, -0.00016400087999999998, -6.826223000000001e-05, -0.004881393]",,18,0
376, Sarah's old washing machine could only wash 5 pieces of clothing at a time. If she had to wash 43 shirts and 2 sweaters how many loads would she have to do? ,9," Sarah's old washing machine could only wash 5 pieces of clothing at a time. If she had to wash 43 shirts and 2 sweaters, she would have to do 43/5 + 2/5 = 9 + 0.4 = 9.4 loads.","[' Sarah', ""'s"", ' old', ' washing', ' machine', ' could', ' only', ' wash', ' 5', ' pieces', ' of', ' clothing', ' at', ' a', ' time', '.', ' If', ' she', ' had', ' to', ' wash', ' 43', ' shirts', ' and', ' 2', ' swe', 'aters', ',', ' she', ' would', ' have', ' to', ' do', ' 43', '/', '5', ' +', ' 2', '/', '5', ' =', ' 9', ' +', ' 0', '.', '4', ' =', ' 9', '.', '4', ' loads', '.']","[-0.38683808000000003, -0.7279726999999999, -0.22680241, -0.0072255502, -5.896488e-05, -0.23780335, -0.14492639999999998, -0.055659477000000006, -0.0003434522, -0.009758324, -0.12632558, -0.0006548055, -0.06336305, -0.03627616, -7.958892000000001e-05, -0.025185246, -1.0746942, -0.02182381, -0.031417612000000004, -0.052209117000000006, -0.00029521772999999997, -0.00039568717999999997, -0.00020716004999999998, -0.15223517, -2.0575926000000002e-05, -3.0353855e-05, 0.0, -0.5293812999999999, -0.107717805, -0.013681809000000001, -0.058951005, -0.007828618, -0.39658117, -0.045791194, -0.8433083, -0.00020250904999999999, -0.04744345, -0.00029891507999999997, -0.00010021203, -3.0513029999999998e-06, -0.17556044, -0.197647, -0.5606711999999999, -0.11864409000000001, -0.0071623335000000005, -1.0323977e-05, -0.008393569, -0.0014506498, -1.4854846000000001e-05, -1.1430257999999999e-06, -0.49220535, -0.08272449999999999]",,9.4,0
377," A pet shelter had 3 puppies when another 3 were brought in. If 3 puppies a day are adopted, how long would it take for all of them to be adopted? ",2," There are originally 3 puppies. Another 3 are brought in. So in total there are 3 + 3 = 6 puppies. If 3 puppies are adopted each day, then it will take 6 / 3 = 2 days for all of them to be adopted. The answer is 2.","[' There', ' are', ' originally', ' 3', ' puppies', '.', ' Another', ' 3', ' are', ' brought', ' in', '.', ' So', ' in', ' total', ' there', ' are', ' 3', ' +', ' 3', ' =', ' 6', ' puppies', '.', ' If', ' 3', ' puppies', ' are', ' adopted', ' each', ' day', ',', ' then', ' it', ' will', ' take', ' 6', ' /', ' 3', ' =', ' 2', ' days', ' for', ' all', ' of', ' them', ' to', ' be', ' adopted', '.', ' The', ' answer', ' is', ' 2', '.']","[-1.2965174, -0.34338355, -0.6224527999999999, -2.7728449e-05, -0.00042198348, -0.09231407, -0.6571587, -7.937927e-06, -0.56327075, -0.00017747053, -0.009971716, -0.55611223, -0.09084762, -0.8395977, -0.00012310104, -0.31297955, -0.00024787874999999997, -0.122613914, -0.00081597466, -9.055464e-07, -0.00030928716, -2.4866502000000002e-05, -0.039462686000000004, -0.009113908, -0.5919262, -0.025266236, -0.42220172, -0.21955463, -0.00035740711999999997, -0.08026272, -6.5092986e-06, -4.775551000000001e-05, -0.32657608, -0.017899094, -0.44156533000000003, -0.0009163765399999999, -0.10508757, -0.021112707, -3.170517e-06, -0.38288206, -1.6760310000000004e-05, -2.8921473000000004e-05, -0.22882189, -0.16178149, -0.030109618, -0.0027935368, -0.00025777495, -0.0022614080000000003, -0.0007642549499999999, -0.00047988511999999994, -0.11257207400000001, -0.00014229833, -7.2245509999999995e-06, -2.5105857000000002e-05, -0.036957692]",,2,1
378," While playing at the arcade, Luke won 2 tickets playing 'whack a mole' and 13 tickets playing 'skee ball'. If he was trying to buy candy that cost 3 tickets a piece, how many could he buy? ",5, Luke won 2 tickets playing 'whack a mole' and 13 tickets playing 'skee ball'. So he had 2 + 13 = 15 tickets. He could buy 15 / 3 = 5 pieces of candy.,"[' Luke', ' won', ' 2', ' tickets', ' playing', "" '"", 'wh', 'ack', ' a', ' mole', ""'"", ' and', ' 13', ' tickets', ' playing', "" '"", 's', 'kee', ' ball', ""'."", ' So', ' he', ' had', ' 2', ' +', ' 13', ' =', ' 15', ' tickets', '.', ' He', ' could', ' buy', ' 15', ' /', ' 3', ' =', ' 5', ' pieces', ' of', ' candy', '.']","[-0.6075098999999999, -0.4394633, -0.28053898, -0.12945661, -0.1501488, -0.0140405, -0.00028496296999999996, -1.1278585e-05, -0.0016141589, -5.20489e-05, -0.12914307, -0.0006249226000000001, -0.0001614947, -0.15737076, -1.2231317e-05, -0.0007720111, -2.4390605000000004e-05, -0.00017508729, -4.5967376000000004e-05, -0.011481826, -1.0339315, -0.34154776000000003, -0.5028589, -0.05685992, -0.007723675, -6.3014224e-05, -0.005582489, -9.966347e-06, -0.011400977000000001, -0.49733192, -1.1784495, -0.40247968, -0.16069877, -0.44944188, -0.0745739, -2.9636725000000002e-05, -0.026050162, -0.0004403491, -0.055590230000000004, -0.0016059786, -1.3823811999999999e-06, -0.015402271]",,5,1
379, A group of 3 friends went into a restaurant. The chef already had 8 chicken wings cooked but cooked 10 more for the group. If they each got the same amount how many would each person get? ,6," The chef started with 8 chicken wings. He cooked 10 more for the group. So there are 8 + 10 = 18 chicken wings. If they are divided equally among the 3 friends, then each person would get 18 / 3 = 6 chicken wings. The answer is 6.","[' The', ' chef', ' started', ' with', ' 8', ' chicken', ' wings', '.', ' He', ' cooked', ' 10', ' more', ' for', ' the', ' group', '.', ' So', ' there', ' are', ' 8', ' +', ' 10', ' =', ' 18', ' chicken', ' wings', '.', ' If', ' they', ' are', ' divided', ' equally', ' among', ' the', ' 3', ' friends', ',', ' then', ' each', ' person', ' would', ' get', ' 18', ' /', ' 3', ' =', ' 6', ' chicken', ' wings', '.', ' The', ' answer', ' is', ' 6', '.']","[-0.6636582999999999, -0.13876602, -0.9587939, -0.0021304690000000003, -1.2468796e-05, -0.15973489, -8.006670000000001e-05, -0.15293194000000002, -0.69663143, -0.060212053, -2.6298881e-05, -0.0002574192, -0.80916286, -0.005411859000000001, -0.0020602853, -0.38236088, -0.23037925, -0.66093385, -0.05399567, -0.014486941500000001, -0.00055591954, -2.3360508e-06, -0.0007562032599999999, -1.3306066e-05, -0.028488178000000003, -6.444660500000001e-05, -0.32193133, -0.78350073, -0.6564371999999999, -0.5458085, -1.3108976, -0.55132085, -0.24599873, -0.67574763, -0.019096201, -0.09990513000000001, -0.00012691664999999998, -0.28007162, -0.017187499999999998, -0.65038127, -0.14839934, -0.01035811, -0.028060699, -0.011661397, -1.0920954000000002e-05, -0.028903695, -6.671344500000001e-05, -0.06698409500000001, -6.146545e-05, -0.017743338, -0.63341534, -0.00011523514999999999, -2.7371756000000004e-05, -9.520714000000001e-05, -0.015548884]",,6,1
380, Nancy's old washing machine could only wash 9 pieces of clothing at a time. If she had to wash 19 shirts and 8 sweaters how many loads would she have to do? ,3, Nancy's old washing machine could only wash 9 pieces of clothing at a time. So she would have to do 19 shirts / 9 = 2 loads for the shirts. And she would have to do 8 sweaters / 9 = 1 load for the sweaters. So she would have to do 2 + 1 = 3 loads in total.,"[' Nancy', ""'s"", ' old', ' washing', ' machine', ' could', ' only', ' wash', ' 9', ' pieces', ' of', ' clothing', ' at', ' a', ' time', '.', ' So', ' she', ' would', ' have', ' to', ' do', ' 19', ' shirts', ' /', ' 9', ' =', ' 2', ' loads', ' for', ' the', ' shirts', '.', ' And', ' she', ' would', ' have', ' to', ' do', ' 8', ' swe', 'aters', ' /', ' 9', ' =', ' 1', ' load', ' for', ' the', ' swe', 'aters', '.', ' So', ' she', ' would', ' have', ' to', ' do', ' 2', ' +', ' 1', ' =', ' 3', ' loads', ' in', ' total', '.']","[-0.23817502000000002, -0.44726992, -0.24539211, -0.0050366553, -3.4523340000000005e-05, -0.18789242, -0.09362303, -0.024285227000000003, -0.000106533844, -0.0027501439, -0.06616475000000001, -0.00033272153999999997, -0.06230893, -0.024954222, -2.2159092999999997e-06, -0.024707247, -1.0903765, -0.35886702, -0.12091462, -0.16617483, -0.021819428000000002, -0.6177891, -0.6270363999999999, -0.14962927, -0.5749698, -0.0001033124, -0.31736383, -0.001738285, -0.5437521, -0.12830909000000001, -0.08995039, -0.00015815685, -0.47873548, -0.1173989, -0.22695182, -0.0019649626, -0.002220249, -0.007155009, -0.012574393000000001, -1.4854846000000001e-05, -0.0011773007, -6.827631999999999e-08, -0.00018033247, -0.00036062480000000004, -0.00022134776999999998, -0.054747112, -0.038534977000000005, -0.0016358305, -0.0030660718, -0.0003095256, 0.0, -0.00022588051999999998, -0.25303423, -0.36219206, -0.0041003440000000006, -0.025911113000000003, -0.029105194, -0.09976801, -0.42860919999999997, -0.016463326, -2.1291178e-05, -0.004217538, -0.0009408968599999999, -0.04148691, -0.29188153, -0.00045799952999999995, -0.0010553306000000001]",,3,1
381," Paul had saved up 3 dollars. If he received another 7 dollars for his allowance, how many 5 dollar toys could he buy? ",2," Paul had 3 dollars. If he received another 7 dollars, then he would have 3 + 7 = 10 dollars. 10 dollars can buy 2 5 dollar toys. The answer is 2.","[' Paul', ' had', ' 3', ' dollars', '.', ' If', ' he', ' received', ' another', ' 7', ' dollars', ',', ' then', ' he', ' would', ' have', ' 3', ' +', ' 7', ' =', ' 10', ' dollars', '.', ' 10', ' dollars', ' can', ' buy', ' 2', ' 5', ' dollar', ' toys', '.', ' The', ' answer', ' is', ' 2', '.']","[-0.5067756999999999, -0.5085312, -0.4631787, -0.0023746232000000003, -0.6517995999999999, -1.3944458, -0.0025116312, -0.6733277400000001, -0.20691971, -2.2365928000000002e-05, -0.010982603, -0.5496120999999999, -0.9048741, -0.2410486, -0.2378002, -0.00027053498, -0.06648874, -0.005510384, -3.869565e-05, -0.012744257, -1.9028084e-05, -0.035525057, -0.031865027000000004, -0.5921295, -0.47401625000000003, -0.1266475, -0.002313505, -0.03863385, -0.22241437, -0.06275829000000001, -8.316518500000001e-05, -0.034840863, -0.1523878, -0.00016948354, -3.6195077e-05, -3.1901687000000004e-05, -0.0032960456000000003]",,2,1
