,question,answer,response,mapping,response_answer,equations,
174,Jake has c0 fewer peaches than Steven who has c1 more peaches than Jill. Steven has c2 peaches.How many more peaches does Jake have than Jill?,5,"Jill has c2 - c1 peaches. Steven has c2 peaches, so Jake has c2 - c1 - c0 peaches. 
peaches_difference = c2 - c1 - c0
The answer is peaches_difference.","{'c0': 3.0, 'c1': 8.0, 'c2': 5.0}",-6,"['peaches_difference =  c2 - c1 - c0', 'answer = peaches_difference']",0
175,Josh had c0 marbles in his collection. He gave c1 marbles to Jack.How many marbles does Josh have now?,18,"Josh started with c0 marbles. After giving c1 marbles to Jack, he has c0 - c1 marbles left. 
marbles_left = c0 - c1
The answer is marbles_left.","{'c0': 20.0, 'c1': 2.0}",18,"['marbles_left =  c0 - c1', 'answer = marbles_left']",1
176,Steven has c0 peaches. Jake has c1 fewer peaches than Steven who has c2 more peaches than Jill.How many peaches does Jake have?,8,"Steven has c0 peaches. Jill has c2 fewer peaches than Steven, so Jill has c0 - c2 peaches. Jake has c1 fewer peaches than Steven, so Jake has c0 - c1 peaches. 
peaches_jake = c0 - c1
The answer is peaches_jake.","{'c0': 12.0, 'c1': 4.0, 'c2': 67.0}",8,"['peaches_jake =  c0 - c1', 'answer = peaches_jake']",1
177,The Razorback t-shirt shop makes $ c0 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of c1 t-shirts. If they sold c2 t-shirts during the Arkansas gameHow much money did they make from selling the t-shirts during the arkansas game?,8722,"The Razorback t-shirt shop makes c0 dollars off each t-shirt sold. They sold c2 t-shirts during the Arkansas game, so they made c0 * c2 dollars from those sales. 
money_made_arkansas_game = c0 * c2
The total number of t-shirts sold during both games is c1, so they must have sold c1 - c2 t-shirts during the Texas Tech game. 
tshirts_sold_texas_tech = c1 - c2
They make c0 dollars off each t-shirt sold, so they made c0 * tshirts_sold_texas_tech dollars from the Texas Tech game. 
money_made_texas_tech_game = c0 * tshirts_sold_texas_tech
The total money made from both games is the sum of the money made from each game. 
total_money_made = money_made_arkansas_game + money_made_texas_tech_game
The answer is money_made_arkansas_game.","{'c0': 98.0, 'c1': 163.0, 'c2': 89.0}",8722,"['money_made_arkansas_game =  c0 * c2', 'tshirts_sold_texas_tech =  c1 - c2', 'money_made_texas_tech_game =  c0 * tshirts_sold_texas_tech', 'total_money_made =  money_made_arkansas_game + money_made_texas_tech_game', 'answer = money_made_arkansas_game']",1
178,"Jack received c0 emails in the morning, c1 emails in the afternoon and c2 emails in the evening.How many emails did Jack receive in the day?",14,"Jack received c0 emails in the morning, c1 emails in the afternoon and c2 emails in the evening. So the total number of emails he received in the day is c0 + c1 + c2. 
total_emails = c0 + c1 + c2
The answer is total_emails.","{'c0': 6.0, 'c1': 3.0, 'c2': 5.0}",14,"['total_emails =  c0 + c1 + c2', 'answer = total_emails']",1
179,Jake has c0 fewer peaches than Steven. Steven has c1 more peaches than Jill. If Jill has c2 peachesHow many more peaches does Jake have than Jill?,13,"Jill has c2 peaches. Steven has c1 more than Jill, so he has c1 + c2 peaches. Jake has c0 fewer than Steven, so he has c1 + c2 - c0 peaches. 
peaches_difference = c1 + c2 - c0
The answer is peaches_difference.","{'c0': 5.0, 'c1': 18.0, 'c2': 87.0}",100,"['peaches_difference =  c1 + c2 - c0', 'answer = peaches_difference']",0
180,For the walls of the house he would use c0 large planks of wood. If each plank of wood needs c1 pieces of nails to be secured and in addition c2 nails are needed for some smaller planks.How many nails does John need for the house wall?,229,"John needs c0 large planks of wood. Each plank needs c1 nails. In addition, c2 nails are needed for some smaller planks. So the total number of nails needed is c0 * c1 + c2. 
total_nails = c0 * c1 + c2
The answer is total_nails.","{'c0': 13.0, 'c1': 17.0, 'c2': 8.0}",229,"['total_nails =  c0 * c1 + c2', 'answer = total_nails']",1
181,"A grocery store had c0 bottles of diet soda, c1 bottles of regular soda and c2 apples.How many more bottles of regular soda than diet soda did they have?",29,"The grocery store had c0 bottles of diet soda and c1 bottles of regular soda. To find out how many more bottles of regular soda than diet soda they had, we need to subtract c0 from c1. 
regular_soda_diff = c1 - c0
The answer is regular_soda_diff.","{'c0': 54.0, 'c1': 83.0, 'c2': 12.0}",29,"['regular_soda_diff =  c1 - c0', 'answer = regular_soda_diff']",1
182,Because of the decision Sofia asked the students to suggest specific types of food. If c0 students suggested adding bacon c1 suggested adding mashed potatoes to the menu and c2 suggested adding tomatoesHow many more students suggested mashed potatoes than those that suggested bacon?,61,"c0 students suggested adding bacon and c1 suggested adding mashed potatoes. So the difference is c1 - c0 students. 
students_diff = c1 - c0
The answer is students_diff.","{'c0': 269.0, 'c1': 330.0, 'c2': 76.0}",61,"['students_diff =  c1 - c0', 'answer = students_diff']",1
183,Brenda's mother made cookies for c0. If each of them had c1 cookiesHow many cookies did she prepare?,420,"Brenda's mother made c0 batches of cookies. Each batch had c1 cookies. So in total, she made c0 * c1 cookies. 
total_cookies = c0 * c1
The answer is total_cookies.","{'c0': 14.0, 'c1': 30.0}",420,"['total_cookies =  c0 * c1', 'answer = total_cookies']",1
184,Dave had c0 apps on his phone. He added c1 new apps. After deleting some he had c2 left.How many more apps did he delete than he added?,1,"Dave started with c0 apps. He added c1 new apps, so he had c0 + c1 apps. After deleting some, he had c2 apps left. So he deleted c0 + c1 - c2 apps.
apps_deleted = c0 + c1 - c2
To find how many more apps he deleted than he added, we need to subtract c1 from apps_deleted.
more_apps_deleted = apps_deleted - c1
The answer is more_apps_deleted.","{'c0': 15.0, 'c1': 71.0, 'c2': 14.0}",1,"['apps_deleted =  c0 + c1 - c2', 'more_apps_deleted =  apps_deleted - c1', 'answer = more_apps_deleted']",1
185,Kelly has c0 nintendo games.How many will she have left if she gives away c1 games?,42,"Kelly started with c0 nintendo games. After giving away c1 games, she will have c0 - c1 games left. 
games_left = c0 - c1
The answer is games_left.","{'c0': 106.0, 'c1': 64.0}",42,"['games_left =  c0 - c1', 'answer = games_left']",1
186,Matthew had c0 crackers. If Matthew gave equal numbers of crackers to his c1 friends and still had c2 crackers leftHow many crackers did each friend eat?,1,"Matthew started with c0 crackers. After giving equal numbers to c1 friends, he had c2 crackers left. So he gave away c0 - c2 crackers in total. 
crackers_given = c0 - c2
Each friend received crackers_given / c1 crackers. 
crackers_per_friend = crackers_given / c1
The answer is crackers_per_friend.","{'c0': 15.0, 'c1': 5.0, 'c2': 10.0}",1,"['crackers_given =  c0 - c2', 'crackers_per_friend =  crackers_given / c1', 'answer = crackers_per_friend']",1
187,Last week Fred had c0 dollars and Jason had c1 dollars. They washed cars over the weekend and now Fred has c2 dollars and Jason has c3 dollars.How much money did Jason make over the weekend?,56,"Fred started with c0 dollars and now has c2 dollars. So he made c2 - c0 dollars. 
Fred_earned = c2 - c0
Jason started with c1 dollars and now has c3 dollars. So he made c3 - c1 dollars. 
Jason_earned = c3 - c1
The answer is Jason_earned.","{'c0': 114.0, 'c1': 22.0, 'c2': 21.0, 'c3': 78.0}",56,"['Fred_earned =  c2 - c0', 'Jason_earned =  c3 - c1', 'answer = Jason_earned']",1
188,Frank had c0 pieces of candy. If he put them equally into c1 bagsHow many pieces of candy are in each bag?,21,"Frank had c0 pieces of candy. He put them equally into c1 bags. So each bag has c0/c1 pieces of candy. 
candy_per_bag = c0/c1
The answer is candy_per_bag.","{'c0': 42.0, 'c1': 2.0}",21,"['candy_per_bag =  c0/c1', 'answer = candy_per_bag']",1
189,Jack received c0 emails in the morning and c1 emails in the afternoon.How many more emails did Jack receive in the morning than in the afternoon?,4,"Jack received c0 emails in the morning and c1 emails in the afternoon. To find out how many more emails he received in the morning than in the afternoon, we need to subtract c1 from c0. 
morning_emails = c0
afternoon_emails = c1
more_emails_in_morning = morning_emails - afternoon_emails
The answer is more_emails_in_morning.","{'c0': 6.0, 'c1': 2.0}",4,"['morning_emails =  c0', 'afternoon_emails =  c1', 'more_emails_in_morning =  morning_emails - afternoon_emails', 'answer = more_emails_in_morning']",1
190,Baker made c0 cakes and c1 pastries. If he sold c2 pastries and c3 cakesHow many more pastries than cakes did baker sell?,76,"Baker made c0 cakes and c1 pastries. He sold c2 pastries and c3 cakes. So he sold c2 - c1 pastries and c3 - c0 cakes. 
pastries_sold = c2 - c1
cakes_sold = c3 - c0
To find out how many more pastries than cakes he sold, we need to subtract cakes_sold from pastries_sold. 
more_pastries = pastries_sold - cakes_sold
The answer is more_pastries.","{'c0': 43.0, 'c1': 114.0, 'c2': 154.0, 'c3': 78.0}",5,"['pastries_sold =  c2 - c1', 'cakes_sold =  c3 - c0', 'more_pastries =  pastries_sold - cakes_sold', 'answer = more_pastries']",0
191,Haley has c0 marbles. In her class c1 boys love to play marbles. If she distributes her marbles equallyHow many will each of the boys receive?,10,"Haley has c0 marbles. There are c1 boys in her class. If she distributes her marbles equally, each boy will receive c0/c1 marbles. 
marbles_per_boy = c0/c1
The answer is marbles_per_boy.","{'c0': 20.0, 'c1': 2.0}",10,"['marbles_per_boy =  c0/c1', 'answer = marbles_per_boy']",1
192,They decided to hold the party in their backyard. They have c0 sets of tables and each set has c1 chairs. If a total of c2 people will attend the partyHow many more chairs will they have to buy?,2,"Each set of tables has c1 chairs, so c0 sets of tables will have c0 * c1 chairs. 
total_chairs = c0 * c1
If c2 people will attend the party, and each person needs one chair, then they need c2 chairs in total. 
chairs_needed = c2
They already have total_chairs chairs, so they need chairs_needed - total_chairs more chairs. 
additional_chairs_needed = chairs_needed - total_chairs
The answer is additional_chairs_needed.","{'c0': 4.0, 'c1': 3.0, 'c2': 14.0}",2,"['total_chairs =  c0 * c1', 'chairs_needed =  c2', 'additional_chairs_needed =  chairs_needed - total_chairs', 'answer = additional_chairs_needed']",1
193,Last week Fred had c0 dollars and Jason had c1 dollars. They washed cars over the weekend and now Fred has c2 dollars and Jason has c3 dollars.How much money did Fred earn over the weekend?,21,"Fred started with c0 dollars and now has c2 dollars. So he earned c2 - c0 dollars. 
fred_earned = c2 - c0
The answer is fred_earned.","{'c0': 19.0, 'c1': 16.0, 'c2': 40.0, 'c3': 69.0}",21,"['fred_earned =  c2 - c0', 'answer = fred_earned']",1
194,Paco had c0 cookies. He ate c1 of them. Then he bought c2 more cookiesHow many more cookies did he eat than those he bought?,2,"Paco started with c0 cookies. After eating c1, he had c0 - c1 cookies left. 
cookies_left = c0 - c1
Then he bought c2 more cookies, so he had cookies_left + c2 cookies in total. 
total_cookies = cookies_left + c2
He ate cookies_left - (cookies_left + c2) = -c2 cookies less than he bought. 
cookies_difference = -c2
The answer is cookies_difference.","{'c0': 25.0, 'c1': 5.0, 'c2': 3.0}",23,"['cookies_left =  c0 - c1', 'total_cookies =  cookies_left + c2', 'c2) =  -c2 cookies less than he bought. ', 'cookies_difference =  -c2', 'answer = cookies_difference']",0
195,Rachel has c0 apple trees. She picked c1 apples from each of her trees. Now the trees have a total c2 apples still on them.How many apples did Rachel pick in all?,28,"Rachel had c0 apple trees. She picked c1 apples from each tree, so she picked c0 * c1 apples in total. 
apples_picked = c0 * c1
The trees still have c2 apples on them, so the total number of apples is apples_picked + c2. 
total_apples = apples_picked + c2
The answer is total_apples.","{'c0': 4.0, 'c1': 7.0, 'c2': 29.0}",57,"['apples_picked =  c0 * c1', 'total_apples =  apples_picked + c2', 'answer = total_apples']",0
196,Jake has c0 fewer peaches and c1 more apples than Steven. Steven has c2 apples and c3 peaches.How many more peaches than apples does Steven have?,7,"Jake has c0 fewer peaches and c1 more apples than Steven. So Steven has c0 + c1 fewer apples and c0 + c1 more peaches than Jake. 
Steven has c2 apples and c3 peaches. So he has c3 - c2 more peaches than apples. 
peaches_over_apples = c3 - c2
The answer is peaches_over_apples.","{'c0': 8.0, 'c1': 10.0, 'c2': 11.0, 'c3': 18.0}",7,"['peaches_over_apples =  c3 - c2', 'answer = peaches_over_apples']",1
197,A grocery store had a total of c0 bottles of which c1 were bottles of regular soda and the rest were bottles of diet soda.How many bottles of diet soda did they have?,2,"The grocery store had c0 bottles in total. c1 of them were regular soda bottles. So the rest, which is c0 - c1, must be diet soda bottles. 
diet_soda_bottles = c0 - c1
The answer is diet_soda_bottles.","{'c0': 30.0, 'c1': 28.0}",2,"['diet_soda_bottles =  c0 - c1', 'answer = diet_soda_bottles']",1
198,The Ferris wheel in paradise park has c0 small seats and c1 large seats. Each small seat can hold c2 people and large seat can hold c3 people.How many people can ride the Ferris wheel on small seats?,28,"Each small seat can hold c2 people, so the total number of people that can ride on small seats is c0 * c2. 
small_seat_capacity = c0 * c2
The answer is small_seat_capacity.","{'c0': 2.0, 'c1': 23.0, 'c2': 14.0, 'c3': 54.0}",28,"['small_seat_capacity =  c0 * c2', 'answer = small_seat_capacity']",1
199,Debby bought c0 soda bottles and c1 water bottles when they were on sale. If she drank c2 water bottles and c3 soda bottles a dayHow many days would the soda bottles last?,40,"Debby bought c0 soda bottles and c1 water bottles. If she drank c2 water bottles and c3 soda bottles a day, the soda bottles would last for c0/c3 days. 
soda_days = c0/c3
The answer is soda_days.","{'c0': 360.0, 'c1': 162.0, 'c2': 122.0, 'c3': 9.0}",40,"['soda_days =  c0/c3', 'answer = soda_days']",1
200,A grocery store had c0 bottles of diet soda. If they had c1 more bottles of regular soda than diet sodaHow many bottles of regular soda did they have?,83,"The grocery store had c0 bottles of diet soda. They had c1 more bottles of regular soda than diet soda. So the number of regular soda bottles is c0 + c1. 
regular_soda_bottles = c0 + c1
The answer is regular_soda_bottles.","{'c0': 4.0, 'c1': 79.0}",83,"['regular_soda_bottles =  c0 + c1', 'answer = regular_soda_bottles']",1
201,During the Arkansas and Texas tech game the Razorback t-shirt shop made $ c0 by selling t-shirts. If they make $ c1 dollars off each t-shirt soldHow many t-shirts did they sell?,6,"The Razorback t-shirt shop made c0 dollars by selling t-shirts. They make c1 dollars off each t-shirt sold. So the number of t-shirts sold is c0/c1. 
number_of_tshirts = c0/c1
The answer is number_of_tshirts.","{'c0': 60.0, 'c1': 10.0}",6,"['number_of_tshirts =  c0/c1', 'answer = number_of_tshirts']",1
202,Frank was reading through his favorite book. He read c0 pages per day and it took him c1 days to finish the book.How many pages are there in the book?,12518,"Frank read c0 pages per day for c1 days. So he read a total of c0 * c1 pages. 
total_pages_read = c0 * c1
This means that the book has c0 * c1 pages. 
number_of_pages = c0 * c1
The answer is number_of_pages.","{'c0': 22.0, 'c1': 569.0}",12518,"['total_pages_read =  c0 * c1', 'number_of_pages =  c0 * c1', 'answer = number_of_pages']",1
203,Winter is almost here and most animals are migrating to warmer countries. c0 bird families flew away for the winter from near a mountain. If there were c1 bird families living near the mountain initiallyHow many more bird families flew away for the winter than those that stayed behind?,127,"c0 bird families flew away for the winter. There were c1 bird families living near the mountain initially. So c1 - c0 bird families stayed behind. 
bird_families_stayed = c1 - c0
The difference between the number of bird families that flew away and those that stayed behind is c0 - (c1 - c0) or 2c0 - c1. 
difference = 2*c0 - c1
The answer is difference.","{'c0': 86.0, 'c1': 45.0}",127,"['bird_families_stayed =  c1 - c0', 'difference =  2*c0 - c1', 'answer = difference']",1
204,Allan brought c0 balloons to the park and then bought c1 more balloons there. If Jake brought c2 balloons to the parkHow many more balloons did Jake have than Allan in the park?,1,"Allan brought c0 balloons and bought c1 more, so he had c0 + c1 balloons in the park. 
Allan_balloons = c0 + c1
Jake brought c2 balloons to the park. 
Jake_balloons = c2
To find out how many more balloons Jake had than Allan, we subtract Allan's balloons from Jake's balloons. 
balloons_difference = Jake_balloons - Allan_balloons
The answer is balloons_difference.","{'c0': 2.0, 'c1': 3.0, 'c2': 6.0}",1,"['Allan_balloons =  c0 + c1', 'Jake_balloons =  c2', 'balloons_difference =  Jake_balloons - Allan_balloons', 'answer = balloons_difference']",1
205,Bryan took a look at his books and magazines. If he has c0 books and c1 magazines in each of his c2 bookshelvesHow many magazines does he have in total?,460,"Bryan has c0 books and c1 magazines in each of his c2 bookshelves. So in total, he has c1 * c2 magazines. 
total_magazines = c1 * c2
The answer is total_magazines.","{'c0': 9.0, 'c1': 46.0, 'c2': 10.0}",460,"['total_magazines =  c1 * c2', 'answer = total_magazines']",1
206,"Rachel had to complete c0 pages of math homework, c1 pages of reading homework and c2 more pages of biology homework.How many pages of math and biology homework did she have to complete?",11,"Rachel had c0 pages of math homework and c2 more pages of biology homework, so she had to complete c0 + c2 pages of math and biology homework. 
math_and_biology = c0 + c2
The answer is math_and_biology.","{'c0': 8.0, 'c1': 7.0, 'c2': 3.0}",11,"['math_and_biology =  c0 + c2', 'answer = math_and_biology']",1
207,"Every day Ryan spends c0 hours on learning english, c1 hours on learning chinese and c2 hours on learning spanish.How many more hours does he spend on learning chinese than he does on learning spanish?",1,"Ryan spends c1 - c2 more hours on learning Chinese than he does on learning Spanish. 
hours_difference = c1 - c2
The answer is hours_difference.","{'c0': 2.0, 'c1': 5.0, 'c2': 4.0}",1,"['hours_difference =  c1 - c2', 'answer = hours_difference']",1
208,c0 birds were sitting on the fence. c1 more birds and c2 more storks came to join them.How many more birds than storks are sitting on the fence?,3,"There were originally c0 birds on the fence. c1 more birds and c2 more storks joined, so there are now c0 + c1 + c2 birds on the fence. 
total_birds = c0 + c1 + c2
If there are b birds and s storks, and we want to know how many more birds than storks there are, we can subtract s from b: 
more_birds = total_birds - c2
The answer is more_birds.","{'c0': 2.0, 'c1': 5.0, 'c2': 4.0}",7,"['total_birds =  c0 + c1 + c2', 'more_birds =  total_birds - c2', 'answer = more_birds']",0
209,Paco had c0 cookies. He gave c1 cookies to his friend and ate c2 cookies.How many more cookies did he give to his friend than those he ate?,7,"Paco started with c0 cookies. He gave c1 cookies to his friend and ate c2 cookies. So he gave his friend c1 cookies and ate c2 cookies. 
cookies_given = c1
cookies_ate = c2
The difference between cookies given and cookies ate is cookies_given - cookies_ate. 
difference = cookies_given - cookies_ate
The answer is difference.","{'c0': 6.0, 'c1': 30.0, 'c2': 23.0}",7,"['cookies_given =  c1', 'cookies_ate =  c2', 'difference =  cookies_given - cookies_ate', 'answer = difference']",1
210,Baker made c0 cakes. He sold c1 of them and bought c2 new cakes.How many more cakes did baker sell than those he bought?,47,"Baker started with c0 cakes. He sold c1 of them, so he had c0 - c1 cakes left. 
cakes_left = c0 - c1
Then he bought c2 new cakes, so he had cakes_left + c2 cakes. 
total_cakes = cakes_left + c2
He sold c1 cakes and bought c2 cakes, so he sold c1 - c2 more cakes than he bought. 
cakes_sold_more = c1 - c2
The answer is cakes_sold_more.","{'c0': 170.0, 'c1': 78.0, 'c2': 31.0}",47,"['cakes_left =  c0 - c1', 'total_cakes =  cakes_left + c2', 'cakes_sold_more =  c1 - c2', 'answer = cakes_sold_more']",1
211,Shirley sold c0 cases of boxes of trefoils.How many boxes of trefoils does she need to deliver if each case has c1 boxes?,350,"Shirley sold c0 cases of boxes of trefoils. Each case has c1 boxes. So the total number of boxes sold is c0 * c1. 
total_boxes_sold = c0 * c1
Therefore, Shirley needs to deliver total_boxes_sold boxes of trefoils. 
boxes_to_deliver = total_boxes_sold
The answer is boxes_to_deliver.","{'c0': 25.0, 'c1': 14.0}",350,"['total_boxes_sold =  c0 * c1', 'boxes_to_deliver =  total_boxes_sold', 'answer = boxes_to_deliver']",1
212,We ordered c0 pizzas. Each pizza has c1 slices. If there are c2 of usHow many slices of pizza are there altogether?,68,"We ordered c0 pizzas, and each pizza has c1 slices. So there are c0 * c1 slices in total. 
total_slices = c0 * c1
If there are c2 of us, and we want to share the pizza equally, each of us will get total_slices / c2 slices. 
slices_per_person = total_slices / c2
The answer is slices_per_person.","{'c0': 17.0, 'c1': 4.0, 'c2': 25.0}",2.72,"['total_slices =  c0 * c1', 'slices_per_person =  total_slices / c2', 'answer = slices_per_person']",0
213,There were c0 roses and c1 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now c2 roses and c3 orchids in the vase.How many orchids did she cut?,19,"There were originally c1 orchids in the vase. After cutting some more, there are now c3 orchids. So she must have cut c3 - c1 orchids. 
orchids_cut = c3 - c1
The answer is orchids_cut.","{'c0': 12.0, 'c1': 2.0, 'c2': 10.0, 'c3': 21.0}",19,"['orchids_cut =  c3 - c1', 'answer = orchids_cut']",1
214,White t - shirts can be purchased in packages. If mom buys c0 white t - shirts where each package has c1 white t - shirts.How many packages will she have?,22,"Mom bought c0 white t-shirts. Each package has c1 white t-shirts. So she bought c0/c1 packages. 
number_of_packages = c0/c1
The answer is number_of_packages.","{'c0': 66.0, 'c1': 3.0}",22,"['number_of_packages =  c0/c1', 'answer = number_of_packages']",1
215,Mary is baking a cake. The recipe calls for c0 cups of flour and c1 cups of sugar. She already put in c2 cups of flour and c3 cups of sugar.How many more cups of sugar does she need to add?,12,"The recipe calls for c0 cups of flour and c1 cups of sugar. Mary already put in c2 cups of flour and c3 cups of sugar. To find out how many more cups of sugar she needs to add, we subtract the amount of sugar she already added from the required amount of sugar. 
sugar_needed = c1 - c3
The answer is sugar_needed.","{'c0': 5.0, 'c1': 14.0, 'c2': 10.0, 'c3': 2.0}",12,"['sugar_needed =  c1 - c3', 'answer = sugar_needed']",1
216,Mom buys c0 white t - shirts. If white t - shirts can be purchased in packages of c1 How many packages will she have?,17,"Mom bought c0 white t-shirts. If they come in packages of c1, then she will have c0/c1 packages. 
packages = c0/c1
The answer is packages.","{'c0': 51.0, 'c1': 3.0}",17,"['packages =  c0/c1', 'answer = packages']",1
217,Adam could fit c0 action figures and c1 cabinets on each shelf in his room. His room has c2 shelves.How many total items could his shelves hold?,72,"Adam's room has c2 shelves. Each shelf can hold c0 action figures and c1 cabinets. So each shelf can hold c0 + c1 items. 
items_per_shelf = c0 + c1
The total number of items that can be held in all shelves is items_per_shelf * c2. 
total_items = items_per_shelf * c2
The answer is total_items.","{'c0': 8.0, 'c1': 10.0, 'c2': 4.0}",72,"['items_per_shelf =  c0 + c1', 'total_items =  items_per_shelf * c2', 'answer = total_items']",1
218,We ordered c0 pizzas. Each pizza has the same number of slices. If there were a total of c1 slicesHow many slices are there in each pizza?,2,"If there were c0 pizzas and a total of c1 slices, then each pizza must have c1/c0 slices. 
slices_per_pizza = c1/c0
The answer is slices_per_pizza.","{'c0': 7.0, 'c1': 14.0}",2,"['slices_per_pizza =  c1/c0', 'answer = slices_per_pizza']",1
219,Baker made c0 cakes. He sold c1 of them. Then he made c2 more cakes.How many more cakes did baker make than those he sold?,184,"Baker started with c0 cakes. He sold c1 of them, so he had c0 - c1 cakes left. 
cakes_left = c0 - c1
Then he made c2 more cakes, so he had cakes_left + c2 cakes in total. 
total_cakes = cakes_left + c2
He made c2 more cakes than he sold, which is equal to c2 - c1 cakes. 
cakes_made = c2 - c1
The answer is cakes_made.","{'c0': 144.0, 'c1': 71.0, 'c2': 111.0}",40,"['cakes_left =  c0 - c1', 'total_cakes =  cakes_left + c2', 'cakes_made =  c2 - c1', 'answer = cakes_made']",0
220,Mary is baking a cake. The recipe calls for c0 cups of flour c1 cups of sugar and c2 cups of salt. She already put in c3 cups of flour.How many more cups of flour does she need to add?,1,"The recipe calls for c0 cups of flour, and Mary has already put in c3 cups. So she needs to add c0 - c3 more cups of flour. 
flour_needed = c0 - c3
The answer is flour_needed.","{'c0': 12.0, 'c1': 5.0, 'c2': 49.0, 'c3': 11.0}",1,"['flour_needed =  c0 - c3', 'answer = flour_needed']",1
221,The Razorback t-shirt shop makes $ c0 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of c1 t-shirts. If they sold c2 t-shirts during the Arkansas gameHow much money did they make from selling the t-shirts during the Texas tech game?,1092,"The Razorback t-shirt shop makes c0 dollars off each t-shirt sold. During the Arkansas game, they sold c2 t-shirts, so they made c0 * c2 dollars. 
money_from_arkansas_game = c0 * c2
They sold a total of c1 t-shirts, so during the Texas tech game they sold c1 - c2 t-shirts. 
texas_tech_tshirts_sold = c1 - c2
They make c0 dollars off each t-shirt sold, so they made c0 * texas_tech_tshirts_sold dollars from selling t-shirts during the Texas tech game. 
money_from_texas_tech_game = c0 * texas_tech_tshirts_sold
The answer is money_from_texas_tech_game.","{'c0': 78.0, 'c1': 186.0, 'c2': 172.0}",1092,"['money_from_arkansas_game =  c0 * c2', 'texas_tech_tshirts_sold =  c1 - c2', 'money_from_texas_tech_game =  c0 * texas_tech_tshirts_sold', 'answer = money_from_texas_tech_game']",1
222,There are c0 different movies and c1 different books in the ' crazy silly school ' series. If you read c2 of the books and watched c3 of the moviesHow many more books do you still have to read?,15,"There are c1 different books in the series, and you have read c2 of them. So you still have c1 - c2 books left to read. 
books_left = c1 - c2
The answer is books_left.","{'c0': 62.0, 'c1': 19.0, 'c2': 4.0, 'c3': 34.0}",15,"['books_left =  c1 - c2', 'answer = books_left']",1
223,We ordered some pizzas. Each pizza has c0 slices. If there were a total of c1 slicesHow many pizzas did we order?,14,"If each pizza has c0 slices, then the total number of pizzas ordered is c1 divided by c0. 
pizzas_ordered = c1 / c0
The answer is pizzas_ordered.","{'c0': 2.0, 'c1': 28.0}",14,"['pizzas_ordered =  c1 / c0', 'answer = pizzas_ordered']",1
224,Rebecca wants to split a collection of eggs into groups of c0. Rebecca has c1 bananas c2 eggs and c3 marbles.How many groups will be created?,3,"Rebecca has c2 eggs and wants to split them into groups of c0. So the number of groups will be c2 divided by c0. 
egg_groups = c2 / c0
The answer is egg_groups.","{'c0': 3.0, 'c1': 99.0, 'c2': 9.0, 'c3': 27.0}",3,"['egg_groups =  c2 / c0', 'answer = egg_groups']",1
225,c0 children were riding on the bus. At the bus stop some children got off the bus. Then there were c1 children left on the bus.How many more children were on the bus before the bus stop than there are now?,23,"There were originally c0 children on the bus. After some got off, there were c1 left. So c0 - c1 children got off the bus. 
children_left = c0 - c1
The answer is children_left.","{'c0': 41.0, 'c1': 18.0}",23,"['children_left =  c0 - c1', 'answer = children_left']",1
226,In Haley's class some boys love to play marbles. Haley gives c0 marbles to each boy. If she had c1 marblesHow many boys did she give the marbles to?,14,"Haley had c1 marbles to give to the boys. Each boy received c0 marbles. So the number of boys she gave marbles to is c1/c0. 
number_of_boys = c1/c0
The answer is number_of_boys.","{'c0': 2.0, 'c1': 28.0}",14,"['number_of_boys =  c1/c0', 'answer = number_of_boys']",1
227,Matthew had c0 crackers and c1 cakes. If Matthew gave equal numbers of crackers and cakes to his c2 friendsHow many crackers and cakes did each person eat?,5,"Matthew had c0 crackers and c1 cakes. If he gave equal numbers of crackers and cakes to c2 friends, then each friend received c0/c2 crackers and c1/c2 cakes. 
crackers_per_person = c0/c2
cakes_per_person = c1/c2
The answer is crackers_per_person and cakes_per_person.","{'c0': 14.0, 'c1': 21.0, 'c2': 7.0}",3,"['crackers_per_person =  c0/c2', 'cakes_per_person =  c1/c2', 'answer = crackers_per_person and cakes_per_person']",0
228,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked c0 cookies yesterday c1 cookies this morning and c2 cookies the day before yesterday.How many cookies did Helen bake till last night?,450,"Helen baked c0 cookies yesterday, c1 cookies this morning, and c2 cookies the day before yesterday. So in total, she baked c0 + c1 + c2 cookies. 
total_cookies_baked = c0 + c1 + c2
The answer is total_cookies_baked.","{'c0': 31.0, 'c1': 270.0, 'c2': 419.0}",720,"['total_cookies_baked =  c0 + c1 + c2', 'answer = total_cookies_baked']",0
229,For the walls of the house he would use c0 nails in all to secure large planks of wood. If each plank of wood needs c1 pieces of nails to be securedHow many planks does John need for the house wall?,2,"For each plank of wood, c1 nails are needed. To secure all the planks, c0 nails are needed. So the number of planks needed is c0/c1. 
planks_needed = c0/c1
The answer is planks_needed.","{'c0': 4.0, 'c1': 2.0}",2,"['planks_needed =  c0/c1', 'answer = planks_needed']",1
