,question,answer,response,mapping,response_answer,equations,correct
138, For Halloween Robin scored c0 pieces of candy. She ate c1 pieces the first night and then her sister gave her c2 more pieces. How many pieces of candy does Robin have now? ,37,"Robin started with c0 pieces of candy. She ate c1 pieces, so she has c0 - c1 pieces left. Then her sister gave her c2 more pieces, so she now has c0 - c1 + c2 pieces of candy. 
The answer is c0 - c1 + c2.","{'c0': 23.0, 'c1': 7.0, 'c2': 21.0}",37,['answer = c0 - c1 + c2'],1
139," Rachel was playing a video game and had c0 lives. In a hard part of the game she lost c1 lives. If she got c2 more lives in the next level, how many lives would she have? ",32,"Rachel lost c1 lives, so her new number of lives would be c0 - c1. Then, if she gained c2 more lives, her total number of lives would be (c0 - c1) + c2. 
The answer is (c0 - c1) + c2.","{'c0': 10.0, 'c1': 4.0, 'c2': 26.0}",32,['answer = (c0 - c1) + c2'],1
140," A florist had c0 roses. If she sold c1 of them and then later picked c2 more, how many roses would she have? ",13,"The florist started with c0 roses, sold c1 of them, and then picked c2 more. So the total number of roses she would have is:
c0 - c1 + c2
The answer is c0 - c1 + c2.","{'c0': 6.0, 'c1': 5.0, 'c2': 12.0}",13,['answer = c0 - c1 + c2'],1
141, For Halloween Haley scored c0 pieces of candy. She ate c1 pieces the first night and then her sister gave her c2 more pieces. How many pieces of candy does Haley have now? ,35,"Haley started with c0 pieces of candy. She ate c1 pieces, so she had c0 - c1 pieces left. Then her sister gave her c2 more pieces, so she now has (c0 - c1) + c2 pieces of candy. 
The answer is (c0 - c1) + c2.","{'c0': 33.0, 'c1': 17.0, 'c2': 19.0}",35,['answer = (c0 - c1) + c2'],1
142," The school cafeteria had c0 apples. If they used c1 to make lunch for the students and then bought c2 more, how many apples would they have? ",50,"The cafeteria started with c0 apples, used c1 for lunch, and then bought c2 more. So the total number of apples they would have is:
c0 - c1 + c2
The answer is c0 - c1 + c2.","{'c0': 14.0, 'c1': 13.0, 'c2': 49.0}",50,['answer = c0 - c1 + c2'],1
143," Edward had c0 books. If he sold c1 of them and used the money he earned to buy c2 new books, how many books would Edward have? ",38,"Edward started with c0 books. He sold c1 of them, so he now has c0 - c1 books. He used the money he earned to buy c2 new books, so he now has c0 - c1 + c2 books. 
The answer is c0 - c1 + c2.","{'c0': 43.0, 'c1': 19.0, 'c2': 14.0}",38,['answer = c0 - c1 + c2'],1
144," A teacher had c0 worksheets to grade. If she graded c1, but then another c2 were turned in, how many worksheets would she have to grade? ",33,"The teacher originally had c0 worksheets to grade. She graded c1 of them, so she has c0 - c1 left to grade. Then, c2 more worksheets were turned in, so she now has to grade c0 - c1 + c2 worksheets. 
The answer is c0 - c1 + c2.","{'c0': 29.0, 'c1': 25.0, 'c2': 29.0}",33,['answer = c0 - c1 + c2'],1
145, In fourth grade there were c0 students at the start of the year. During the year c1 students left and c2 new students came to school. How many students were in fourth grade at the end? ,35,"At the start of the year, there were c0 students. Then c1 students left, so the number of students decreased by c1. After that, c2 new students came, so the number of students increased by c2. Therefore, the total number of students at the end of the year is:
c0 - c1 + c2
The answer is c0 - c1 + c2.","{'c0': 35.0, 'c1': 10.0, 'c2': 10.0}",35,['answer = c0 - c1 + c2'],1
146," For the school bake sale Carol made c0 cupcakes. If she sold c1 of them and then made c2 more, how many cupcakes would she have? ",40,"Carol started with c0 cupcakes. She sold c1 of them, so she had c0 - c1 cupcakes left. Then she made c2 more cupcakes, so she had c0 - c1 + c2 cupcakes in total. 
total cupcakes = c0 - c1 + c2
The answer is total cupcakes.","{'c0': 19.0, 'c1': 6.0, 'c2': 27.0}",40,"['cupcakes =  c0 - c1 + c2', 'answer = total cupcakes']",1
147, A store had c0 oranges in a bin. If they threw away c1 of the old ones and put c2 new ones in the bin how many would be in the bin? ,10,"The store started with c0 oranges. They threw away c1 of the old ones, so they were left with c0 - c1 oranges. Then they added c2 new ones, so the total number of oranges in the bin is (c0 - c1) + c2. 
The answer is (c0 - c1) + c2.","{'c0': 40.0, 'c1': 37.0, 'c2': 7.0}",10,['answer = (c0 - c1) + c2'],1
148," At the arcade Victor won c0 tickets. If he spent c1 tickets on a beanie and later won c2 more tickets, how many would he have? ",58,"Victor started with c0 tickets, spent c1 tickets on a beanie, and then won c2 more tickets. To find out how many tickets he has now, we can add the tickets he won to the tickets he had after buying the beanie:
total_tickets = c0 - c1 + c2
The answer is total_tickets.","{'c0': 46.0, 'c1': 27.0, 'c2': 39.0}",58,"['total_tickets =  c0 - c1 + c2', 'answer = total_tickets']",1
149," Chloe picked c0 carrots from her garden. If she threw out c1 of them and then picked c2 more the next day, how many carrots would she have total? ",45,"Chloe started with c0 carrots. She threw out c1 of them, so she had c0 - c1 left. Then she picked c2 more the next day, so she had (c0 - c1) + c2 total. 
The answer is (c0 - c1) + c2.","{'c0': 48.0, 'c1': 45.0, 'c2': 42.0}",45,['answer = (c0 - c1) + c2'],1
150," Sam had c0 socks. If he threw away c1 old ones that didn't fit and bought c2 new ones, how many socks would he have? ",43,"Sam had c0 socks originally. He threw away c1 old ones, so he now has c0 - c1 socks. Then he bought c2 new ones, so he now has (c0 - c1) + c2 socks. 
The answer is (c0 - c1) + c2.","{'c0': 10.0, 'c1': 3.0, 'c2': 36.0}",43,['answer = (c0 - c1) + c2'],1
151," Maria had c0 bottles of water in her fridge. If she drank c1 of them and then bought c2 more, how many bottles would she have? ",51,"Maria started with c0 bottles of water. She drank c1 of them, so she had c0 - c1 bottles left. Then she bought c2 more, so she had (c0 - c1) + c2 bottles in total. 
The answer is (c0 - c1) + c2.","{'c0': 14.0, 'c1': 8.0, 'c2': 45.0}",51,['answer = (c0 - c1) + c2'],1
152," A teacher had c0 worksheets to grade. If she graded c1, but then another c2 were turned in, how many worksheets would she have to grade? ",63,"The teacher originally had c0 worksheets to grade. She graded c1 of them, so she has c0 - c1 left to grade. Then, c2 more worksheets were turned in, so she now has to grade c0 - c1 + c2 worksheets. 
The answer is c0 - c1 + c2.","{'c0': 34.0, 'c1': 7.0, 'c2': 36.0}",63,['answer = c0 - c1 + c2'],1
153," At the fair there were c0 people in line for the bumper cars. If c1 of them got tired of waiting and left and c2 more got in line, how many people would be in line? ",11,"The initial number of people in line was c0. Then c1 people left, so the number of people in line decreased by c1. After that, c2 more people got in line, so the number of people in line increased by c2. Therefore, the final number of people in line would be:
c0 - c1 + c2","{'c0': 7.0, 'c1': 4.0, 'c2': 8.0}",11,[],1
154," Emily had c0 coloring books. If she gave away c1 of them, but then bought c2 more, how many would she have total? ",19,"Emily started with c0 coloring books. She gave away c1 of them, so she had c0 - c1 left. Then she bought c2 more, so she had (c0 - c1) + c2 coloring books in total. 
The answer is (c0 - c1) + c2.","{'c0': 7.0, 'c1': 2.0, 'c2': 14.0}",19,['answer = (c0 - c1) + c2'],1
155," At the arcade Dave won c0 tickets. If he spent c1 tickets on a beanie and later won c2 more tickets, how many would he have? ",18,"Dave started with c0 tickets. He spent c1 tickets on a beanie, so he had c0 - c1 tickets left. Then he won c2 more tickets, so he would have (c0 - c1) + c2 tickets in total. 
The answer is (c0 - c1) + c2.","{'c0': 25.0, 'c1': 22.0, 'c2': 15.0}",18,['answer = (c0 - c1) + c2'],1
156," Robin had c0 songs on her mp3 player. If she deleted c1 old songs from it and then added c2 new songs, how many songs does she have on her mp3 player? ",32,"Robin had c0 songs originally. She deleted c1 old songs, so she now has c0 - c1 songs. Then she added c2 new songs, so she now has (c0 - c1) + c2 songs. 
The answer is (c0 - c1) + c2.","{'c0': 30.0, 'c1': 8.0, 'c2': 10.0}",32,['answer = (c0 - c1) + c2'],1
157," The school cafeteria had c0 apples. If they used c1 to make lunch for the students and then bought c2 more, how many apples would they have? ",9,"The cafeteria started with c0 apples, used c1 for lunch, and then bought c2 more. So the total number of apples they would have is:
c0 - c1 + c2
The answer is c0 - c1 + c2.","{'c0': 23.0, 'c1': 20.0, 'c2': 6.0}",9,['answer = c0 - c1 + c2'],1
158," Janet was playing a video game and had c0 lives. In a hard part of the game she lost c1 lives. If she got c2 more lives in the next level, how many lives would she have? ",54,"Janet started with c0 lives. She lost c1 lives, so she would have c0 - c1 lives left. Then she gained c2 more lives, so she would have (c0 - c1) + c2 lives in total. 
The answer is (c0 - c1) + c2.","{'c0': 38.0, 'c1': 16.0, 'c2': 32.0}",54,['answer = (c0 - c1) + c2'],1
159," Megan picked c0 carrots from her garden. If she threw out c1 of them and then picked c2 more the next day, how many carrots would she have total? ",61,"Megan started with c0 carrots. She threw out c1 of them, so she had c0 - c1 left. The next day, she picked c2 more carrots, so she had c0 - c1 + c2 carrots in total. 
total_carrots = c0 - c1 + c2
The answer is total_carrots.","{'c0': 19.0, 'c1': 4.0, 'c2': 46.0}",61,"['total_carrots =  c0 - c1 + c2', 'answer = total_carrots']",1
160," Roger had c0 dollars in January. By March he had spent c1 dollars. If he got another c2 dollars from his mom, how much money would he have? ",71,"Roger had c0 dollars in January. By March he had spent c1 dollars, so he had c0 - c1 dollars left. If he got another c2 dollars from his mom, he would have (c0 - c1) + c2 dollars. 
The answer is (c0 - c1) + c2.","{'c0': 45.0, 'c1': 20.0, 'c2': 46.0}",71,['answer = (c0 - c1) + c2'],1
161," The school cafeteria had c0 apples. If they used c1 to make lunch for the students and then bought c2 more, how many apples would they have? ",38,"The cafeteria started with c0 apples, used c1 for lunch, and then bought c2 more. So the total number of apples they would have is:
c0 - c1 + c2
The answer is c0 - c1 + c2.","{'c0': 17.0, 'c1': 2.0, 'c2': 23.0}",38,['answer = c0 - c1 + c2'],1
162," Janet was playing a video game and had c0 lives. In a hard part of the game she lost c1 lives. If she got c2 more lives in the next level, how many lives would she have? ",70,"Janet started with c0 lives. She lost c1 lives, so she would have c0 - c1 lives left. Then she gained c2 more lives, so she would have (c0 - c1) + c2 lives in total. 
The answer is (c0 - c1) + c2.","{'c0': 47.0, 'c1': 23.0, 'c2': 46.0}",70,['answer = (c0 - c1) + c2'],1
163," Nancy picked c0 carrots from her garden. If she threw out c1 of them and then picked c2 more the next day, how many carrots would she have total? ",31,"Nancy started with c0 carrots. She threw out c1 of them, so she had c0 - c1 left. The next day, she picked c2 more carrots, so she had a total of (c0 - c1) + c2 carrots. 
The answer is (c0 - c1) + c2.","{'c0': 12.0, 'c1': 2.0, 'c2': 21.0}",31,['answer = (c0 - c1) + c2'],1
164," Bianca had c0 songs on her mp3 player. If she deleted c1 old songs from it and then added c2 new songs, how many songs does she have on her mp3 player? ",64,"Bianca started with c0 songs on her mp3 player. She deleted c1 old songs, so she now has c0 - c1 songs. Then she added c2 new songs, so the total number of songs on her mp3 player is (c0 - c1) + c2. 
The answer is (c0 - c1) + c2.","{'c0': 34.0, 'c1': 14.0, 'c2': 44.0}",64,['answer = (c0 - c1) + c2'],1
165," Tom had c0 books. If he sold c1 of them and used the money he earned to buy c2 new books, how many books would Tom have? ",39,"Tom started with c0 books. He sold c1 of them, so he now has c0 - c1 books. He used the money he earned to buy c2 new books, so he now has c0 - c1 + c2 books. 
The answer is c0 - c1 + c2.","{'c0': 5.0, 'c1': 4.0, 'c2': 38.0}",39,['answer = c0 - c1 + c2'],1
166," John had c0 socks. If he threw away c1 old ones that didn't fit and bought c2 new ones, how many socks would he have? ",27,"John had c0 socks originally. He threw away c1 old ones, so he now has c0 - c1 socks. Then he bought c2 new ones, so he now has (c0 - c1) + c2 socks. 
The answer is (c0 - c1) + c2.","{'c0': 33.0, 'c1': 19.0, 'c2': 13.0}",27,['answer = (c0 - c1) + c2'],1
167," For the school bake sale Maria made c0 cupcakes. If she sold c1 of them and then made c2 more, how many cupcakes would she have? ",24,"Maria started with c0 cupcakes. She sold c1 of them, so she had c0 - c1 cupcakes left. Then she made c2 more cupcakes, so she had c0 - c1 + c2 cupcakes in total. 
total cupcakes = c0 - c1 + c2
The answer is total cupcakes.","{'c0': 19.0, 'c1': 5.0, 'c2': 10.0}",24,"['cupcakes =  c0 - c1 + c2', 'answer = total cupcakes']",1
168, A store had c0 oranges in a bin. If they threw away c1 of the old ones and put c2 new ones in the bin how many would be in the bin? ,34,"The store started with c0 oranges. They threw away c1 of the old ones, so they have c0 - c1 oranges left. Then they added c2 new ones, so the total number of oranges in the bin is (c0 - c1) + c2. 
The answer is (c0 - c1) + c2.","{'c0': 50.0, 'c1': 40.0, 'c2': 24.0}",34,['answer = (c0 - c1) + c2'],1
169, In fourth grade there were c0 students at the start of the year. During the year c1 students left and c2 new students came to school. How many students were in fourth grade at the end? ,11,"At the start of the year, there were c0 students. Then c1 students left, so the number of students decreased by c1. After that, c2 new students came, so the number of students increased by c2. Therefore, the total number of students at the end of the year is:
c0 - c1 + c2
The answer is c0 - c1 + c2.","{'c0': 8.0, 'c1': 5.0, 'c2': 8.0}",11,['answer = c0 - c1 + c2'],1
170," Bianca picked c0 carrots from her garden. If she threw out c1 of them and then picked c2 more the next day, how many carrots would she have total? ",60,"Bianca started with c0 carrots. She threw out c1 of them, so she had c0 - c1 left. Then she picked c2 more the next day, so she had (c0 - c1) + c2 carrots in total. 
The answer is (c0 - c1) + c2.","{'c0': 23.0, 'c1': 10.0, 'c2': 47.0}",60,['answer = (c0 - c1) + c2'],1
171," Zoe had c0 bottles of water in her fridge. If she drank c1 of them and then bought c2 more, how many bottles would she have? ",47,"Zoe started with c0 bottles of water. She drank c1 of them, so she would have c0 - c1 bottles left. Then she bought c2 more, so she would have (c0 - c1) + c2 bottles in total. 
The answer is (c0 - c1) + c2.","{'c0': 42.0, 'c1': 25.0, 'c2': 30.0}",47,['answer = (c0 - c1) + c2'],1
172," Katie had c0 songs on her mp3 player. If she deleted c1 old songs from it and then added c2 new songs, how many songs does she have on her mp3 player? ",28,"Katie started with c0 songs on her mp3 player. She deleted c1 old songs, which means she now has c0 - c1 songs left. Then she added c2 new songs, which means she now has (c0 - c1) + c2 songs on her mp3 player. 
The answer is (c0 - c1) + c2.","{'c0': 11.0, 'c1': 7.0, 'c2': 24.0}",28,['answer = (c0 - c1) + c2'],1
173, A store had c0 oranges in a bin. If they threw away c1 of the old ones and put c2 new ones in the bin how many would be in the bin? ,31,"The store started with c0 oranges. They threw away c1 of the old ones, so they have c0 - c1 oranges left. Then they added c2 new ones, so the total number of oranges in the bin is (c0 - c1) + c2. 
The answer is (c0 - c1) + c2.","{'c0': 5.0, 'c1': 2.0, 'c2': 28.0}",31,['answer = (c0 - c1) + c2'],1
174," Adam had c0 books. If he sold c1 of them and used the money he earned to buy c2 new books, how many books would Adam have? ",67,"Adam started with c0 books. He sold c1 of them, so he now has c0 - c1 books. He used the money he earned to buy c2 new books, so he now has c0 - c1 + c2 books. 
The answer is c0 - c1 + c2.","{'c0': 48.0, 'c1': 19.0, 'c2': 38.0}",67,['answer = c0 - c1 + c2'],1
175, In fourth grade there were c0 students at the start of the year. During the year c1 students left and c2 new students came to school. How many students were in fourth grade at the end? ,37,"At the start of the year, there were c0 students. Then c1 students left, so the number of students decreased by c1. After that, c2 new students came, so the number of students increased by c2. Therefore, the total number of students at the end of the year is:
c0 - c1 + c2
The answer is c0 - c1 + c2.","{'c0': 31.0, 'c1': 5.0, 'c2': 11.0}",37,['answer = c0 - c1 + c2'],1
176," For the school bake sale Robin made c0 cupcakes. If she sold c1 of them and then made c2 more, how many cupcakes would she have? ",59,"Robin started with c0 cupcakes. She sold c1 of them, so she had c0 - c1 cupcakes left. Then she made c2 more cupcakes, so she had c0 - c1 + c2 cupcakes in total. 
total cupcakes = c0 - c1 + c2
The answer is total cupcakes.","{'c0': 42.0, 'c1': 22.0, 'c2': 39.0}",59,"['cupcakes =  c0 - c1 + c2', 'answer = total cupcakes']",1
177," A florist had c0 roses. If she sold c1 of them and then later picked c2 more, how many roses would she have? ",41,"The florist started with c0 roses, sold c1 of them, and then picked c2 more. So the total number of roses she would have is:
c0 - c1 + c2
The answer is c0 - c1 + c2.","{'c0': 11.0, 'c1': 2.0, 'c2': 32.0}",41,['answer = c0 - c1 + c2'],1
178," Frank had c0 dollars. At the store he spent $c1 on a new game. If he got another c2 dollars for his allowance, how much money does he have now? ",22,"Frank had c0 dollars originally. He spent $c1 on a new game, so he now has c0 - c1 dollars. He also received c2 dollars for his allowance, so his total amount of money now is:
c0 - c1 + c2
The answer is c0 - c1 + c2.","{'c0': 11.0, 'c1': 3.0, 'c2': 14.0}",22,['answer = c0 - c1 + c2'],1
179," Haley was playing a video game and had c0 lives. In a hard part of the game she lost c1 lives. If she got c2 more lives in the next level, how many lives would she have? ",46,"Haley started with c0 lives, lost c1 lives, and gained c2 lives. So her total number of lives after the level would be:
c0 - c1 + c2
The answer is c0 - c1 + c2.","{'c0': 14.0, 'c1': 4.0, 'c2': 36.0}",46,['answer = c0 - c1 + c2'],1
180," Luke had c0 dollars in January. By March he had spent c1 dollars. If he got another c2 dollars from his mom, how much money would he have? ",58,"Luke had c0 dollars in January. By March, he had spent c1 dollars. So he would have had c0 - c1 dollars left. 
Then, if he got another c2 dollars from his mom, he would have (c0 - c1) + c2 dollars. 
The answer is (c0 - c1) + c2.","{'c0': 48.0, 'c1': 11.0, 'c2': 21.0}",58,['answer = (c0 - c1) + c2'],1
181," Emily was playing a video game and had c0 lives. In a hard part of the game she lost c1 lives. If she got c2 more lives in the next level, how many lives would she have? ",41,"Emily started with c0 lives. She lost c1 lives, so she would have c0 - c1 lives left. Then she gained c2 more lives, so her total number of lives would be:
total_lives = (c0 - c1) + c2
The answer is total_lives.","{'c0': 42.0, 'c1': 25.0, 'c2': 24.0}",41,"['total_lives =  (c0 - c1) + c2', 'answer = total_lives']",1
182," Debby had c0 coloring books. If she gave away c1 of them, but then bought c2 more, how many would she have total? ",58,"Debby started with c0 coloring books. She gave away c1 of them, so she had c0 - c1 left. Then she bought c2 more, so she had (c0 - c1) + c2 coloring books in total. 
total = (c0 - c1) + c2
The answer is total.","{'c0': 30.0, 'c1': 7.0, 'c2': 35.0}",58,"['total =  (c0 - c1) + c2', 'answer = total']",1
183," The school cafeteria had c0 apples. If they used c1 to make lunch for the students and then bought c2 more, how many apples would they have? ",23,"The cafeteria started with c0 apples, used c1 for lunch, and then bought c2 more. So the total number of apples they would have is:
c0 - c1 + c2
The answer is c0 - c1 + c2.","{'c0': 12.0, 'c1': 8.0, 'c2': 19.0}",23,['answer = c0 - c1 + c2'],1
184," At the fair there were c0 people in line for the bumper cars. If c1 of them got tired of waiting and left and c2 more got in line, how many people would be in line? ",31,"The initial number of people in line was c0. Then c1 people left, so the number of people in line decreased by c1. After that, c2 more people got in line, so the number of people in line increased by c2. Therefore, the final number of people in line would be:
c0 - c1 + c2","{'c0': 31.0, 'c1': 25.0, 'c2': 25.0}",31,[],1
185," A florist had c0 roses. If she sold c1 of them and then later picked c2 more, how many roses would she have? ",56,"The florist started with c0 roses, sold c1 of them, and then picked c2 more. So the total number of roses she would have is:
c0 - c1 + c2
The answer is c0 - c1 + c2.","{'c0': 50.0, 'c1': 15.0, 'c2': 21.0}",56,['answer = c0 - c1 + c2'],1
186," Zoe had c0 songs on her mp3 player. If she deleted c1 old songs from it and then added c2 new songs, how many songs does she have on her mp3 player? ",23,"Zoe started with c0 songs on her mp3 player. She deleted c1 old songs, which means she now has c0 - c1 songs left. Then she added c2 new songs, which means she now has (c0 - c1) + c2 songs on her mp3 player. 
The answer is (c0 - c1) + c2.","{'c0': 6.0, 'c1': 3.0, 'c2': 20.0}",23,['answer = (c0 - c1) + c2'],1
187," At the arcade Dave won c0 tickets. If he spent c1 tickets on a beanie and later won c2 more tickets, how many would he have? ",16,"Dave started with c0 tickets. He spent c1 tickets on a beanie, so he had c0 - c1 tickets left. Then he won c2 more tickets, so he would have (c0 - c1) + c2 tickets in total. 
The answer is (c0 - c1) + c2.","{'c0': 11.0, 'c1': 5.0, 'c2': 10.0}",16,['answer = (c0 - c1) + c2'],1
188," A waiter had c0 customers to wait on. If c1 customers left and he got another c2 customers, how many customers would he have? ",28,"The waiter started with c0 customers, then c1 left, so he was left with c0 - c1 customers. After that, he got c2 more customers, so he now has (c0 - c1) + c2 customers. 
The answer is (c0 - c1) + c2.","{'c0': 33.0, 'c1': 31.0, 'c2': 26.0}",28,['answer = (c0 - c1) + c2'],1
189, In fourth grade there were c0 students at the start of the year. During the year c1 students left and c2 new students came to school. How many students were in fourth grade at the end? ,47,"At the start of the year, there were c0 students. Then c1 students left, so the number of students decreased by c1. After that, c2 new students came, so the number of students increased by c2. Therefore, the total number of students at the end of the year is:
c0 - c1 + c2
The answer is c0 - c1 + c2.","{'c0': 11.0, 'c1': 6.0, 'c2': 42.0}",47,['answer = c0 - c1 + c2'],1
190," Oliver had c0 socks. If he threw away c1 old ones that didn't fit and bought c2 new ones, how many socks would he have? ",33,"Oliver started with c0 socks, threw away c1 old ones, and bought c2 new ones. So the total number of socks he would have is:
c0 - c1 + c2
The answer is c0 - c1 + c2.","{'c0': 11.0, 'c1': 4.0, 'c2': 26.0}",33,['answer = c0 - c1 + c2'],1
191, A store had c0 oranges in a bin. If they threw away c1 of the old ones and put c2 new ones in the bin how many would be in the bin? ,36,"The store started with c0 oranges. They threw away c1 of the old ones, so they have c0 - c1 oranges left. Then they added c2 new ones, so the total number of oranges in the bin is (c0 - c1) + c2. 
The answer is (c0 - c1) + c2.","{'c0': 40.0, 'c1': 25.0, 'c2': 21.0}",36,['answer = (c0 - c1) + c2'],1
192," At the arcade Edward won c0 tickets. If he spent c1 tickets on a beanie and later won c2 more tickets, how many would he have? ",9,"Edward started with c0 tickets, spent c1 tickets on a beanie, and won c2 more tickets. To find out how many tickets he has now, we can add the tickets he won to the tickets he had after buying the beanie: 
total_tickets = c0 - c1 + c2
The answer is total_tickets.","{'c0': 9.0, 'c1': 4.0, 'c2': 4.0}",9,"['total_tickets =  c0 - c1 + c2', 'answer = total_tickets']",1
193, In fourth grade there were c0 students at the start of the year. During the year c1 students left and c2 new students came to school. How many students were in fourth grade at the end? ,43,"At the start of the year, there were c0 students. Then c1 students left, so the number of students decreased by c1. After that, c2 new students came, so the number of students increased by c2. Therefore, the total number of students at the end of the year is:
c0 - c1 + c2
The answer is c0 - c1 + c2.","{'c0': 4.0, 'c1': 3.0, 'c2': 42.0}",43,['answer = c0 - c1 + c2'],1
194," Haley picked c0 carrots from her garden. If she threw out c1 of them and then picked c2 more the next day, how many carrots would she have total? ",26,"Haley started with c0 carrots. She threw out c1 of them, so she had c0 - c1 left. Then she picked c2 more the next day, so she had (c0 - c1) + c2 total. 
The answer is (c0 - c1) + c2.","{'c0': 28.0, 'c1': 11.0, 'c2': 9.0}",26,['answer = (c0 - c1) + c2'],1
195," Roger had c0 books. If he sold c1 of them and used the money he earned to buy c2 new books, how many books would Roger have? ",34,"Roger started with c0 books. He sold c1 of them, so he now has c0 - c1 books. He used the money he earned to buy c2 new books, so he now has c0 - c1 + c2 books. 
The answer is c0 - c1 + c2.","{'c0': 25.0, 'c1': 21.0, 'c2': 30.0}",34,['answer = c0 - c1 + c2'],1
196," A florist had c0 roses. If she sold c1 of them and then later picked c2 more, how many roses would she have? ",36,"The florist started with c0 roses, sold c1 of them, and then picked c2 more. So the total number of roses she would have is:
c0 - c1 + c2
The answer is c0 - c1 + c2.","{'c0': 5.0, 'c1': 3.0, 'c2': 34.0}",36,['answer = c0 - c1 + c2'],1
197," Wendy was playing a video game and had c0 lives. In a hard part of the game she lost c1 lives. If she got c2 more lives in the next level, how many lives would she have? ",41,"Wendy started with c0 lives, lost c1 lives, and gained c2 lives. So her total number of lives after the level would be:
c0 - c1 + c2
The answer is c0 - c1 + c2.","{'c0': 10.0, 'c1': 6.0, 'c2': 37.0}",41,['answer = c0 - c1 + c2'],1
198," John had c0 dollars. At the store he spent $c1 on a new game. If he got another c2 dollars for his allowance, how much money does he have now? ",29,"John started with c0 dollars. He spent c1 dollars on a new game, so he has c0 - c1 dollars left. Then he received c2 dollars for his allowance, so he now has (c0 - c1) + c2 dollars. 
The answer is (c0 - c1) + c2.","{'c0': 5.0, 'c1': 2.0, 'c2': 26.0}",29,['answer = (c0 - c1) + c2'],1
199," For the school bake sale Chloe made c0 cupcakes. If she sold c1 of them and then made c2 more, how many cupcakes would she have? ",11,"Chloe started with c0 cupcakes, sold c1 of them, and then made c2 more. So the total number of cupcakes she would have is:
c0 - c1 + c2
The answer is c0 - c1 + c2.","{'c0': 28.0, 'c1': 25.0, 'c2': 8.0}",11,['answer = c0 - c1 + c2'],1
200," At the town carnival Billy rode the ferris wheel c0 times and the bumper cars c1 times. If each ride cost c2 tickets, how many tickets did he use? ",50,"Billy rode the ferris wheel c0 times and the bumper cars c1 times, so he used a total of c0 + c1 rides. Each ride cost c2 tickets, so the total number of tickets Billy used is (c0 + c1) x c2. The answer is (c0 + c1) x c2.","{'c0': 7.0, 'c1': 3.0, 'c2': 5.0}",50,"['Billy rode the ferris wheel c0 times and the bumper cars c1 times, so he used a total of c0 + c1 rides']",1
201, Chloe was unboxing some of her old winter clothes. She found c0 boxes of clothing and inside each box there were c1 scarves and c2 mittens. How many pieces of winter clothing did Chloe have total? ,32,"Chloe has c0 boxes of winter clothing. Inside each box, there are c1 scarves and c2 mittens. To find the total number of winter clothing pieces, we need to multiply the number of boxes by the number of scarves and mittens in each box and then add them together. 
total_pieces = c0 * (c1 + c2)
The answer is total_pieces.","{'c0': 4.0, 'c1': 2.0, 'c2': 6.0}",32,"['total_pieces =  c0 * (c1 + c2)', 'answer = total_pieces']",1
202," A waiter had c0 tables he was waiting on, with c1 women and c2 men at each table. How many customers total did the waiter have? ",90,"The waiter had c0 tables, with c1 women and c2 men at each table. So the total number of customers at each table is c1 + c2. To find the total number of customers the waiter had, we need to multiply the number of customers at each table by the number of tables the waiter was waiting on. 
total_customers = (c1 + c2) x c0
The answer is total_customers.","{'c0': 9.0, 'c1': 7.0, 'c2': 3.0}",90,"['total_customers =  (c1 + c2) x c0', 'answer = total_customers']",1
203," April's discount flowers was having a sale where each flower was c0 dollars. If Emily bought c1 roses and c2 daisies, how much did she spend? ",12,"Emily bought c1 roses and c2 daisies, so the total number of flowers she bought is c1 + c2. Each flower costs c0 dollars, so the total cost is (c1 + c2) * c0 dollars. Therefore, Emily spent (c1 + c2) * c0 dollars.","{'c0': 3.0, 'c1': 2.0, 'c2': 2.0}",12,[],1
204," Isabel had c0 pages of math homework and c1 pages of reading homework. If each page had c2 problems on it, how many problems did she have to complete total? ",30,"Isabel had c0 + c1 pages of homework in total. Each page had c2 problems on it. So the total number of problems she had to complete is:
total_problems = (c0 + c1) * c2
The answer is total_problems.","{'c0': 2.0, 'c1': 4.0, 'c2': 5.0}",30,"['total_problems =  (c0 + c1) * c2', 'answer = total_problems']",1
205," Wendy was playing a video game where she scores c0 points for each treasure she finds. If she found c1 treasures on the first level and c2 on the second, what would her score be? ",35,"Wendy scored c0 points for each treasure she found. So her score for the first level would be c0 multiplied by the number of treasures she found, which is c1. Similarly, her score for the second level would be c0 multiplied by the number of treasures she found, which is c2. Therefore, her total score would be the sum of her scores for both levels:
total score = (c0 x c1) + (c0 x c2)
The answer is total score.","{'c0': 5.0, 'c1': 4.0, 'c2': 3.0}",35,"['score =  (c0 x c1) + (c0 x c2)', 'answer = total score']",1
206," There were c0 friends playing a video game online when c1 more players joined the game. If each player had c2 lives, how many lives did they have total? ",63,"There were c0 friends playing the game originally. Then c1 more players joined, so there were a total of c0 + c1 players. Each player had c2 lives, so the total number of lives would be:
total_lives = (c0 + c1) * c2
The answer is total_lives.","{'c0': 7.0, 'c1': 2.0, 'c2': 7.0}",63,"['total_lives =  (c0 + c1) * c2', 'answer = total_lives']",1
