,question,answer,median_answer,response_answer,response_answer_arith,response_answer_var,mapping_arith,response,response_arith,response_var
455," There were 10 friends playing a video game online when 7 players quit. If each player left had 8 lives, how many lives did they have total? ",24,24,24,80,24,"{'c0': 10.0, 'c1': 7.0, 'c2': 8.0}","There were originally 10 friends playing. 7 players quit, so there were 10 - 7 = 3 players left. Each player left had 8 lives, so they had a total of 3 x 8 = 24 lives. The answer is 24.","Solve the problem step by step:

1. Multiply the number of players who quit by the number of lives each player had to calculate the total number of lives lost. Let x be the total number of lives lost,
x = c1 * c2

2. Multiply the number of players remaining by the number of lives each player had to calculate the total number of lives remaining. Let y be the total number of lives remaining,
y = (c0 - c1) * c2

3. Add the total number of lives lost and the total number of lives remaining to calculate the answer.
answer = x + y","After c1 players quit, there were c0 - c1 friends left playing. Each of them had c2 lives. So the total number of lives is (c0 - c1) * c2. 
total_lives = (c0 - c1) * c2

The answer is total_lives."
488," There were 13 friends playing a video game online when 8 players quit. If each player left had 6 lives, how many lives did they have total? ",30,30,30,78,30,"{'c0': 13.0, 'c1': 8.0, 'c2': 6.0}","There were originally 13 friends playing. 8 players quit, so there were 13 - 8 = 5 players left. Each player had 6 lives, so the total number of lives left is 5 x 6 = 30. The answer is 30.","Solve the problem step by step:

1. Multiply the number of players who quit by the number of lives each player had to calculate the total number of lives lost. Let x be the total number of lives lost,
x = c1 * c2

2. Multiply the number of players remaining by the number of lives each player had to calculate the total number of lives remaining. Let y be the total number of lives remaining,
y = (c0 - c1) * c2

3. Add the total number of lives lost and the total number of lives remaining to calculate the answer.
answer = x + y","After c1 players quit, there were c0 - c1 friends left playing. Each of them had c2 lives. So the total number of lives left is (c0 - c1) * c2. 
total_lives = (c0 - c1) * c2

The answer is total_lives."
497," There were 8 friends playing a video game online when 3 players quit. If each player left had 3 lives, how many lives did they have total? ",15,15,15,24,15,"{'c0': 8.0, 'c1': 3.0, 'c2': 3.0}","There were originally 8 friends playing. 3 players quit, so there were 8 - 3 = 5 players left. Each player had 3 lives, so 5 players x 3 lives each = 15 lives total. The answer is 15.","Solve the problem step by step:

1. Multiply the number of players who quit by the number of lives each player had to calculate the total number of lives lost. Let x be the total number of lives lost,
x = c1 * c2

2. Multiply the number of players remaining by the number of lives each player had to calculate the total number of lives remaining. Let y be the total number of lives remaining,
y = (c0 - c1) * c2

3. Add the total number of lives lost and the total number of lives remaining to calculate the answer.
answer = x + y","After c1 players quit, there were c0 - c1 friends left playing. Each of them had c2 lives. So the total number of lives is (c0 - c1) * c2. 
total_lives = (c0 - c1) * c2

The answer is total_lives."
510," Paige's team won their dodgeball game and scored 41 points total. If Paige scored 11 of the points and everyone else scored 6 points each, how many players were on her team? ",5,6,6,6,-0.333333333,"{'c0': 41.0, 'c1': 11.0, 'c2': 6.0}","Paige scored 11 points and everyone else scored 6 points each. Let's call the number of other players on the team ""x"". So the total number of points scored can be represented as: 

11 + 6x = 41 

Subtracting 11 from both sides: 

6x = 30 

Dividing both sides by 6: 

x = 5 

So there were 5 other players on Paige's team. Adding Paige herself, the total number of players on the team is 6. The answer is 6.","Solve the problem step by step:

1. Subtract Paige's score from the total score to calculate the combined score of the other players. Let x be the combined score of the other players,
x = c0 - c1

2. Divide the combined score of the other players by the number of other players to calculate the score per player. Let y be the score per player,
y = c2

3. Divide the combined score of the other players by the score per player to calculate the number of other players. Let z be the number of other players,
z = x / y

4. Add Paige and the number of other players to calculate the total number of players on the team.
answer = 1 + z","Paige scored c1 points and everyone else scored c2 points each. Let's say there were n players on her team. Then the total points scored can be expressed as:

c0 = c1 + n*c2

We can rearrange this equation to solve for n:

n = (c0 - c1) / c2

The answer is n."
512, Emily was planting vegetables in her garden. She started with 41 seeds and planted 29 of them in the big garden and in each of her small gardens put 4 seeds each. How many small gardens did Emily have? ,3,3,3,4,3,"{'c0': 41.0, 'c1': 29.0, 'c2': 4.0}","Emily started with 41 seeds. She planted 29 in the big garden, so she had 41 - 29 = 12 seeds left. Each small garden had 4 seeds planted in it, so Emily had 12 / 4 = 3 small gardens. The answer is 3.","Solve the problem step by step:

1. Subtract the number of seeds planted in the big garden from the original number of seeds to calculate the number of seeds left for the small gardens. Let x be the number of seeds left for the small gardens,
x = c0 - c1

2. Divide the number of seeds left for the small gardens by the number of seeds planted in each small garden to calculate the number of small gardens. Let y be the number of small gardens,
y = x / c2

3. Round down the number of small gardens to the nearest whole number, since you can't have a fraction of a garden.
y = floor(y)

4. Calculate the answer by adding the number of small gardens to the big garden.
answer = y + 1","Emily planted c1 seeds in the big garden and had c0 seeds to start with. So she had c0 - c1 seeds left for the small gardens. Each small garden had c2 seeds planted in it. So the number of small gardens is (c0 - c1) / c2. 

The answer is (c0 - c1) / c2."
517," Isabel picked 66 flowers for her friend���������s wedding. She was making bouquets with 8 flowers in each one. If 10 of the flowers wilted before the wedding, how many bouquet",7,7,56,7,7,"{'c0': 66.0, 'c1': 8.0, 'c2': 10.0}","Isabel picked 66 flowers. She was making bouquets with 8 flowers in each one, so she could make 66/8 = 8.25 bouquets. However, 10 of the flowers wilted, so she could only make 66-10 = 56 bouquets. The answer is 56.","Solve the problem step by step:

1. Divide the total number of flowers Isabel picked by the number of flowers in each bouquet to calculate the total number of bouquets she could make. Let x be the total number of bouquets,
x = c0 / c1

2. Subtract the number of wilted flowers from the total number of flowers to calculate the number of usable flowers. Let y be the number of usable flowers,
y = c0 - c2

3. Divide the number of usable flowers by the number of flowers in each bouquet to calculate the number of bouquets she can still make.
answer = y / c1","Isabel picked c0 flowers. She was making bouquets with c1 flowers in each one. So she could make c0/c1 bouquets. 
bouquets_possible = c0/c1

If c2 flowers wilted, then she has c0 - c2 flowers left. She can make (c0 - c2)/c1 bouquets. 
bouquets_remaining = (c0 - c2)/c1

The answer is bouquets_remaining."
526," Wendy picked 103 flowers for her friend���������s wedding. She was making bouquets with 8 flowers in each one. If 47 of the flowers wilted before the wedding, how many bouquet",7,7,19,7,7,"{'c0': 103.0, 'c1': 8.0, 'c2': 47.0}","Wendy picked 103 flowers. If she makes bouquets with 8 flowers in each one, she can make 103/8 = 12.875 bouquets. Since she can't make a fraction of a bouquet, she can make 12 bouquets. If 47 flowers wilted, she has 103-47 = 56 flowers left. She can make 56/8 = 7 bouquets with the remaining flowers. In total, she can make 12+7 = 19 bouquets. The answer is 19.","Solve the problem step by step:

1. Divide the total number of flowers Wendy picked by the number of flowers in each bouquet to calculate the total number of bouquets she could make. Let x be the total number of bouquets,
x = c0 / c1

2. Subtract the number of wilted flowers from the total number of flowers to calculate the number of usable flowers. Let y be the number of usable flowers,
y = c0 - c2

3. Divide the number of usable flowers by the number of flowers in each bouquet to calculate the number of bouquets she can still make.
answer = y / c1","Wendy picked c0 flowers. She was making bouquets with c1 flowers in each one. So she could make c0/c1 bouquets. 
bouquets_possible = c0/c1

After c2 flowers wilted, she had c0 - c2 flowers left. She can make (c0 - c2)/c1 bouquets with the remaining flowers. 
bouquets_remaining = (c0 - c2)/c1

The answer is bouquets_remaining."
532," Emily's team won their dodgeball game and scored 39 points total. If Emily scored 23 of the points and everyone else scored 2 points each, how many players were on her team? ",8,9,9,9,-0.333333333,"{'c0': 39.0, 'c1': 23.0, 'c2': 2.0}","Emily scored 23 points and everyone else scored 2 points each. Let's call the number of other players on the team ""x"". So the total number of points scored can be represented as: 

23 + 2x = 39 

Subtracting 23 from both sides: 

2x = 16 

Dividing both sides by 2: 

x = 8 

So there were 8 other players on Emily's team. Adding Emily herself, the total number of players on the team is 9. The answer is 9.","Solve the problem step by step:

1. Subtract Emily's points from the total points to calculate the total points scored by the other players. Let x be the total points scored by the other players,
x = c0 - c1

2. Divide the total points scored by the other players by the points each player scored to calculate the number of players on the team. Let y be the number of players on the team,
y = x / c2

3. Add 1 to the number of players on the team to include Emily.
answer = y + 1","Emily scored c1 points and everyone else scored c2 points each. Let's say there were n players on her team. Then the total points scored can be expressed as:

c0 = c1 + n*c2

We can rearrange this equation to solve for n:

n = (c0 - c1) / c2

The answer is n."
539, Nancy was planting vegetables in her garden. She started with 52 seeds and planted 28 of them in the big garden and in each of her small gardens put 4 seeds each. How many small gardens did Nancy have? ,6,6,6,7,6,"{'c0': 52.0, 'c1': 28.0, 'c2': 4.0}","Nancy started with 52 seeds. She planted 28 in the big garden, so she has 52 - 28 = 24 seeds left. Each small garden has 4 seeds, so Nancy must have had 24 / 4 = 6 small gardens. The answer is 6.","Solve the problem step by step:

1. Subtract the number of seeds planted in the big garden from the original number of seeds to calculate the number of seeds left for the small gardens. Let x be the number of seeds left for the small gardens,
x = c0 - c1

2. Divide the number of seeds left for the small gardens by the number of seeds planted in each small garden to calculate the number of small gardens. Let y be the number of small gardens,
y = x / c2

3. Round down the number of small gardens to the nearest integer, since you can't have a fraction of a garden.
y = floor(y)

4. Calculate the answer by adding the number of small gardens to the number of big gardens.
answer = y + 1 (since there is one big garden)","Nancy started with c0 seeds. She planted c1 in the big garden, leaving c0 - c1 seeds. Each small garden had c2 seeds planted in it. So the number of small gardens is (c0 - c1) / c2. 
number_of_small_gardens = (c0 - c1) / c2

The answer is number_of_small_gardens."
541, Bianca was planting vegetables in her garden. She started with 52 seeds and planted 40 of them in the big garden and in each of her small gardens put 2 seeds each. How many small gardens did Bianca have? ,6,6,6,7,6,"{'c0': 52.0, 'c1': 40.0, 'c2': 2.0}","Bianca started with 52 seeds. She planted 40 in the big garden, so she has 52 - 40 = 12 seeds left. Each small garden got 2 seeds, so she must have had 12 / 2 = 6 small gardens. The answer is 6.","Solve the problem step by step:

1. Subtract the number of seeds planted in the big garden from the original number of seeds to calculate the number of seeds left for the small gardens. Let x be the number of seeds left for the small gardens,
x = c0 - c1

2. Divide the number of seeds left for the small gardens by the number of seeds planted in each small garden to calculate the number of small gardens. Let y be the number of small gardens,
y = x / c2

3. Round down the number of small gardens to the nearest whole number, since you can't have a fraction of a garden.
y = floor(y)

4. Calculate the answer by adding the number of small gardens to the big garden.
answer = y + 1 (since there is also the big garden)","Bianca started with c0 seeds. She planted c1 in the big garden, leaving c0 - c1 seeds. 

Each small garden had c2 seeds planted in it. So the number of small gardens is (c0 - c1) / c2. 

The answer is (c0 - c1) / c2."
552, Emily was planting vegetables in her garden. She started with 42 seeds and planted 36 of them in the big garden and in each of her small gardens put 2 seeds each. How many small gardens did Emily have? ,3,3,3,4,3,"{'c0': 42.0, 'c1': 36.0, 'c2': 2.0}","Emily started with 42 seeds. She planted 36 in the big garden, so she had 42 - 36 = 6 seeds left. She put 2 seeds in each small garden, so she must have had 6 / 2 = 3 small gardens. The answer is 3.","Solve the problem step by step:

1. Subtract the number of seeds planted in the big garden from the original number of seeds to calculate the number of seeds left for the small gardens. Let x be the number of seeds left for the small gardens,
x = c0 - c1

2. Divide the number of seeds left for the small gardens by the number of seeds planted in each small garden to calculate the number of small gardens. Let y be the number of small gardens,
y = x / c2

3. Round down the number of small gardens to the nearest whole number, since you can't have a fraction of a garden.
y = floor(y)

4. Calculate the answer by adding the number of small gardens to the big garden.
answer = y + 1","Emily planted c1 seeds in the big garden and had c0 seeds to start with. So she had c0 - c1 seeds left for the small gardens. Each small garden had c2 seeds planted in it. So the number of small gardens is (c0 - c1) / c2. 

The answer is (c0 - c1) / c2."
554," Katie's team won their dodgeball game and scored 12 points total. If Katie scored 4 of the points and everyone else scored 4 points each, how many players were on her team? ",2,3,3,3,3,"{'c0': 12.0, 'c1': 4.0, 'c2': 4.0}","Katie scored 4 points and everyone else scored 4 points each, so the number of players on her team can be found by dividing the total points by the points per player: 

12 - 4 = 8 (points scored by everyone else)
8 / 4 = 2 

There were 2 players (besides Katie) on her team. So the total number of players on her team is 2 + 1 (Katie) = 3. The answer is 3.","Solve the problem step by step:

1. Subtract Katie's points from the total points to calculate the total points scored by the other players. Let x be the total points scored by the other players,
x = c0 - c1

2. Divide the total points scored by the other players by the points each player scored to calculate the number of players on the team. Let y be the number of players on the team,
y = x / c2

3. Add 1 to the number of players on the team to include Katie.
answer = y + 1","Katie's team scored c0 points total. Katie scored c1 of those points, so the rest of the team scored c0 - c1 points. Each of the other players scored c2 points, so the number of other players is (c0 - c1) / c2. 

The total number of players on the team is the number of other players plus Katie, so the answer is (c0 - c1) / c2 + 1."
570," Paige picked 53 flowers for her friend���������s wedding. She was making bouquets with 7 flowers in each one. If 18 of the flowers wilted before the wedding, how many bouquet",5,5,12,5,5,"{'c0': 53.0, 'c1': 7.0, 'c2': 18.0}","Paige picked 53 flowers. She was making bouquets with 7 flowers in each one, so she could make 53/7 = 7.57 bouquets. Since she can't make a partial bouquet, she can only make 7 bouquets. 18 of the flowers wilted, so she has 53-18 = 35 flowers left. She can make 35/7 = 5 bouquets with the remaining flowers. In total, she can make 7+5 = 12 bouquets. The answer is 12.","Solve the problem step by step:

1. Divide the total number of flowers picked by the number of flowers in each bouquet to calculate the total number of bouquets. Let x be the total number of bouquets,
x = c0 / c1

2. Subtract the number of wilted flowers from the total number of flowers to calculate the number of usable flowers. Let y be the number of usable flowers,
y = c0 - c2

3. Divide the number of usable flowers by the number of flowers in each bouquet to calculate the number of bouquets she can still make.
answer = y / c1","Paige picked c0 flowers. She was making bouquets with c1 flowers in each one. So she could make c0/c1 bouquets. 
bouquets_possible = c0/c1

If c2 flowers wilted, then she has c0 - c2 flowers left. She can make (c0 - c2)/c1 bouquets. 
bouquets_remaining = (c0 - c2)/c1

The answer is bouquets_remaining."
578, Sarah was planting vegetables in her garden. She started with 21 seeds and planted 12 of them in the big garden and in each of her small gardens put 3 seeds each. How many small gardens did Sarah have? ,3,3,3,4,-0.333333333,"{'c0': 21.0, 'c1': 12.0, 'c2': 3.0}","Sarah started with 21 seeds. She planted 12 in the big garden, so she had 21 - 12 = 9 seeds left. She planted 3 seeds in each small garden, so she had 9 / 3 = 3 small gardens. The answer is 3.","Solve the problem step by step:

1. Subtract the number of seeds planted in the big garden from the original number of seeds to calculate the number of seeds left for the small gardens. Let x be the number of seeds left for the small gardens,
x = c0 - c1

2. Divide the number of seeds left for the small gardens by the number of seeds planted in each small garden to calculate the number of small gardens. Let y be the number of small gardens,
y = x / c2

3. Round down the number of small gardens to the nearest integer, since you can't have a fraction of a garden.
y = floor(y)

4. Calculate the answer by adding the number of small gardens to the big garden.
answer = y + 1 (for the big garden)","Sarah planted c1 seeds in the big garden and c2 seeds in each small garden. Let's say she planted s small gardens. Then the total number of seeds planted is c1 + c2*s. But we know that this is equal to c0, the number of seeds she started with. So we can set up an equation:

c1 + c2*s = c0

Solving for s, we get:

s = (c0 - c1) / c2

The answer is s."
581," Bianca's team won their dodgeball game and scored 75 points total. If Bianca scored 45 of the points and everyone else scored 6 points each, how many players were on her team? ",5,6,6,6,-0.333333333,"{'c0': 75.0, 'c1': 45.0, 'c2': 6.0}","Bianca scored 45 points and everyone else scored 6 points each. Let's call the number of other players on the team ""x"". So the total number of points scored can be represented as: 

45 + 6x = 75 

Subtracting 45 from both sides: 

6x = 30 

Dividing both sides by 6: 

x = 5 

So there were 5 other players on Bianca's team. Including Bianca, the total number of players on the team is 6. The answer is 6.","Solve the problem step by step:

1. Subtract Bianca's score from the total score to calculate the total score of the other players. Let x be the total score of the other players,
x = c0 - c1

2. Divide the total score of the other players by the score each player got to calculate the number of other players. Let y be the number of other players,
y = x / c2

3. Add 1 to the number of other players to include Bianca and calculate the answer.
answer = y + 1","Bianca scored c1 points and everyone else scored c2 points each. Let's say there were n other players on her team. Then the total number of points scored can be expressed as:

total_points = c1 + n*c2

But we also know that the total number of points scored was c0. So we can set up an equation:

c0 = c1 + n*c2

Solving for n, we get:

n = (c0 - c1) / c2

The answer is n."
583, Haley was planting vegetables in her garden. She started with 56 seeds and planted 35 of them in the big garden and in each of her small gardens put 3 seeds each. How many small gardens did Haley have? ,7,7,7,8,7,"{'c0': 56.0, 'c1': 35.0, 'c2': 3.0}","Haley started with 56 seeds. She planted 35 in the big garden, so she had 56 - 35 = 21 seeds left. Each small garden had 3 seeds planted in it, so the number of small gardens is 21 / 3 = 7. Haley had 7 small gardens. The answer is 7.","Solve the problem step by step:

1. Subtract the number of seeds planted in the big garden from the original number of seeds to calculate the number of seeds left for the small gardens. Let x be the number of seeds left for the small gardens,
x = c0 - c1

2. Divide the number of seeds left for the small gardens by the number of seeds planted in each small garden to calculate the number of small gardens. Let y be the number of small gardens,
y = x / c2

3. Round down the number of small gardens to the nearest whole number, since you can't have a fraction of a garden.
y = floor(y)

4. Calculate the answer by adding the number of small gardens to the big garden.
answer = y + 1 (since there is also the big garden)","Haley started with c0 seeds. She planted c1 in the big garden, leaving c0-c1 seeds left. 

The remaining seeds were planted in small gardens, with c2 seeds in each garden. So the number of small gardens is (c0-c1)/c2. 

The answer is (c0-c1)/c2."
