,question,answer,response,tokens,logprobs,mapping,response_answer,equations,,,,,,,,,,
369, At a company picnic c0 managers and c1 employees decided to start a game of volleyball. If they split into c2 teams how many people would be on each team? ,5," 

There would be c0 + c1 people in total. If they split into c2 teams, each team would have (c0 + c1) / c2 people. 
people_per_team = (c0 + c1) / c2

The answer is people_per_team.","[' ', '\n', '\n', 'There', ' would', ' be', ' c', '0', ' +', ' c', '1', ' people', ' in', ' total', '.', ' If', ' they', ' split', ' into', ' c', '2', ' teams', ',', ' each', ' team', ' would', ' have', ' (', 'c', '0', ' +', ' c', '1', ')', ' /', ' c', '2', ' people', '.', ' ', '\n', 'people', '_', 'per', '_', 'team', ' =', ' (', 'c', '0', ' +', ' c', '1', ')', ' /', ' c', '2', '\n', '\n', 'The', ' answer', ' is', ' people', '_', 'per', '_', 'team', '.']","[-0.92120147, -1.0429544, -0.08735991, -0.38352838, -0.7359413, -0.001274696, -0.27680296, -0.064854644, -0.05425899, -7.422359000000001e-05, -9.043785400000002e-05, -0.05112828, -0.6172418, -0.00076974515, -0.48535138, -0.65883845, -0.0018572918000000001, -0.11372924000000001, -0.0019824626, -0.00037004700000000003, -0.0006484827599999999, -6.039538500000001e-05, -0.0057331272, -0.49706715, -2.3556138e-05, -0.00015755986, -0.00027685300000000003, -0.0044590896000000005, -2.1649737e-05, -0.0001226242, -0.007806391, -0.00026683855999999997, -9.413332000000001e-05, -0.63994837, -0.00029116274999999996, -0.0002454927, -1.6642034e-05, -0.0011385729000000001, -0.072180726, -0.10145349000000001, -0.00045823885, -0.12077507, -3.7863996000000004e-05, -0.0035638130000000003, -2.3360508e-06, -1.6642034e-05, -4.838501e-06, -1.1514188000000001e-05, -5.0022347e-05, -0.00010128584, -0.00010379016999999999, -4.7875652e-05, -4.4419543e-05, -0.0006653024499999999, -4.2988099999999996e-05, -0.00010963326999999999, -2.9159892e-05, -0.009052616000000001, -0.00023655016, -0.0003931819, -3.3212986000000004e-05, -1.5327929000000002e-05, -4.739975700000001e-05, -6.122609e-05, -3.170517e-06, -8.2807564e-05, -1.7400123999999997e-06, -0.053585697]","{'c0': 23.0, 'c1': 7.0, 'c2': 6.0}",5,"['people_per_team =  (c0 + c1) / c2', 'answer = people_per_team']",,,,,,,,,,1
370," For a birthday party Cody bought c0 regular sodas and c1 diet sodas. If his fridge would only hold c2 on each shelf, how many shelves would he fill up? ",8," 

Cody bought c0 regular sodas and c1 diet sodas. If his fridge would only hold c2 on each shelf, he would need c0/c2 + c1/c2 shelves to hold all of the sodas. 
shelves_needed = c0/c2 + c1/c2

The answer is shelves_needed.","[' ', '\n', '\n', 'C', 'ody', ' bought', ' c', '0', ' regular', ' sod', 'as', ' and', ' c', '1', ' diet', ' sod', 'as', '.', ' If', ' his', ' fridge', ' would', ' only', ' hold', ' c', '2', ' on', ' each', ' shelf', ',', ' he', ' would', ' need', ' c', '0', '/', 'c', '2', ' +', ' c', '1', '/', 'c', '2', ' shelves', ' to', ' hold', ' all', ' of', ' the', ' sod', 'as', '.', ' ', '\n', 's', 'hel', 'ves', '_', 'needed', ' =', ' c', '0', '/', 'c', '2', ' +', ' c', '1', '/', 'c', '2', '\n', '\n', 'The', ' answer', ' is', ' shelves', '_', 'needed', '.']","[-1.0859125, -1.377981, -0.09858262, -0.25583586, -0.00025002355999999997, -0.5104211, -0.004863724000000001, -3.881579e-05, -0.020030364000000002, -0.002077544, 0.0, -0.04707552, -9.846204e-06, -7.100402e-05, -5.436415399999999e-06, -2.3912831e-05, -1.8841804e-07, -0.12294865, -0.71010965, -0.32325566, -2.3795494000000003e-05, -0.2002284, -0.016734036, -5.693833e-05, -3.5001114e-05, -0.0010490679, -0.08654236, -1.1398727e-05, -3.6311474e-05, -0.0028332258000000003, -0.25061405000000003, -0.029815428, -0.40787193, -0.7840406999999999, -0.013603622000000001, -0.8869123999999999, -0.006632682, -0.00010617528499999999, -0.08445839000000001, -0.011939435, -5.4314798000000005e-05, -0.00015827699, -0.0025091222, -4.2631407000000006e-05, -0.0019342686, -0.37917343000000003, -0.8073786, -0.032735307000000005, -0.6364023999999999, -0.57506716, -0.040074766000000005, -3.883893e-06, -0.00070592255, -0.55529344, -0.0018342396, -0.7078468, -0.09913341, -0.00016388073999999998, -0.07755675000000001, -0.17134422, -0.00037934902, -0.045908004, -2.9636725000000002e-05, -0.013609602, -4.9187893000000005e-05, -2.6419024000000005e-05, -4.382537000000001e-05, -1.0323977e-05, -3.7983213e-05, -2.9636725000000002e-05, -0.00013228387, -2.7728449e-05, -0.039495673, -0.0040863384, -0.0034326408, -0.00016042086999999998, -9.568210000000002e-05, -0.00010748563, -0.00035561805, -1.2351458e-05, -0.034695346]","{'c0': 4.0, 'c1': 44.0, 'c2': 6.0}",8,"['shelves_needed =  c0/c2 + c1/c2', 'answer = shelves_needed']",,,,,,,,,,1
371," Robin's class is going on a field trip to the zoo. If each van can hold c0 people and there are c1 students and c2 adults going, how many vans will they need? ",3," 

There are c1 students and c2 adults going on the trip. In total, there are c1 + c2 people going. 
total_people = c1 + c2

Each van can hold c0 people. 
vans_needed = total_people / c0

The answer is vans_needed.","[' ', '\n', '\n', 'There', ' are', ' c', '1', ' students', ' and', ' c', '2', ' adults', ' going', ' on', ' the', ' trip', '.', ' In', ' total', ',', ' there', ' are', ' c', '1', ' +', ' c', '2', ' people', ' going', '.', ' ', '\n', 'total', '_', 'people', ' =', ' c', '1', ' +', ' c', '2', '\n', '\n', 'Each', ' van', ' can', ' hold', ' c', '0', ' people', '.', ' ', '\n', 'v', 'ans', '_', 'needed', ' =', ' total', '_', 'people', ' /', ' c', '0', '\n', '\n', 'The', ' answer', ' is', ' vans', '_', 'needed', '.']","[-1.5962948, -1.43749, -0.18141495, -0.6818107999999999, -0.2510416, -0.091784194, -0.2544701, -0.00820395, -0.039126057000000006, -3.9172486e-05, -0.00012572644999999999, -1.9860674000000003e-05, -0.21997099, -0.89416397, -0.00025324314, -0.14556633, -0.5252917, -0.79543865, -0.021377921, -0.00021228698, -0.30888098, -0.004675908, -6.396884e-05, -0.0033911956000000003, -0.00900841, -1.7400123999999997e-06, -1.9382902000000003e-05, -8.018216000000001e-05, -0.045223348000000003, -0.010421351, -0.06819744400000001, -2.4543265e-06, -0.7241499, -0.000120481265, -0.016875446000000002, -0.000113448885, -6.194322e-05, -0.0033394026, -0.00013276069, -1.9143545e-05, -7.4460135e-05, -0.003868813, -6.480610000000001e-05, -0.31885759999999996, -4.430127e-05, -0.03330854, -0.012238491, -0.0021845868, -8.376217000000001e-05, -2.6180607000000004e-05, -0.008438348, -0.46273625, -5.0778562999999996e-06, -0.8160715, -1.5006569e-06, -0.0013839774000000001, -0.07701037000000001, -5.0778562999999996e-06, -0.025796494000000003, -1.7953334000000003e-05, -2.3360508e-06, -0.044384867, -9.592052000000001e-05, -2.7967804e-05, -0.007557006000000001, -6.253833000000001e-05, -0.02935921, -0.0011431094000000001, -1.2351458e-05, -4.3586017000000006e-05, -4.406191e-05, -4.1232483e-06, -0.009218094000000001]","{'c0': 8.0, 'c1': 22.0, 'c2': 2.0}",3,"['total_people =  c1 + c2', 'vans_needed =  total_people / c0', 'answer = vans_needed']",,,,,,,,,,1
372," Ned was helping the cafeteria workers pick up lunch trays, but he could only carry c0 trays at a time. If he had to pick up c1 trays from one table and c2 trays from another, how many trips will he make? ",2," Ned can carry c0 trays at a time. If he has to pick up c1 trays from one table and c2 trays from another, he will have to make c1/c0 + c2/c0 trips. 
trips = c1/c0 + c2/c0

The answer is trips.","[' Ned', ' can', ' carry', ' c', '0', ' tr', 'ays', ' at', ' a', ' time', '.', ' If', ' he', ' has', ' to', ' pick', ' up', ' c', '1', ' tr', 'ays', ' from', ' one', ' table', ' and', ' c', '2', ' tr', 'ays', ' from', ' another', ',', ' he', ' will', ' have', ' to', ' make', ' c', '1', '/', 'c', '0', ' +', ' c', '2', '/', 'c', '0', ' trips', '.', ' ', '\n', 'tri', 'ps', ' =', ' c', '1', '/', 'c', '0', ' +', ' c', '2', '/', 'c', '0', '\n', '\n', 'The', ' answer', ' is', ' trips', '.']","[-0.16376206000000001, -0.61271137, -0.43300822, -0.006887359, -0.0008132310000000001, -0.048449613, -3.076318e-07, -0.35418007, -0.025144415000000003, -0.00030261146999999996, -0.109727025, -0.33174393, -0.11322421, -0.25513616, -0.0055344803, -9.139247e-05, -0.0008825494000000001, -0.00015517569, -0.0015323095, -0.14986923, 0.0, -0.023747174000000003, -0.017768336000000003, -0.00010176362, -0.04150592, -1.4020380000000002e-05, -0.00027995434, -0.008360569, 0.0, -0.0007997482, -0.0017895757, -0.014603726000000001, -0.1570928, -0.14444636, -1.0128728, -0.00087372045, -0.011791719, -0.36396042, -0.07075002, -0.06154106, -0.010460137000000001, -0.0011076012, -0.09897935000000001, -0.00034846271999999995, -0.00025837285999999996, -3.5001114e-05, -0.0033258873, -0.00015815685, -0.007408858000000001, -0.64999026, -0.08974563, -0.002324196, -0.8298175999999999, -1.8841804e-07, -0.16213016, -0.03137394, -0.0023001817, -0.008235499, -0.00060297415, -2.2604345000000003e-05, -0.0003039237, -0.00021085551999999998, -0.000103910315, -0.00013788574, -0.0005453053, -0.00012763379, -0.1800988, -0.66322273, -0.00016733872999999999, -0.00010188282999999999, -9.222505000000001e-05, -0.0002386978, -0.11644833500000001]","{'c0': 5.0, 'c1': 5.0, 'c2': 5.0}",2,"['trips =  c1/c0 + c2/c0', 'answer = trips']",,,,,,,,,,1
373," There school's baseball team had c0 new players and c1 returning players. If the coach put them into groups with c2 players in each group, how many groups would there be? ",2," There are c0 + c1 total players. If there are c2 players in each group, then the total number of groups is (c0 + c1)/c2. 
total_groups = (c0 + c1)/c2

The answer is total_groups.","[' There', ' are', ' c', '0', ' +', ' c', '1', ' total', ' players', '.', ' If', ' there', ' are', ' c', '2', ' players', ' in', ' each', ' group', ',', ' then', ' the', ' total', ' number', ' of', ' groups', ' is', ' (', 'c', '0', ' +', ' c', '1', ')/', 'c', '2', '.', ' ', '\n', 'total', '_', 'groups', ' =', ' (', 'c', '0', ' +', ' c', '1', ')/', 'c', '2', '\n', '\n', 'The', ' answer', ' is', ' total', '_', 'groups', '.']","[-1.0841967, -0.7685632, -0.47307557, -0.008826372, -0.26187882, -0.00037696297, -0.00033570455999999997, -0.33212584, -0.046765555, -0.06962714, -0.4451543, -1.0531139999999999, -0.08455152, -0.00052472914, -0.0045440514000000005, -0.15118299999999998, -0.13030446, -0.0015601302000000001, -0.002210272, -0.0029007727, -0.104752675, -0.8055757, -0.6920423, -0.0005581845, -0.00013061494, -0.0008258774000000001, -0.57449025, -0.5099516, -0.0033975341000000003, -0.00024203752, -0.08839898, -0.0005070769000000001, -0.0003998604, -0.28032717, -0.0034687691, -7.8514175e-05, -0.14230351, -0.057170443, -0.0007062783000000001, -0.48489129999999997, -0.00017306074999999998, -0.0011185806, -0.00014325200000000002, -0.00018188404999999999, -0.000337014, -8.876706000000002e-05, -0.0036559987, -0.0006762762, -0.00026886605, -0.19489978, -0.00019058722999999999, -5.912312e-06, -0.016607307, -0.043098863, -0.00018212340000000002, -7.243640000000001e-05, -0.00015302899, -0.0003216896, -0.0003296803, -3.8457234e-05, -0.1459754]","{'c0': 2.0, 'c1': 6.0, 'c2': 4.0}",2,"['total_groups =  (c0 + c1)/c2', 'answer = total_groups']",,,,,,,,,,1
374, For homework Amy had c0 math problems and c1 spelling problems. If she can finish c2 problems in an hour how long will it take her to finish all the problems? ,6," Amy had c0 math problems and c1 spelling problems. In an hour she can finish c2 problems. So it will take her c0/c2 hours to finish the math problems and c1/c2 hours to finish the spelling problems. 

math_time = c0/c2
spelling_time = c1/c2

The answer is math_time + spelling_time.","[' Amy', ' had', ' c', '0', ' math', ' problems', ' and', ' c', '1', ' spelling', ' problems', '.', ' In', ' an', ' hour', ' she', ' can', ' finish', ' c', '2', ' problems', '.', ' So', ' it', ' will', ' take', ' her', ' c', '0', '/', 'c', '2', ' hours', ' to', ' finish', ' the', ' math', ' problems', ' and', ' c', '1', '/', 'c', '2', ' hours', ' to', ' finish', ' the', ' spelling', ' problems', '.', ' ', '\n', '\n', 'math', '_', 'time', ' =', ' c', '0', '/', 'c', '2', '\n', 'spe', 'lling', '_', 'time', ' =', ' c', '1', '/', 'c', '2', '\n', '\n', 'The', ' answer', ' is', ' math', '_', 'time', ' +', ' spelling', '_', 'time', '.']","[-0.41215384, -0.71793795, -0.010098392000000001, -0.00019726386999999998, -0.03515407, -0.014609832000000001, -0.02708576, -0.0005070769000000001, -0.00043354954999999995, -0.00012155600999999999, -0.018783247, -0.5328619, -1.3486362, -0.6179973999999999, -2.8206221000000002e-05, -0.07509908, -0.08435916, -0.22345723, -0.00028532060000000003, -0.18722194, -0.0037702680000000002, -0.007918598, -0.27780536, -0.07178437, -0.21462142, -0.0014384736, -0.069465674, -0.7452892999999999, -0.38383356, -0.03808132, -0.0011089144, -0.00043569714999999997, -0.6648605, -0.00034202260000000003, -0.005224361, -0.06712955, -8.900641000000001e-05, -0.0009621376, -0.07931395000000001, -0.0011160753000000001, -0.00034595837, -2.9311613999999997e-06, -0.0016347548, -3.8217877e-05, -0.006923729000000001, -0.00032204814, -0.00010283744, -0.0012332771, -2.9756868000000002e-05, -0.0025784988, -0.004407301000000001, -0.5302454, -0.0007126029, -0.98048735, -1.0986494, -0.0017129668, -0.5051071, -0.0029949297, -3.2855354000000005e-05, -0.0004136351, -0.1408038, -6.4566746e-05, -4.2272848e-05, -0.008983029, -0.011002309, 0.0, -3.0353855e-05, -1.8841804e-07, -0.0017351198, -1.0204763e-05, -0.0005166192, -4.5967376000000004e-05, -9.24644e-05, -4.2750620000000005e-05, -0.0005238947, -0.005269778, -0.49386194, -0.0056783350000000005, -6.5092986e-06, -0.0040580905, -4.4818075000000005e-06, -2.0966954e-06, -0.00016125533, -1.9263687e-05, -9.846204e-06, 0.0, -0.04834683]","{'c0': 18.0, 'c1': 6.0, 'c2': 4.0}",6,"['math_time =  c0/c2', 'spelling_time =  c1/c2', 'answer = math_time + spelling_time']",,,,,,,,,,1
375," Maria was making baggies of cookies with c0 cookies in each bag. If she had c1 chocolate chip cookies and c2 oatmeal cookies, how many baggies could she make? ",6," Maria was making baggies of cookies with c0 cookies in each bag. If she had c1 chocolate chip cookies and c2 oatmeal cookies, she could make (c1+c2)/c0 baggies. 
number_of_baggies = (c1+c2)/c0

The answer is number_of_baggies.","[' Maria', ' was', ' making', ' bag', 'g', 'ies', ' of', ' cookies', ' with', ' c', '0', ' cookies', ' in', ' each', ' bag', '.', ' If', ' she', ' had', ' c', '1', ' chocolate', ' chip', ' cookies', ' and', ' c', '2', ' o', 'atmeal', ' cookies', ',', ' she', ' could', ' make', ' (', 'c', '1', '+', 'c', '2', ')/', 'c', '0', ' bag', 'g', 'ies', '.', ' ', '\n', 'number', '_', 'of', '_', 'b', 'agg', 'ies', ' =', ' (', 'c', '1', '+', 'c', '2', ')/', 'c', '0', '\n', '\n', 'The', ' answer', ' is', ' number', '_', 'of', '_', 'b', 'agg', 'ies', '.']","[-0.5662259, -1.2168027, -0.035871346000000005, -0.30743545, -0.003201563, -1.5448071e-05, -0.18016131, -0.12745662, -0.028350081000000003, -5.7532503e-05, -0.0017460467, -0.021336272, -0.008997643000000001, -0.00045692568999999996, -0.017226188, -0.014026051000000001, -0.35753579999999996, -0.005784802, -0.0044685486, -7.684431e-05, -0.0007957505000000001, -3.357061e-05, -0.00041959931999999996, -0.00020918753999999998, -0.004449572000000001, -2.2365928000000002e-05, -1.5925843e-05, -3.8577375e-05, -1.3823811999999999e-06, -3.0234640000000003e-05, -0.009382873, -0.12901932, -0.047247905, -0.002857853, -0.81730443, -0.0016526070000000002, -0.008246016, -0.704048, -0.0016046644000000001, -0.00013574091999999998, -0.014558970000000001, -0.00214104, -0.00024883242, -0.0699421, -0.0025712084000000003, -9.251094e-06, -0.123815194, -0.28347632, -0.014642977000000001, -1.3580914, -0.0030025204, -0.0757703, -1.9860674000000003e-05, -0.048319865000000004, -3.4287736000000006e-05, -2.2159092999999997e-06, -0.031848166000000004, -0.0017840217, -6.075394400000001e-05, -0.0025385227, -0.32528654, -0.00020334445, -6.611553000000001e-05, -0.009886777000000001, -0.0013966904, -5.657977e-05, -0.3681714, -0.4272332, -0.00048263064999999996, -0.0002555109, -0.0005427982, -0.02146147, -0.0002996294, -2.3435998e-05, -0.00012095904, -8.912656000000001e-05, -7.791906e-05, -4.1232483e-06, -0.27124426]","{'c0': 3.0, 'c1': 2.0, 'c2': 16.0}",6,"['number_of_baggies =  (c1+c2)/c0', 'answer = number_of_baggies']",,,,,,,,,,1
376, Sarah's old washing machine could only wash c0 pieces of clothing at a time. If she had to wash c1 shirts and c2 sweaters how many loads would she have to do? ,9," Sarah's old washing machine could only wash c0 pieces of clothing at a time. If she had to wash c1 shirts and c2 sweaters, she would have to wash (c1+c2)/c0 loads. 

The answer is (c1+c2)/c0","[' Sarah', ""'s"", ' old', ' washing', ' machine', ' could', ' only', ' wash', ' c', '0', ' pieces', ' of', ' clothing', ' at', ' a', ' time', '.', ' If', ' she', ' had', ' to', ' wash', ' c', '1', ' shirts', ' and', ' c', '2', ' swe', 'aters', ',', ' she', ' would', ' have', ' to', ' wash', ' (', 'c', '1', '+', 'c', '2', ')/', 'c', '0', ' loads', '.', ' ', '\n', '\n', 'The', ' answer', ' is', ' (', 'c', '1', '+', 'c', '2', ')/', 'c', '0']","[-0.22729637, -0.31852135, -0.16615343, -0.00788195, -0.0008228944, -0.15521972, -0.13201855, -0.008968233, -0.00024036579, -0.0005178132000000001, -0.00674387, -0.034986407000000004, -0.002100006, -0.07459008, -0.010409183, -0.00023678951999999998, -0.015687466, -1.0079633, -0.02640481, -0.020260010000000002, -0.13404737, -0.0007478539499999999, -0.00030046387, -0.0015613250000000001, -0.0004912146, -0.015630553000000002, -0.00032860556, -9.723462400000001e-05, -0.00012131666, -7.854046699999999e-07, -0.6159389, -0.2971666, -0.053144899999999995, -0.23633555, -0.018515319000000002, -0.30283982, -0.81376487, -0.004371144, -0.010822737, -0.7432056, -0.023358632, -0.004355818, -0.034760263, -0.0011200139, -0.0007925327499999999, -0.016883265, -0.23075937, -0.19814931, -0.002727073, -1.1927702, -1.0155538, -0.0009849843, -0.07137166, -0.06201551, -0.00015040732999999998, -0.0005598563000000001, -0.050432257, -0.0008931693000000001, -5.288523200000001e-05, -0.0007490442, -0.0023584915, -0.00013693393999999998]","{'c0': 5.0, 'c1': 43.0, 'c2': 2.0}",9,['answer = (c1+c2)/c0'],,,,,,,,,,1
377," A pet shelter had c0 puppies when another c1 were brought in. If c2 puppies a day are adopted, how long would it take for all of them to be adopted? ",2,  It would take c0/c2 days for all of the puppies to be adopted.,"[' ', ' It', ' would', ' take', ' c', '0', '/', 'c', '2', ' days', ' for', ' all', ' of', ' the', ' puppies', ' to', ' be', ' adopted', '.']","[-1.1947607, -1.2704391, -0.028233398000000003, -0.009534026000000001, -0.3647778, -0.05441116, -0.18709977, -0.00025181073999999996, -0.00050767296, -0.18582931, -0.16444749, -0.02181833, -0.08758272, -0.033491146, -0.15067802, -0.0024904779, -0.0004737435, -0.00018045262999999998, -0.01482293]","{'c0': 3.0, 'c1': 3.0, 'c2': 3.0}",0,[],,,,,,,,,,0
378," While playing at the arcade, Luke won c0 tickets playing 'whack a mole' and c1 tickets playing 'skee ball'. If he was trying to buy candy that cost c2 tickets a piece, how many could he buy? ",5," Luke won c0 tickets playing 'whack a mole' and c1 tickets playing 'skee ball'. In total, he had c0 + c1 tickets. 
total_tickets = c0 + c1

If each piece of candy costs c2 tickets, then he could buy total_tickets / c2 pieces of candy. 
candy_bought = total_tickets / c2

The answer is candy_bought.","[' Luke', ' won', ' c', '0', ' tickets', ' playing', "" '"", 'wh', 'ack', ' a', ' mole', ""'"", ' and', ' c', '1', ' tickets', ' playing', "" '"", 's', 'kee', ' ball', ""'."", ' In', ' total', ',', ' he', ' had', ' c', '0', ' +', ' c', '1', ' tickets', '.', ' ', '\n', 'total', '_', 't', 'ickets', ' =', ' c', '0', ' +', ' c', '1', '\n', '\n', 'If', ' each', ' piece', ' of', ' candy', ' costs', ' c', '2', ' tickets', ',', ' then', ' he', ' could', ' buy', ' total', '_', 't', 'ickets', ' /', ' c', '2', ' pieces', ' of', ' candy', '.', ' ', '\n', 'c', 'andy', '_', 'b', 'ought', ' =', ' total', '_', 't', 'ickets', ' /', ' c', '2', '\n', '\n', 'The', ' answer', ' is', ' candy', '_', 'b', 'ought', '.']","[-1.1237632, -0.43261763000000003, -0.09795871, -0.000960586, -0.28064639999999996, -0.14665598, -0.048030898, -0.00032491006999999997, -0.00017329915, -0.00200235, -7.505805e-05, -0.31953353, -0.0018883451, -0.00045561530000000003, -0.0012067208, -0.0055938177, -0.00017031706, -0.0002512175, -7.9112084e-05, -9.7471166e-05, -5.729314600000001e-05, -0.08843323, -1.1291478, -8.531094e-05, -0.19441889, -0.028367803, -0.7151362, -0.00043295536, -0.003929844, -0.050419405, -0.00023678951999999998, -0.001204454, -0.0038258510000000003, -0.0031152805, -0.48567509999999997, -0.002422482, -0.14271095, -0.0004467892, -0.0012410942, -9.4729374e-05, -0.015657980000000002, -6.015603e-05, -0.0003039237, -0.0008277866, -0.00028651362, -6.671344500000001e-05, -0.08673124, -0.0046118344000000006, -0.35830712000000003, -0.38483593, -0.10570755, -5.9085025e-05, -1.1430257999999999e-06, -0.51720333, -0.00013943638, -0.000566058, -0.0013953774, -0.008829676, -0.07592366, -0.06255008000000001, -0.051432583000000004, -0.0020859668, -0.30175808, -0.00012524866999999998, -4.727961600000001e-05, -8.304504400000002e-05, -0.532087, -0.011571426000000001, -4.3227457e-05, -0.059144050000000004, -0.079569764, -3.076318e-07, -0.007277482, -0.009607201000000001, -2.4750101e-05, -0.47103646, -2.4543265e-06, -0.30396822, -0.27196524, -1.0681599e-05, -0.0021368593, -0.00040892497, -0.000116546435, -9.251094e-06, -4.2392992e-05, -0.007082552000000001, -0.0008624462599999999, -7.493791e-05, -0.008164108, -0.0013589661000000001, -0.00012012550999999999, -0.00011273175999999999, -0.001112853, -1.0920954000000002e-05, -6.802381000000001e-05, -1.8430170000000003e-05, -2.4543265e-06, -0.035051282]","{'c0': 2.0, 'c1': 13.0, 'c2': 3.0}",5,"['total_tickets =  c0 + c1', 'candy_bought =  total_tickets / c2', 'answer = candy_bought']",,,,,,,,,,1
379, A group of c0 friends went into a restaurant. The chef already had c1 chicken wings cooked but cooked c2 more for the group. If they each got the same amount how many would each person get? ,6," The chef had c1 chicken wings cooked. Then he cooked c2 more. So there are c1 + c2 chicken wings. 
total_chicken_wings = c1 + c2

If c0 friends each got the same amount, then each person would get total_chicken_wings / c0 chicken wings. 
chicken_wings_per_person = total_chicken_wings / c0

The answer is chicken_wings_per_person.","[' The', ' chef', ' had', ' c', '1', ' chicken', ' wings', ' cooked', '.', ' Then', ' he', ' cooked', ' c', '2', ' more', '.', ' So', ' there', ' are', ' c', '1', ' +', ' c', '2', ' chicken', ' wings', '.', ' ', '\n', 'total', '_', 'ch', 'icken', '_', 'wings', ' =', ' c', '1', ' +', ' c', '2', '\n', '\n', 'If', ' c', '0', ' friends', ' each', ' got', ' the', ' same', ' amount', ',', ' then', ' each', ' person', ' would', ' get', ' total', '_', 'ch', 'icken', '_', 'wings', ' /', ' c', '0', ' chicken', ' wings', '.', ' ', '\n', 'ch', 'icken', '_', 'wings', '_', 'per', '_', 'person', ' =', ' total', '_', 'ch', 'icken', '_', 'wings', ' /', ' c', '0', '\n', '\n', 'The', ' answer', ' is', ' chicken', '_', 'wings', '_', 'per', '_', 'person', '.']","[-1.0950892, -0.5985957, -0.7038721, -0.0027421943, -0.030456118, -0.20810805000000002, -0.0018326908000000002, -0.26274335, -0.41111929999999997, -1.0477059, -0.23852178000000002, -0.007766384, -0.00018283866999999998, -0.0045274035, -0.0023145794, -0.60852957, -0.076163225, -0.6912037999999999, -0.37555639999999996, -0.08730866, -0.040831596000000005, -0.19705613, -0.0001097506, -0.00012942286, -0.23574407, -0.0007019848599999999, -0.6577912, -0.15747786, -0.007935719, -0.15110713, -0.00015505555, -0.6710659, -0.0005574692599999999, -0.08578346, -2.2159092999999997e-06, -0.0062876744, -0.00011750103999999999, -0.009713366000000001, -0.0007287674, -4.3227457e-05, -5.3242864000000006e-05, -0.0041108183, -0.00044321110000000003, -0.93660617, -0.5289872999999999, -0.0004051084, -0.25625909999999996, -0.8020400000000001, -0.21645019999999998, -0.03370245, -8.399683400000002e-05, -0.06406705, -0.09544413, -0.19081798, -0.06566191, -0.6395657, -0.061449595, -0.0042220266000000005, -0.27913374, -1.3306066e-05, -2.1051823000000004e-05, -4.3227457e-05, -0.00017043720999999998, -2.1051823000000004e-05, -0.09048248, -0.00033015620000000003, -0.00018808197999999998, -0.47504908, -0.00046861471, -0.025596146, -0.019653896, -0.00026922177999999996, -0.12203865500000001, -0.0005155463599999999, -0.00018045262999999998, -0.000111420464, -7.422359000000001e-05, -0.24316378, -7.481963e-05, -0.011534765, -0.0008679346, -0.00059319526, -1.163433e-05, -4.4818075000000005e-06, -5.1979979999999996e-06, -2.5941252000000004e-05, -3.0513029999999998e-06, -0.004902834, -0.00015088324, -8.161453e-05, -0.010254046000000001, -0.00048584927999999997, -0.00024477651, -0.00012906430000000002, -0.00044440500000000004, -0.00017818764999999998, -9.130952e-06, -3.170517e-06, -8.900641000000001e-05, -5.5983720000000005e-05, -2.8326363000000003e-05, -2.8087945000000002e-05, -0.11484216]","{'c0': 3.0, 'c1': 8.0, 'c2': 10.0}",6,"['total_chicken_wings =  c1 + c2', 'chicken_wings_per_person =  total_chicken_wings / c0', 'answer = chicken_wings_per_person']",,,,,,,,,,1
