,question,answer,response,tokens,logprobs,mapping,response_answer
103, In fourth grade there were 10 students at the start of the year. During the year 4 students left and 42 new students came to school. How many students were in fourth grade at the end? ,48.0, There were 10 students at the start of the year. 4 students left and 42 new students came to school. So the answer is 10 + 42 - 4 = 48.,"[' There', ' were', ' 10', ' students', ' at', ' the', ' start', ' of', ' the', ' year', '.', ' 4', ' students', ' left', ' and', ' 42', ' new', ' students', ' came', ' to', ' school', '.', ' So', ' the', ' answer', ' is', ' 10', ' +', ' 42', ' -', ' 4', ' =', ' 48', '.']","[-1.1339568, -0.023677840000000002, -0.44312918, -0.0064963675, -0.24503307, -0.0049146945000000004, -0.24502905, -0.015326673, -0.059716817000000005, -0.005681093000000001, -0.08123702000000001, -0.6008623, -0.14714046, -0.001304716, -0.43331632000000003, -0.01404086, -0.35306075000000003, -0.001006287, -0.022819057, -0.32804796, -0.0030329523000000003, -0.022772653, -0.22836508, -0.8350316999999999, -1.0182918, -0.16057254, -0.035342265000000005, -0.061885763, -0.009396895, -0.028507436, -0.0037925825000000002, -0.05633583700000001, -0.009696813, -0.12745492]",,48.0
104," Oliver had 33 dollars in January. By March he had spent 4 dollars. If he got another 32 dollars from his mom, how much money would he have? ",61.0," Oliver had 33 dollars in January. He spent 4 dollars by March, so he would have 33 - 4 = 29 dollars. If he got another 32 dollars from his mom, he would have 29 + 32 = 61 dollars.","[' Oliver', ' had', ' 33', ' dollars', ' in', ' January', '.', ' He', ' spent', ' 4', ' dollars', ' by', ' March', ',', ' so', ' he', ' would', ' have', ' 33', ' -', ' 4', ' =', ' 29', ' dollars', '.', ' If', ' he', ' got', ' another', ' 32', ' dollars', ' from', ' his', ' mom', ',', ' he', ' would', ' have', ' 29', ' +', ' 32', ' =', ' 61', ' dollars', '.']","[-0.5374684, -0.7590116, -0.0013580126, -0.0006718608, -0.11990984, -9.830563e-05, -0.025069175000000003, -0.6377415, -0.050776288, -0.00017484886999999998, -0.009936442, -0.59733784, -0.002537566, -0.7904561999999999, -0.023481580000000002, -0.0009611830000000001, -0.30430946000000003, -0.00015672446, -0.009962086, -0.031131772000000002, -0.00043390903999999996, -0.0023234207, -0.0004957474, -0.018059548, -0.0037479508, -0.27219158, -0.00013824523, -0.012350485000000001, -0.025167884, -2.0935424000000002e-05, -5.037998e-05, -0.07500663, -0.00051017915, -0.00022790893999999999, -0.0015015679, -0.08141672600000001, -1.9621319e-05, -0.0013738306000000001, -0.013495655, -0.00012608219, -2.141132e-05, -0.00033099067999999997, -0.0003464352, -0.0064002033, -0.06349642]",,61.0
105," A florist had 37 roses. If she sold 16 of them and then later picked 19 more, how many roses would she have? ",40.0, The florist had 37 roses. She sold 16 of them. So she had 37 - 16 = 21 roses. Then she picked 19 more. So she had 21 + 19 = 40 roses. The answer is 40.,"[' The', ' fl', 'or', 'ist', ' had', ' 37', ' roses', '.', ' She', ' sold', ' 16', ' of', ' them', '.', ' So', ' she', ' had', ' 37', ' -', ' 16', ' =', ' 21', ' roses', '.', ' Then', ' she', ' picked', ' 19', ' more', '.', ' So', ' she', ' had', ' 21', ' +', ' 19', ' =', ' 40', ' roses', '.', ' The', ' answer', ' is', ' 40', '.']","[-0.45219103, -0.0026615693, -0.00013669553, -2.3317722000000002e-05, -0.55547214, -0.0011070643, -0.00010641370000000001, -0.2875076, -0.6361730999999999, -0.018507486, -3.881579e-05, -0.43173173000000004, -0.007188628000000001, -1.0077462, -0.90093696, -0.03627573, -0.45214653, -0.012443603000000001, -0.031162702, -0.0019059607, -0.1268339, -4.8233283000000005e-05, -0.22955564, -0.4970824, -0.41173127, -0.014346771000000001, -0.0069468976, -0.0007484471399999999, -0.0039640744, -0.30549383, -0.20044848, -0.04667581, -0.20873891, -0.002659418, -0.00042997236999999997, -4.6325007e-05, -0.0014801384000000001, -5.944078000000001e-05, -0.02094994, -0.094833754, -0.6702019, -0.000100094694, -6.13453e-05, -1.7119806e-05, -0.05772231]",,40.0
106," A teacher had 6 worksheets to grade. If she graded 4, but then another 18 were turned in, how many worksheets would she have to grade? ",20.0," The teacher had 6 worksheets to grade. She graded 4, and then 18 more were turned in. So she would have to grade 18 - 4 = 14 more worksheets. The answer is 14.","[' The', ' teacher', ' had', ' 6', ' works', 'he', 'ets', ' to', ' grade', '.', ' She', ' graded', ' 4', ',', ' and', ' then', ' 18', ' more', ' were', ' turned', ' in', '.', ' So', ' she', ' would', ' have', ' to', ' grade', ' 18', ' -', ' 4', ' =', ' 14', ' more', ' works', 'he', 'ets', '.', ' The', ' answer', ' is', ' 14', '.']","[-0.21818085, -0.00282127, -0.6406579, -0.17055969, -0.004961417, -6.838237000000001e-05, -2.5744682e-06, -0.48633105, -0.0015569070000000002, -0.32347268, -0.7948124999999999, -0.14504677, -0.014264964500000001, -0.4322081, -0.7570776300000001, -0.09526041, -0.41173533, -0.5789436, -0.0039267945000000005, -0.0013718604, -0.0012439599, -0.030589897, -0.44401774, -0.23450565, -0.7346699, -0.045742895000000006, -0.41360787, -2.9876080000000002e-05, -0.31137699999999996, -0.18028216, -0.00012858746, -0.19563283, -0.0025917666, -0.5815528999999999, -0.2968782, -0.00015004877, -1.6207987e-06, -0.012614895000000001, -0.013379062, -0.00014611395, -0.00012226657, -0.00013407106, -0.002712368]",,14.0
107," A book store had 41 books in the bargin bin. If they sold 33 books, but then put 2 more in the bin, how many books would be in the bin? ",10.0," There were 41 books in the bargain bin. 33 books were sold, so 41 - 33 = 8. 2 more were put in the bin, so 8 + 2 = 10. The answer is 10.","[' There', ' were', ' 41', ' books', ' in', ' the', ' bargain', ' bin', '.', ' 33', ' books', ' were', ' sold', ',', ' so', ' 41', ' -', ' 33', ' =', ' 8', '.', ' 2', ' more', ' were', ' put', ' in', ' the', ' bin', ',', ' so', ' 8', ' +', ' 2', ' =', ' 10', '.', ' The', ' answer', ' is', ' 10', '.']","[-1.1184167, -0.24621524, -0.24718185, -0.009545699999999999, -0.5082788500000001, -0.00049789407, -0.7895981, -5.562516000000001e-05, -0.5274466, -0.8655010999999999, -0.5017830999999999, -0.0019842545, -0.00039997964999999996, -0.2199207, -0.87950945, -1.0367428, -0.21920334, -0.0007393807, -0.019306796, -3.1065356e-05, -0.53178203, -0.6351116, -0.07054795, -0.24824803, -0.19017452, -0.069454364, -0.40525746, -0.010810083, -0.0036327266, -0.009646319, -0.035618506, -0.00025360263, -9.130952e-06, -0.0015307589, -1.1753544e-05, -0.025333973000000003, -0.040092263, -0.0005802513, -0.00076020096, -7.875258600000001e-05, -0.004286734]",,10.0
108," A waiter had 19 customers to wait on. If 14 customers left and he got another 36 customers, how many customers would he have? ",41.0," The waiter had 19 customers to wait on. If 14 customers left and he got another 36 customers, he would have 19 + 36 customers. The answer is 55.","[' The', ' waiter', ' had', ' 19', ' customers', ' to', ' wait', ' on', '.', ' If', ' 14', ' customers', ' left', ' and', ' he', ' got', ' another', ' 36', ' customers', ',', ' he', ' would', ' have', ' 19', ' +', ' 36', ' customers', '.', ' The', ' answer', ' is', ' 55', '.']","[-0.46953696, -0.0037869008, -1.0738285, -0.013697762, -0.0015747572, -0.76771194, -0.49802148, -0.0002286242, -0.12364076, -0.18632959000000002, -0.0018417056000000001, -0.007934219000000001, -0.00012930272, -0.5047140999999999, -0.060058616, -0.00038876932, -0.011818016, -2.272356e-05, -0.0017062826000000001, -0.0005156646, -0.58043736, -0.0007276927000000001, -0.013426724000000001, -0.15268722, -0.06168718300000001, -0.000441422, -0.09579947600000001, -0.25384262, -0.17829284, -0.00044213726999999995, -0.012090008000000001, -0.0004990861599999999, -0.13729191]",,55.0
109," At the fair there were 9 people in line for the bumper cars. If 6 of them got tired of waiting and left and 3 more got in line, how many people would be in line? ",6.0, There were 9 people in line originally. 6 people left and 3 more got in line. So the new total is 9 - 6 + 3 = 6. The answer is 6.,"[' There', ' were', ' 9', ' people', ' in', ' line', ' originally', '.', ' 6', ' people', ' left', ' and', ' 3', ' more', ' got', ' in', ' line', '.', ' So', ' the', ' new', ' total', ' is', ' 9', ' -', ' 6', ' +', ' 3', ' =', ' 6', '.', ' The', ' answer', ' is', ' 6', '.']","[-0.91391945, -0.17189519, -0.699338, -0.006968445, -0.37172517, -0.0017996081, -0.69205517, -0.00684451, -0.48623234, -0.6097195999999999, -0.0008604169, -0.7870724, -0.0010993055, -0.49796095, -0.20551655, -0.00013335767999999998, -0.0011718087000000001, -0.010090385, -0.15835673, -0.47941655, -0.36142749999999996, -0.07602269, -0.03282516, -0.0009182857, -0.0036839356, -1.1159372000000002e-05, -1.8190814e-05, -7.946878e-05, -0.19674522, -0.00024311131999999998, -0.16444565, -0.033147287000000004, -0.00014611395, -1.5214344000000001e-05, -0.016964499, -0.011204516000000001]",,6.0
110," A teacher had 7 worksheets to grade. If she graded 2, but then another 46 were turned in, how many worksheets would she have to grade? ",51.0," The teacher had 7 worksheets to grade. She graded 2, and then 46 were turned in. So she would have to grade 46 + 2 = 48 worksheets.","[' The', ' teacher', ' had', ' 7', ' works', 'he', 'ets', ' to', ' grade', '.', ' She', ' graded', ' 2', ',', ' and', ' then', ' 46', ' were', ' turned', ' in', '.', ' So', ' she', ' would', ' have', ' to', ' grade', ' 46', ' +', ' 2', ' =', ' 48', ' works', 'he', 'ets', '.']","[-0.4001221, -0.0071295546, -0.9219302500000001, -0.030896116, -0.006550005, -2.1768952000000003e-05, -1.8601541999999999e-06, -0.5226405, -0.0012476611, -0.25602046, -0.9416496999999999, -0.15636508, -0.00807968, -0.37799669999999996, -0.48904628, -0.16727258, -0.1317893, -0.50456417, -0.000116546435, -0.00024775858, -0.024813188, -0.16092628, -0.021781838, -0.55434144, -0.010694646, -0.242189, -2.9519388e-05, -0.18419084, -0.19817664000000002, -0.23747689, -0.658122, -0.00023774413, -0.18608516, -1.9765537e-06, -1.2622394999999999e-06, -0.27348697]",,48.0
111," Paige had 8 songs on her mp3 player. If she deleted 5 old songs from it and then added 30 new songs, how many songs does she have on her mp3 player? ",33.0," Paige had 8 songs on her mp3 player. If she deleted 5 old songs from it, she would have 8 - 5 = 3 songs left. If she then added 30 new songs, she would have 3 + 30 = 33 songs on her mp3 player.","[' Paige', ' had', ' 8', ' songs', ' on', ' her', ' mp', '3', ' player', '.', ' If', ' she', ' deleted', ' 5', ' old', ' songs', ' from', ' it', ',', ' she', ' would', ' have', ' 8', ' -', ' 5', ' =', ' 3', ' songs', ' left', '.', ' If', ' she', ' then', ' added', ' 30', ' new', ' songs', ',', ' she', ' would', ' have', ' 3', ' +', ' 30', ' =', ' 33', ' songs', ' on', ' her', ' mp', '3', ' player', '.']","[-0.08998222, -0.56151736, -0.004282602, -0.0030914228, -0.76318854, -2.141132e-05, -0.019505585000000002, -6.206056000000001e-05, -0.00067532255, -0.06419409, -0.7143577999999999, -0.0002471616, -0.0033101582, -8.7733215e-06, -0.19192727, -0.00016137547, -0.7624977, -0.00024263355999999998, -0.4760893, -0.14561446, -0.049905248000000006, -0.003024043, -0.0071602315, -0.2459161, -0.000110467736, -0.013618425000000002, -0.00017234455, -0.021831064, -0.6398359, -0.016219405000000003, -0.049254272, -5.944078000000001e-05, -0.051454354, -0.0013729953, -2.0696069000000002e-05, -0.007343049000000001, -4.0246297000000006e-05, -0.0009758005599999999, -0.0020866848, -5.657977e-05, -9.2821094e-05, -0.00078763964, -4.716134000000001e-05, -7.584048e-06, -0.0037456765, -6.838237000000001e-05, -0.00032478993, -0.40179247, -4.2433903e-06, -0.030961525000000004, -6.661909399999999e-07, -1.5805701000000003e-05, -0.033061523]",,3.0
112," Maria picked 48 carrots from her garden. If she threw out 11 of them and then picked 15 more the next day, how many carrots would she have total? ",52.0," Maria started with 48 carrots. If she threw out 11 of them, she would have 48 - 11 = 37 carrots. If she then picked 15 more, she would have 37 + 15 = 52 carrots.","[' Maria', ' started', ' with', ' 48', ' carrots', '.', ' If', ' she', ' threw', ' out', ' 11', ' of', ' them', ',', ' she', ' would', ' have', ' 48', ' -', ' 11', ' =', ' 37', ' carrots', '.', ' If', ' she', ' then', ' picked', ' 15', ' more', ',', ' she', ' would', ' have', ' 37', ' +', ' 15', ' =', ' 52', ' carrots', '.']","[-0.34281722000000003, -1.2649006, -0.014655074, -0.0022548984, -0.0011697821, -0.0686275, -0.9294017, -0.0024429173000000003, -0.03597045, -0.013258616, -4.6086590000000006e-05, -0.548932, -0.0043338467, -0.030106362, -0.13466918, -0.0067179482000000006, -0.048691332000000004, -0.010264523000000001, -0.10383222, -0.0005881838, -0.08041379600000001, -0.0033771992, -0.23278952, -0.36476845, -0.19003049, -0.0011469278000000001, -0.55519885, -0.0010284232, -0.0036160958, -0.008599575, -0.27197367, -0.008932691000000001, -0.0018539474, -0.00561198, -0.0020190137, -0.00015183784, -1.7834122e-05, -0.0016948791, -0.0067319297, -0.02184014, -0.36027098]",,52.0
113, A store had 34 oranges in a bin. If they threw away 20 of the old ones and put 13 new ones in the bin how many would be in the bin? ,27.0, The store had 34 oranges in the bin. They threw away 20 of the old ones and put 13 new ones in the bin. So they would have 13 oranges in the bin.,"[' The', ' store', ' had', ' 34', ' oranges', ' in', ' the', ' bin', '.', ' They', ' threw', ' away', ' 20', ' of', ' the', ' old', ' ones', ' and', ' put', ' 13', ' new', ' ones', ' in', ' the', ' bin', '.', ' So', ' they', ' would', ' have', ' 13', ' oranges', ' in', ' the', ' bin', '.']","[-1.1802261, -0.049856123, -0.37441373, -0.017875794, -0.00022075452999999998, -0.63252354, -0.21549742, -0.0016607271000000001, -0.22367996, -0.35581967000000003, -0.021042032000000002, -0.028233951, -0.00015803762999999998, -0.37444425000000003, -0.42068508, -0.0048152693, -0.0680503, -0.80108273, -0.014903877000000001, -0.52671576, -0.0016633535, -0.0012958832000000001, -0.011054438000000001, -0.13166405, -0.0004959867, -0.063868545, -0.52653784, -0.7575818999999999, -0.43775845, -0.0020494747, -0.6350465, -0.42059243, -0.10253202, -0.0010340326, -9.997455000000001e-05, -0.015236498000000001]",,13.0
114," A waiter had 47 customers to wait on. If 41 customers left and he got another 20 customers, how many customers would he have? ",26.0," The waiter had 47 customers to wait on. If 41 customers left and he got another 20 customers, he would have 47-41+20=26 customers.","[' The', ' waiter', ' had', ' 47', ' customers', ' to', ' wait', ' on', '.', ' If', ' 41', ' customers', ' left', ' and', ' he', ' got', ' another', ' 20', ' customers', ',', ' he', ' would', ' have', ' 47', '-', '41', '+', '20', '=', '26', ' customers', '.']","[-0.57074106, -0.0068817786, -1.0390608, -0.016412005, -0.0007766639499999999, -1.0254653, -0.2242891, -0.00034619775, -0.059040222, -0.6246347, -0.00064335304, -0.010854550000000001, -0.00025312486, -0.6240055, -0.028246151, -4.7639110000000003e-05, -0.0009496076000000001, -1.9980816e-05, -0.0018704883000000001, -0.00071403343, -0.5085358600000001, -0.0010561679, -0.022690646000000002, -0.0012195512, -0.31583839999999996, -0.0025390014, -0.002886725, -1.5214344000000001e-05, -0.5570319, -0.02507804, -0.059172697, -0.029145509000000003]",,26.0
115, In fourth grade there were 33 students at the start of the year. During the year 18 students left and 14 new students came to school. How many students were in fourth grade at the end? ,29.0, There were 33 students at the start of the year. 18 students left and 14 new students came to school. So the total number of students at the end would be 33-18+14=29.,"[' There', ' were', ' 33', ' students', ' at', ' the', ' start', ' of', ' the', ' year', '.', ' 18', ' students', ' left', ' and', ' 14', ' new', ' students', ' came', ' to', ' school', '.', ' So', ' the', ' total', ' number', ' of', ' students', ' at', ' the', ' end', ' would', ' be', ' 33', '-', '18', '+', '14', '=', '29', '.']","[-1.0713825, -0.02296152, -0.18886916, -0.0077766567000000005, -0.14915927, -0.004969385000000001, -0.22880264, -0.017142024000000002, -0.06236222, -0.008762510500000001, -0.057549495000000006, -0.25321913, -0.11964834, -0.0014202675, -0.27810199999999996, -0.0015610857, -0.29236728, -0.00042830152, -0.028227571000000003, -0.32693943000000003, -0.005186792, -0.03769471, -0.8871097, -0.5163968, -0.8552334300000001, -0.10296931000000001, -0.0019797152, -0.00036301085, -0.11329249999999999, -6.539934e-05, -6.373136e-05, -0.34774792, -6.075394400000001e-05, -0.010344079, -0.45301482, -0.008851625, -0.0003348673, -6.1516675e-06, -0.7125435, -0.12771739000000001, -0.035675086]",,29.0
116," For the school bake sale Katie made 26 cupcakes. If she sold 20 of them and then made 20 more, how many cupcakes would she have? ",26.0, Katie would have 26 + 20 - 20 = 26 cupcakes.,"[' Katie', ' would', ' have', ' 26', ' +', ' 20', ' -', ' 20', ' =', ' 26', ' cup', 'cakes', '.']","[-0.53117174, -1.1247438, -0.0026941395, -0.09839096, -0.32884379999999996, -0.000660291, -0.031616848, -0.0012181188, -0.008161583, -0.0009206726699999999, -0.12407765500000001, -6.661909399999999e-07, -0.0016474124000000001]",,26.0
117," Adam had 5 dollars. At the store he spent $2 on a new game. If he got another 5 dollars for his allowance, how much money does he have now? ",8.0, Adam had 5 dollars. He spent 2 dollars. So he has 5 - 2 = 3 dollars left. Then he got 5 more dollars. So he has 3 + 5 = 8 dollars now. The answer is 8.,"[' Adam', ' had', ' 5', ' dollars', '.', ' He', ' spent', ' 2', ' dollars', '.', ' So', ' he', ' has', ' 5', ' -', ' 2', ' =', ' 3', ' dollars', ' left', '.', ' Then', ' he', ' got', ' 5', ' more', ' dollars', '.', ' So', ' he', ' has', ' 3', ' +', ' 5', ' =', ' 8', ' dollars', ' now', '.', ' The', ' answer', ' is', ' 8', '.']","[-0.7014456, -0.4728423, -0.08916539, -0.0007797653000000001, -0.21991988, -0.09706315400000001, -0.10506862400000001, -0.0020226566, -0.16762818000000002, -0.48289347, -0.04611471, -0.0087669, -0.3161584, -0.0036423581, -0.020482896, -0.00025014277, -0.0065165274, -0.0001097506, -0.013314365000000002, -0.17660336000000001, -0.001964603, -0.44656949999999995, -0.00035526042, -0.37263483000000003, -0.07356604, -0.06053749, -0.027963113, -0.019699246, -0.023791299999999998, -0.08085249, -0.00023881793, -0.0030339072000000003, -0.00021944041999999997, -3.4089344e-06, -0.0031996493000000003, -4.0040345e-06, -0.002062075, -0.4138106, -0.0028522944, -0.26144229999999996, -1.306671e-05, -3.2906587e-06, -7.584048e-06, -0.021672074000000003]",,8.0
118," Tiffany was playing a video game and had 43 lives. In a hard part of the game she lost 14 lives. If she got 27 more lives in the next level, how many lives would she have? ",56.0," Tiffany had 43 lives. She lost 14 lives. So she had 43 - 14 = 29 lives. If she got 27 more lives in the next level, she would have 29 + 27 = 56 lives.","[' Tiffany', ' had', ' 43', ' lives', '.', ' She', ' lost', ' 14', ' lives', '.', ' So', ' she', ' had', ' 43', ' -', ' 14', ' =', ' 29', ' lives', '.', ' If', ' she', ' got', ' 27', ' more', ' lives', ' in', ' the', ' next', ' level', ',', ' she', ' would', ' have', ' 29', ' +', ' 27', ' =', ' 56', ' lives', '.']","[-0.034846727, -0.7882019, -0.0018432572000000001, -0.0009777051, -0.4589011, -0.6257585999999999, -0.44365624000000004, -0.0017053271, -0.15126875, -0.28380007, -0.31294867, -0.007847525000000001, -0.2636383, -0.00022588051999999998, -0.08678605, -0.008750126, -0.11878933, -6.575884000000001e-05, -0.060524255000000006, -0.14942445000000001, -1.0389069, -0.002216366, -0.0826435, -1.4139594000000001e-05, -0.03568361, -0.052233733000000004, -0.5974385999999999, -0.0006619627, -0.0028417140000000004, -0.0003076173, -0.0040141637, -0.14773907, -0.01845515, -0.0027085429000000003, -0.035977557, -0.00061001495, -5.436415399999999e-06, -0.0063174246000000005, -0.00023321230999999998, -0.05702725, -0.049312066]",,56.0
119," At the fair there were 12 people in line for the bumper cars. If 10 of them got tired of waiting and left and 15 more got in line, how many people would be in line? ",17.0," There were originally 12 people in line. 10 of them left, so there were 12 - 10 = 2 people left. Then 15 more got in line, so there were 2 + 15 = 17 people in line. The answer is 17.","[' There', ' were', ' originally', ' 12', ' people', ' in', ' line', '.', ' 10', ' of', ' them', ' left', ',', ' so', ' there', ' were', ' 12', ' -', ' 10', ' =', ' 2', ' people', ' left', '.', ' Then', ' 15', ' more', ' got', ' in', ' line', ',', ' so', ' there', ' were', ' 2', ' +', ' 15', ' =', ' 17', ' people', ' in', ' line', '.', ' The', ' answer', ' is', ' 17', '.']","[-0.7567387, -0.095324665, -0.36521855000000003, -0.0012127497, -0.00039616402, -0.13603282, -0.0025955916, -0.24691075, -0.16471796, -0.7740695, -0.0016134427000000001, -0.006575502, -0.71955156, -0.18499239, -0.7123765, -0.5627251999999999, -0.27259037, -0.023447715, -7.732115000000001e-05, -0.00178235, -5.2765092e-05, -0.15471333, -0.19800475, -0.36094004, -0.48109174, -0.000869306, -0.016960619, -0.6514283, -5.3716885000000006e-05, -7.613187e-05, -0.020328928, -0.0017644968, -0.55894065, -0.20461111, -0.10626672000000001, -2.0575926000000002e-05, -1.3823811999999999e-06, -0.0013711442, -4.406191e-05, -0.0076398873, -0.06811991, -0.016977293, -0.030682577000000003, -0.3501643, -5.8130416000000005e-05, -1.5925843e-05, -0.00012906430000000002, -0.0021528090000000003]",,17.0
120," A waiter had 14 customers to wait on. If 3 customers left and he got another 39 customers, how many customers would he have? ",50.0," The waiter had 14 customers to wait on. If 3 customers left, he would have 14 - 3 = 11 customers. If he got another 39 customers, he would have 11 + 39 = 50 customers. The answer is 50.","[' The', ' waiter', ' had', ' 14', ' customers', ' to', ' wait', ' on', '.', ' If', ' 3', ' customers', ' left', ',', ' he', ' would', ' have', ' 14', ' -', ' 3', ' =', ' 11', ' customers', '.', ' If', ' he', ' got', ' another', ' 39', ' customers', ',', ' he', ' would', ' have', ' 11', ' +', ' 39', ' =', ' 50', ' customers', '.', ' The', ' answer', ' is', ' 50', '.']","[-0.5715232, -0.0038738395, -0.9636431, -0.12822174, -0.0021203728, -0.8960269999999999, -0.45763615, -0.0005055272, -0.15460557, -0.7980872, -0.009704879000000001, -0.023204528000000002, -0.00051292183, -0.6477398999999999, -0.6117452, -0.007834025, -0.02968998, -0.035826925, -0.2081722, -0.0006927983, -0.2592347, -6.265847e-05, -0.07565405, -0.21212472000000002, -0.31017908, -0.023614552, -0.014856991000000002, -0.07473496, -4.3347598e-05, -0.003852776, -0.0011044398, -0.0689016, -0.0019057224, -0.006966346000000001, -0.008701543, -0.0007939614599999999, -0.0006016647, -0.01042418, -0.0020630318, -0.0028029224, -0.08552444000000001, -0.54892653, -0.00013013717, -0.0005081507, -0.00031119544, -0.020981587000000003]",,50.0
121," At the fair there were 30 people in line for the bumper cars. If 10 of them got tired of waiting and left and 5 more got in line, how many people would be in line? ",25.0, There were 30 people in line originally. 10 people left and 5 more got in line. So the new total is 30 - 10 + 5 = 25. The answer is 25.,"[' There', ' were', ' 30', ' people', ' in', ' line', ' originally', '.', ' 10', ' people', ' left', ' and', ' 5', ' more', ' got', ' in', ' line', '.', ' So', ' the', ' new', ' total', ' is', ' 30', ' -', ' 10', ' +', ' 5', ' =', ' 25', '.', ' The', ' answer', ' is', ' 25', '.']","[-1.113157, -0.15830554, -0.3031195, -0.0011654849000000001, -0.32068756, -0.0033913136, -0.8505172, -0.004098069, -0.08725864, -0.61530495, -0.00033003603999999997, -0.41203147, -0.00031644344999999996, -0.69905365, -0.11726438, -7.541475e-05, -0.0015713546, -0.022734117, -0.09890571000000001, -0.88797045, -0.11027793600000001, -0.03806454, -0.046008546000000004, -0.001594635, -0.00052449165, -0.00010319318, -5.3162735e-06, -1.8668587e-05, -0.20972225, -0.00036515847999999996, -0.31448242, -0.0811959, -5.240840000000001e-05, -1.0920954000000002e-05, -6.110595e-05, -0.0064639123]",,25.0
122," Faye had 34 coloring books. If she gave away 3 of them, but then bought 48 more, how many would she have total? ",79.0," Faye had 34 coloring books. If she gave away 3 of them, she would have 34 - 3 = 31 coloring books. If she bought 48 more, she would have 31 + 48 = 79 coloring books.","[' Fay', 'e', ' had', ' 34', ' coloring', ' books', '.', ' If', ' she', ' gave', ' away', ' 3', ' of', ' them', ',', ' she', ' would', ' have', ' 34', ' -', ' 3', ' =', ' 31', ' coloring', ' books', '.', ' If', ' she', ' bought', ' 48', ' more', ',', ' she', ' would', ' have', ' 31', ' +', ' 48', ' =', ' 79', ' coloring', ' books', '.']","[-0.09275913, -0.0059879343, -0.5259188, -0.16394667000000002, -0.004584409, -0.00026003990000000003, -0.2342833, -0.5841086999999999, -0.0024793040000000003, -0.0017495104, -0.12458946600000001, -0.0052758300000000004, -0.43345317, -0.0015615626, -0.0073862793000000005, -0.5055069, -0.031859737, -0.024118708000000003, -0.12375846500000001, -0.12090258, -0.00025467362, -0.053696506000000005, -0.00029104354, -0.61784273, -0.0001375281, -0.11212116500000001, -0.6442247999999999, -0.0011792108, -0.57761174, -0.00011011010000000001, -0.011488458, -0.036928743, -0.042951703, -0.0016596515, -0.008634325, -0.0018706084, -0.000323121, -0.00027315848, -0.0047698724, -0.00044798221999999997, -0.020342857000000002, -0.00029378536, -0.20520839999999999]",,79.0
123," Paige had 11 songs on her mp3 player. If she deleted 9 old songs from it and then added 8 new songs, how many songs does she have on her mp3 player? ",10.0, Paige had 11 songs originally. She deleted 9 old songs and added 8 new songs. So the total number of songs is 11 - 9 + 8 = 10.,"[' Paige', ' had', ' 11', ' songs', ' originally', '.', ' She', ' deleted', ' 9', ' old', ' songs', ' and', ' added', ' 8', ' new', ' songs', '.', ' So', ' the', ' total', ' number', ' of', ' songs', ' is', ' 11', ' -', ' 9', ' +', ' 8', ' =', ' 10', '.']","[-0.13844527, -0.51315266, -0.0021995828, -0.005840619, -0.82739437, -0.07156601500000001, -1.0882027, -0.05373418, -1.7119806e-05, -1.2021074, -0.052317260000000004, -0.8432668, -0.1309154, -8.058068499999999e-06, -0.008323906, -0.26806948, -0.023193667, -0.2636409, -0.9547962999999999, -0.95055056, -0.6368906, -0.0031557006, -1.4616429e-05, -0.16892278, -0.01026615, -0.10831077400000001, -6.5092986e-06, -0.0001835511, -0.00011487750999999999, -0.055893105000000005, -0.0008636384, -0.075336136]",,10.0
124," A teacher had 38 worksheets to grade. If she graded 4, but then another 15 were turned in, how many worksheets would she have to grade? ",49.0," The teacher had 38 worksheets to grade. She graded 4, and then 15 more were turned in. So she would have to grade 38 + 15 = 53 worksheets.","[' The', ' teacher', ' had', ' 38', ' works', 'he', 'ets', ' to', ' grade', '.', ' She', ' graded', ' 4', ',', ' and', ' then', ' 15', ' more', ' were', ' turned', ' in', '.', ' So', ' she', ' would', ' have', ' to', ' grade', ' 38', ' +', ' 15', ' =', ' 53', ' works', 'he', 'ets', '.']","[-0.19782677, -0.0031897821, -0.7135298, -0.06546849, -0.0017172667, -8.535841499999999e-06, -1.5006569e-06, -0.45348346, -0.0004634878, -0.10556254, -0.73764163, -0.06378411, -0.037525505, -0.23977104000000002, -0.5101377, -0.06711795, -0.40433323, -0.15652391000000002, -0.0023525187000000003, -0.0013880371, -0.00049002067, -0.026532726000000003, -0.36556807, -0.034142155, -0.29396877, -0.008637271, -0.7550587, -2.5344274000000003e-05, -0.28577527, -0.022586083, -0.000295933, -0.11054704, -8.388231e-05, -0.10988202, -2.5744682e-06, -1.5006569e-06, -0.24276121]",,53.0
